Level,Status,Mode,Gender,Licence,Work,Car_Avail,Family,Cars,Children,Adults,Income,Time.Auto,Time.Transit,Time.Active
UG,FT,Transit,Male,1,Other,1,Family,2,1,3,Unknown,22.57604,89.180144,201.09855
UG,FT,Active,Female,1,Other,1,Other,0,0,2,Low,2.014925,20.126511999999998,15.20709
Other,Other,Active,Female,0,PT,0,Other,0,0,2,Low,2.776623,26.813798,23.593725
Grad,FT,Transit,Male,1,Other,0,Roommates,1,0,2,Low,17.36111,37.486876,89.375625
Grad,FT,Transit,Female,1,Other,0,Family,1,2,2,Unknown,19.19235,51.81050000000001,120.050385
UG,FT,Active,Male,0,Other,0,Other,0,0,1,Unknown,2.845125,24.990155,27.043575
UG,FT,Active,Male,0,Other,0,Roommates,0,0,2,Unknown,2.595157,27.40234,23.805030000000002
UG,FT,Auto,Female,1,Other,1,Family,2,0,4,Unknown,51.14774,121.54133,533.0118
UG,PT,Transit,Female,1,FT,0,Family,1,0,2,Unknown,11.27827,44.993718,74.18136
UG,FT,Active,Female,1,Other,1,Other,0,0,1,Unknown,2.168042,23.855995999999998,19.46616
UG,FT,Auto,Male,1,Other,1,Family,1,1,3,Unknown,23.800060000000002,90.12109,229.38479999999998
Grad,FT,Transit,Male,1,Other,0,Roommates,1,0,3,Unknown,15.85454,47.83985300000001,92.782125
Grad,FT,Active,Male,1,Other,1,Other,1,0,2,Low,2.014925,20.126511999999998,15.20709
UG,FT,Transit,Female,1,Other,1,Family,2,2,4,High,8.250103,35.315525,88.190685
UG,FT,Transit,Male,0,PT,0,Family,2,0,4,High,48.56919,135.888826,331.77645
UG,FT,Active,Male,1,PT,0,Roommates,1,0,3,Unknown,1.464106,25.325449,14.598600000000001
Grad,FT,Transit,Female,1,Other,0,Family,2,0,3,High,32.36266,73.067319,196.41555000000002
UG,FT,Transit,Male,0,Other,0,Family,0,1,3,Unknown,28.386979999999998,85.44495500000002,355.40729999999996
UG,FT,Transit,Female,0,Other,0,Family,1,0,3,Low,21.56203,58.379758,116.34838500000001
UG,PT,Transit,Female,0,Other,0,Family,2,0,5,Unknown,54.61469,155.730367,417.22139999999996
UG,FT,Auto,Female,1,Other,0,Family,2,0,4,Unknown,52.80321,128.95526999999998,559.4454000000001
Grad,FT,Active,Female,1,Other,1,Roommates,1,0,5,Unknown,7.961721000000001,35.038115999999995,50.06562
UG,FT,Auto,Female,0,Other,0,Family,1,0,4,Unknown,1.885362,20.435959,19.86384
UG,FT,Transit,Female,1,Other,1,Family,1,2,3,Unknown,63.395309999999995,160.491967,474.73455000000007
UG,FT,Transit,Female,1,Other,1,Family,1,1,3,Low,19.30037,44.767979,104.03547
UG,FT,Active,Female,1,Other,0,Other,0,0,1,Unknown,2.924953,24.128386,16.985265000000002
UG,FT,Transit,Female,1,Other,0,Roommates,0,0,2,Low,5.769032,30.167623,51.040994999999995
UG,FT,Active,Female,0,Other,0,Roommates,0,0,2,Low,7.717772999999999,37.877319,75.9915
Grad,FT,Active,Female,0,Other,0,Roommates,0,0,3,Unknown,2.014925,20.126511999999998,15.20709
Grad,FT,Transit,Female,1,Other,0,Family,1,2,2,High,13.53559,50.490272999999995,88.17565499999999
UG,FT,Auto,Male,1,Other,0,Family,1,0,5,Unknown,32.172740000000005,110.024981,272.87475
UG,FT,Transit,Male,1,Other,1,Family,2,0,3,Unknown,26.741290000000003,79.65141700000002,184.09215
Grad,FT,Transit,Male,0,Other,0,Roommates,0,0,2,Low,32.017509999999994,83.156993,356.68215000000004
UG,FT,Transit,Male,1,Other,0,Family,0,0,5,Low,68.87486,99.884775,526.4025
Grad,FT,Active,Male,0,Other,0,Roommates,0,0,2,Unknown,2.523888,24.493026999999998,28.469009999999997
UG,FT,Transit,Male,1,Other,1,Family,2,0,3,Unknown,4.289724,29.3483,30.6678
UG,FT,Active,Female,1,Other,0,Other,0,0,1,Unknown,1.9141869999999999,23.859148,17.990325000000002
Grad,PT,Active,Female,1,Other,0,Other,0,0,1,Low,0.0,0.0,0.0
UG,FT,Active,Female,1,Other,1,Roommates,0,0,2,High,2.168042,23.855995999999998,19.46616
Grad,FT,Active,Male,1,Other,0,Other,1,0,2,Unknown,7.961721000000001,35.038115999999995,50.06562
Grad,FT,Transit,Male,1,Other,1,Roommates,0,0,2,Unknown,11.057360000000001,37.31815,63.98426999999999
Grad,FT,Active,Female,1,Other,0,Other,0,0,1,Unknown,15.891110000000001,45.144366,87.02386499999999
UG,FT,Active,Female,0,Other,0,Roommates,0,0,5,Unknown,1.15247,17.169234,11.262285
UG,FT,Transit,Male,0,Other,0,Roommates,0,0,1,Unknown,0.0,0.0,0.0
Grad,FT,Transit,Female,0,PT,0,Family,2,0,4,Unknown,65.64657,96.277786,472.7253
Grad,FT,Transit,Female,1,Other,1,Family,1,0,3,Unknown,86.34888000000001,151.98685600000002,687.40515
UG,FT,Active,Male,0,Other,0,Family,1,2,2,High,4.603065,25.568201000000002,35.364990000000006
UG,FT,Transit,Female,1,Other,1,Roommates,0,0,4,Unknown,23.7902,98.9388,204.6681
UG,PT,Transit,Female,1,Other,0,Other,1,0,2,High,3.145816,20.714456,33.342495
UG,FT,Active,Female,1,Other,1,Roommates,0,0,4,Unknown,7.717772999999999,37.877319,75.9915
UG,FT,Auto,Male,1,Other,0,Other,2,0,2,Unknown,19.18929,52.600751,114.68679
