Mode,Time.Auto,Time.Transit,Time.Active
Active,0,0,0
Active,2.168042,23.855996,19.46616
Transit,14.23485,62.174552,181.78725
Auto,46.04814,98.189573,294.91305
Transit,11.27827,44.993718,74.18136
Auto,12.84653,55.432228,177.651
Active,4.289724,29.3483,30.6678
Transit,8.932961,37.609636,94.252275
Active,1.464106,25.325449,14.5986
Transit,78.55302,112.57535,563.77125
Active,24.1312,81.882162,256.41615
Transit,23.56165,108.222362,220.21485
Active,9.644531,45.354856,60.67656
Auto,66.32047,152.421856,412.84095
Transit,62.9307,108.07673,490.38525
Transit,33.87375,81.889028,221.18205
Transit,65.48768,162.39424,496.6329
Transit,53.6249,127.044329,366.5508
Transit,6.656314,44.190151,59.099565
Active,3.618162,29.895442,34.55601
Transit,34.88186,70.895784,218.5206
Transit,47.96684,127.490498,334.04475
Active,1.710853,20.776487,15.946485
Transit,54.60328,83.374648,412.29705
Auto,19.28054,81.263254,296.076
Auto,37.06254,92.906376,411.98355
Transit,33.60007,76.070727,205.96005
Active,1.908999,17.573247,19.08999
Transit,12.25042,55.637858,155.89725
Active,2.014925,20.126512,15.20709
Transit,5.848496,35.80122,44.581845
Auto,23.19752,56.483687,129.73509
Transit,13.53559,50.490273,88.175655
Active,2.424763,17.100996,26.824515
Active,2.168042,23.855996,19.46616
Transit,64.82115,147.448779,404.4789
Transit,93.38274,175.21282,867.07305
Active,11.07215,46.064018,65.243415
Auto,6.390018,38.625988,78.21375
Active,3.068723,25.742024,23.92764
Transit,12.56505,41.092905,74.442345
Transit,20.04374,46.728209,121.153275
Transit,38.36255,84.567437,250.5978
Transit,4.458424,41.395729,47.800875
Active,1.464106,25.325449,14.5986
Transit,40.81802,113.97034,270.6438
Transit,50.94216,131.16038,370.60335
Active,3.235257,24.180734,34.47531
Transit,11.34923,39.849031,65.27565
Transit,28.00275,96.577332,250.38615
Active,43.3943,119.645507,398.8086
Active,2.168042,23.855996,19.46616
Transit,3.892384,28.438384,39.42108
Transit,34.5015,80.38957,245.51145
Transit,36.27782,80.352112,226.86435
Auto,22.36391,107.75558,203.22825
Active,0,0,0
Transit,36.84921,80.498114,243.82365
Active,5.693951,38.521256,68.2008
Auto,9.900759,45.887638,110.07012
Active,2.014925,20.126512,15.20709
Transit,34.08215,77.22779,400.92375
Active,2.168042,23.855996,19.46616
Active,3.068723,25.742024,23.92764
Active,2.523888,24.493027,28.46901
Transit,38.79475,85.498938,262.81935
Active,1.464106,25.325449,14.5986
Active,25.51215,86.453819,283.74645
Transit,11.34923,39.849031,65.27565
Transit,41.5664,111.124566,272.93745
Transit,23.29298,69.476302,224.76795
Transit,49.11168,106.36576,343.0512
Transit,3.520931,24.122092,29.256285
Transit,12.03127,33.814446,63.855315
Transit,51.66085,107.55229,376.22325
Transit,35.38849,62.69698,223.5576
Transit,12.56505,41.092905,74.442345
Transit,70.90111,176.397772,420.819
Transit,42.89017,87.885214,289.60905
Transit,15.28662,51.499579,91.904235
Transit,17.88877,71.550267,225.87225
Active,4.372437,25.162232,31.4544
Active,15.85454,47.839853,92.782125
Transit,26.98867,101.771003,357.16875
Transit,77.75001,114.458118,581.1192
Transit,10.10178,57.471728,98.449605
Active,2.510406,26.944984,21.925545
Transit,9.51093,33.826613,60.55161
Transit,6.41246,36.009248,56.021295
Auto,3.156252,24.272578,32.93961
Active,2.014925,20.126512,15.20709
Transit,14.22119,74.749112,127.60605
Transit,7.175169,35.198069,80.321865
Active,1.117177,20.195869,11.10171
Transit,3.892384,28.438384,39.42108
Active,17.27627,40.339529,90.411075
Transit,68.95712,233.62688,489.5088
Active,2.924953,24.128386,16.985265
Transit,10.10178,57.471728,98.449605
Transit,2.776623,26.813798,23.593725
Active,15.6506,39.913033,81.811935
Transit,3.320328,31.447038,28.74147
Transit,35.58393,114.18188,373.4028
Transit,23.56165,108.222362,220.21485
Active,1.908999,17.573247,19.08999
Transit,0,0,0
Transit,13.84817,63.557005,185.2554
Active,1.710853,20.776487,15.946485
Transit,22.52986,92.27564,200.5575
Transit,48.86846,133.25235,509.6244
Active,1.117177,20.195869,11.10171
Transit,17.36541,58.415311,101.76636
Auto,23.70735,98.21541,211.76265
Active,16.95755,62.36549,116.842875
Transit,1.885362,20.435959,19.86384
Active,28.61972,65.781362,174.55365
Transit,2.160512,11.333393,22.92318
Active,5.499556,35.577191,46.45101
Active,4.788604,29.702709,45.377115
Active,3.44226,30.10613,27.6066
Transit,12.01931,52.160221,82.95414
Active,1.710853,20.776487,15.946485
Transit,36.98357,73.25803,230.84145
Active,9.349833,37.81105,52.35888
Transit,74.98688,150.689,563.4369
Active,3.655377,29.778864,31.6746
Active,6.632627,33.425859,41.7591
Active,1.117177,20.195869,11.10171
Active,1.15247,17.169234,11.262285
Transit,91.7504,161.44892,875.48655
Active,23.67318,62.43955,149.462775
Transit,19.9148,40.306127,101.203755
Active,2.924953,24.128386,16.985265
Transit,85.28256,107.98156,606.6633
Transit,51.19962,107.688717,321.70695
Transit,43.84943,113.443969,274.94445
Active,4.108721,21.501513,41.469015
Active,0,0,0
Active,1.464106,25.325449,14.5986
Transit,45.45675,98.577094,319.4535
Transit,29.66096,118.94033,328.34415
Active,14.06433,46.565209,78.516315
Transit,4.938513,35.602738,52.55676
Active,1.710853,20.776487,15.946485
Active,8.047787,42.190183,54.68511
Active,3.792585,18.826039,22.92405
Transit,4.509122,33.099175,54.88461
Transit,20.734,86.528933,187.7664
Active,2.168042,23.855996,19.46616
Transit,28.74674,58.22035,160.4496
Active,1.117177,20.195869,11.10171
Transit,6.967558,34.540282,93.842415
Active,19.43146,50.120877,105.2535
Active,5.769032,30.167623,51.040995
Active,16.866,68.524054,232.0476
Active,3.892384,28.438384,39.42108
Transit,40.6925,116.478907,289.56795
Transit,75.19146,174.49441,868.86615
Transit,33.99152,70.74282,219.79785
Transit,106.7438,204.63217,1053.156
Transit,4.788604,29.702709,45.377115
Auto,17.88877,71.550267,225.87225
Auto,53.76604,138.580759,396.2493
Transit,6.699873,40.744312,74.513145
Auto,6.081243,33.845601,42.576225
Transit,85.12506,155.035394,646.23705
Transit,3.892384,28.438384,39.42108
Active,3.320328,31.447038,28.74147
Active,0,0,0
Transit,67.82096,112.18227,512.8704
Active,6.632627,33.425859,41.7591
Transit,6.967558,34.540282,93.842415
Transit,12.40626,54.70485,123.498555
Transit,9.51093,33.826613,60.55161
Transit,40.81221,96.886543,425.11335
Transit,30.58207,78.020223,345.588
Transit,8.411788,40.810186,104.002785
Auto,26.7832,100.209411,242.9046
Transit,56.06792,160.04254,625.6179
Auto,9.82244,47.373209,121.260675
Transit,84.08524,98.111997,585.4197
Auto,71.01646,131.89885,526.87335
Transit,36.42569,92.518324,237.76005
Transit,23.8248,61.714171,151.02945
Transit,72.2401,309.44386,807.4122
Transit,31.24758,70.436807,211.1628
Transit,22.60608,67.353645,145.773885
Transit,35.36173,84.665019,217.99815
Active,5.499556,35.577191,46.45101
Transit,5.704483,36.318,56.285505
Transit,77.23428,105.135135,575.9619
Transit,32.3888,80.910474,194.59395
Active,3.44226,30.10613,27.6066
Transit,6.703013,35.563364,40.687425
Active,58.51307,156.085789,431.4231
Active,1.710853,20.776487,15.946485
Transit,78.21358,188.32219,539.0955
Transit,54.60328,83.374648,412.29705
Transit,3.792585,18.826039,22.92405
Active,2.510406,26.944984,21.925545
Auto,7.685006,40.442318,99.89307
Transit,1.908999,17.573247,19.08999
Transit,39.94034,119.516938,277.43055
Active,1.464106,25.325449,14.5986
Active,1.117177,20.195869,11.10171
Active,6.632627,33.425859,41.7591
Active,3.792585,18.826039,22.92405
Active,1.710853,20.776487,15.946485
Active,2.07149,24.722109,19.03131
Transit,30.7205,65.741723,183.54345
Transit,54.85153,148.518997,422.94945
Transit,19.45782,61.836109,141.66516
Transit,29.58898,83.826682,203.3343
Transit,42.15467,121.086447,296.78295
Active,1.464106,25.325449,14.5986
Active,11.05736,37.31815,63.98427
Active,11.34923,39.849031,65.27565
Transit,35.76266,60.89423,221.07705
Transit,11.05858,49.500135,180.5466
Transit,15.75918,42.637287,93.900495
Transit,13.00131,35.417331,71.57238
Active,2.141326,19.940688,19.27866
Active,2.924953,24.128386,16.985265
Active,5.704483,36.318,56.285505
Active,0,0,0
Transit,9.779487,42.05254,150.3852
Transit,13.53559,50.490273,88.175655
Transit,46.3576,104.210142,327.22335
Active,3.792585,18.826039,22.92405
Auto,11.61484,48.886841,174.44835
Transit,65.48768,162.39424,496.6329
Active,6.421951,29.986675,40.614885
Transit,13.0839,43.443395,85.07454
Transit,53.38454,156.342325,398.7672
Active,2.845125,24.990155,27.043575
Transit,34.01865,66.904765,230.0409
Transit,12.86316,69.282847,126.177315
Transit,44.44707,97.717194,302.46405
Transit,33.04224,68.086047,193.965
Active,2.168042,23.855996,19.46616
Active,1.914187,23.859148,17.990325
Auto,0,0,0
Transit,47.76812,101.56075,451.92
Transit,39.45798,75.039989,249.8739
Active,3.068723,25.742024,23.92764
Transit,7.62806,40.215032,56.57064
Transit,12.7142,74.451,145.13832
Auto,40.6925,116.478907,289.56795
Transit,81.44932,126.33692,547.95675
Transit,74.78468,119.798614,582.7098
Active,3.520931,24.122092,29.256285
Transit,35.7557,79.914492,222.8856
Active,2.845125,24.990155,27.043575
Active,2.776623,26.813798,23.593725
Active,2.168042,23.855996,19.46616
Active,12.56505,41.092905,74.442345
Transit,44.36845,89.370525,308.3217
Transit,54.61469,155.730367,417.2214
Active,1.710853,20.776487,15.946485
Auto,49.29926,141.43729,592.32
Transit,13.25632,61.139554,150.2139
Transit,47.43105,124.128164,441.5928
Transit,26.06481,99.519214,226.69215
Transit,5.409577,28.036397,39.21012
Transit,7.46774,29.520691,68.542395
Active,1.117177,20.195869,11.10171
Active,8.975986,48.053511,70.448985
Transit,56.01065,109.557953,371.3742
Transit,37.41712,88.860394,236.16075
Active,2.924953,24.128386,16.985265
Transit,32.70525,77.232476,213.8331
Transit,99.4985,139.33581,916.51155
Transit,3.952706,25.654187,40.859745
Active,1.049121,16.675728,10.49121
Transit,19.30037,44.767979,104.03547
Transit,22.60608,67.353645,145.773885
Transit,37.23716,93.37435,237.11775
Transit,49.41411,116.65255,473.74005
Transit,19.30037,44.767979,104.03547
Auto,95.13707,162.50771,775.33005
Transit,16.0968,53.408636,91.57806
Auto,58.34547,144.901482,659.5542
Transit,57.8518,137.826053,410.91795
Transit,41.26751,121.844611,316.86765
Auto,0,0,0
Transit,3.952706,25.654187,40.859745
Transit,35.551,76.002066,243.31305
Active,2.595157,27.40234,23.80503
Transit,19.9148,40.306127,101.203755
Transit,34.76632,91.626523,384.76785
Transit,16.56267,51.0237,101.611635
Transit,29.06466,107.183925,388.7298
Auto,35.38849,62.69698,223.5576
Active,3.618162,29.895442,34.55601
Active,5.848496,35.80122,44.581845
Transit,67.71508,124.64318,495.53445
Auto,57.48794,115.481768,359.70585
Auto,16.23431,64.393991,209.04585
Active,2.168042,23.855996,19.46616
Active,1.710853,20.776487,15.946485
Transit,30.354,93.036443,212.2911
Active,29.70739,68.75461,171.6285
Active,1.464106,25.325449,14.5986
Transit,23.67318,62.43955,149.462775
Active,11.07215,46.064018,65.243415
Transit,27.95714,83.972556,187.2723
Transit,85.93891,116.13206,641.57265
Active,84.95065,106.249153,728.7027
Transit,5.036556,31.668754,51.91833
Active,2.595157,27.40234,23.80503
Transit,76.39232,235.417686,536.6613
Transit,22.28621,86.914219,299.4351
Active,1.464106,25.325449,14.5986
Active,3.792585,18.826039,22.92405
Transit,56.137,282.68294,638.01795
Transit,39.1112,111.936309,267.12075
Transit,32.99067,146.37672,353.37975
Active,1.464106,25.325449,14.5986
Transit,14.42905,42.452635,84.984615
Transit,52.30806,115.741767,387.57585
Transit,78.52783,170.45036,645.25155
Active,2.168042,23.855996,19.46616
Transit,3.145816,20.714456,33.342495
Active,2.168042,23.855996,19.46616
Transit,7.158202,41.998915,86.334555
Transit,30.71933,83.66451,179.37675
Transit,43.19952,89.589865,307.44465
Active,13.50537,50.292203,88.417635
Transit,28.59184,50.628108,188.0475
Transit,34.67294,71.795076,239.8623
Transit,7.745217,50.79562,80.136195
Transit,28.61972,65.781362,174.55365
Transit,28.05695,68.035251,157.3353
Transit,35.04476,93.388034,228.08745
Active,12.90346,47.048412,74.51466
Transit,7.464469,48.093509,68.508945
Transit,4.614781,24.989461,59.37669
Transit,11.05736,37.31815,63.98427
Transit,14.00681,58.218129,93.221055
Auto,42.27133,96.601526,303.9486
Transit,40.00968,96.542967,277.2057
Transit,13.45041,64.176452,197.5872
Active,1.117177,20.195869,11.10171
Transit,20.58353,53.999261,126.996135
Transit,10.91149,42.701539,73.300215
Transit,53.31297,115.571646,357.56955
Active,0,0,0
Active,11.05736,37.31815,63.98427
Active,0,0,0
Active,3.068723,25.742024,23.92764
Transit,32.04898,67.73028,189.6813
Active,2.523888,24.493027,28.46901
Transit,1.830796,27.798863,18.307965
Transit,29.58246,62.974813,181.27155
Transit,12.90346,47.048412,74.51466
Active,1.914187,23.859148,17.990325
Active,9.638221,34.536596,55.197585
Transit,22.30367,84.902006,316.1115
Transit,35.03658,86.366139,222.1536
Auto,26.29099,94.54513,347.80035
Transit,22.53018,38.097564,126.191955
Transit,32.43227,105.53583,276.3429
Active,2.510406,26.944984,21.925545
Active,19.43146,50.120877,105.2535
Transit,71.41673,117.60752,510.2058
Transit,6.41246,36.009248,56.021295
Transit,13.53559,50.490273,88.175655
Auto,32.82756,93.06974,310.6338
Active,0,0,0
Active,3.320328,31.447038,28.74147
Auto,9.82244,47.373209,121.260675
Active,11.34923,39.849031,65.27565
Transit,12.59166,51.015018,129.006255
Transit,25.22668,85.088579,329.92965
Transit,12.07348,54.730108,91.7007
Auto,5.68035,37.632846,70.839195
Active,2.168042,23.855996,19.46616
Active,3.068723,25.742024,23.92764
Auto,50.93656,185.39559,598.9884
Transit,4.372437,25.162232,31.4544
Active,1.914187,23.859148,17.990325
Transit,27.17682,60.322206,158.6223
Transit,2.845125,24.990155,27.043575
Transit,26.94341,60.799189,156.207
Active,0,0,0
Transit,69.8619,148.41588,523.02615
Transit,7.46774,29.520691,68.542395
Transit,26.74129,79.651417,184.09215
Active,21.21702,47.152092,115.8954
Transit,44.36845,89.370525,308.3217
Active,1.710853,20.776487,15.946485
Transit,36.32675,74.721306,228.24825
Transit,20.50572,53.92663,113.782245
Active,14.42905,42.452635,84.984615
Active,0,0,0
Active,5.576192,29.470396,31.67763
Transit,35.24685,100.985733,388.3665
Active,0,0,0
Transit,78.49124,190.577835,489.24735
Transit,8.975986,48.053511,70.448985
Transit,49.67802,85.109091,298.2465
Active,44.99731,94.585261,328.17315
Auto,40.6925,116.478907,289.56795
Transit,15.28662,51.499579,91.904235
Transit,15.89111,45.144366,87.023865
Transit,31.47843,75.92349,204.34575
Auto,44.51602,104.650302,271.518
Transit,29.07083,57.750467,176.15535
Transit,25.43486,55.962294,155.41545
Transit,19.45782,61.836109,141.66516
Transit,15.51125,62.98169,217.80315
Transit,7.685006,40.442318,99.89307
Active,0,0,0
Active,13.97776,75.222658,131.41251
Transit,29.07083,57.750467,176.15535
Auto,47.57712,132.03705,418.09785
Auto,50.70912,134.40034,531.1482
Active,2.595157,27.40234,23.80503
Transit,26.94341,60.799189,156.207
Transit,15.89111,45.144366,87.023865
Transit,10.83578,48.352633,138.72144
Active,0,0,0
Active,2.595157,27.40234,23.80503
Active,1.464106,25.325449,14.5986
Transit,30.31293,106.161633,389.14905
Transit,4.372437,25.162232,31.4544
Transit,66.66022,152.68465,389.10945
Transit,28.89066,98.71188,262.0101
Transit,19.19235,51.8105,120.050385
Transit,16.56267,51.0237,101.611635
Transit,34.67294,71.795076,239.8623
Transit,28.04561,87.520932,349.45695
Transit,36.87737,104.55027,417.84135
Active,1.710853,20.776487,15.946485
Transit,80.75463,94.987998,586.4883
Transit,19.19235,51.8105,120.050385
Auto,25.88474,109.567737,231.97665
Active,2.168042,23.855996,19.46616
Active,8.047787,42.190183,54.68511
Active,28.04561,87.520932,349.45695
Transit,13.53559,50.490273,88.175655
Transit,12.54225,76.822809,120.215955
Transit,32.26673,64.124497,201.13605
Transit,53.01465,154.760943,386.4927
Active,2.924953,24.128386,16.985265
Transit,36.04391,68.492121,250.3902
Auto,0,0,0
Transit,45.90606,94.67742,328.5144
Transit,0,0,0
Transit,24.0665,92.44272,227.5863
Active,7.855628,33.435869,51.153735
Transit,11.27827,44.993718,74.18136
Transit,49.98917,141.995128,354.97215
Active,0,0,0
Transit,80.75463,94.987998,586.4883
Active,3.068723,25.742024,23.92764
Active,1.464106,25.325449,14.5986
Active,0,0,0
Active,6.421951,29.986675,40.614885
Transit,10.08914,46.072033,132.434475
Active,2.07149,24.722109,19.03131
Transit,57.54731,156.30017,607.88775
Active,7.594738,37.915189,55.391565
Transit,76.7355,209.84826,472.38285
Transit,32.26673,64.124497,201.13605
Transit,63.99556,139.219581,465.9939
Transit,90.74693,134.581277,755.80335
Transit,31.31597,71.337069,196.4364
Transit,66.11488,119.7874,473.2956
Auto,36.53077,161.01374,399.6312
Transit,3.145816,20.714456,33.342495
Transit,32.94658,70.909582,198.54585
Transit,18.64913,50.314017,102.80334
Auto,9.088748,52.886957,86.84919
Transit,55.91678,79.888908,432.03405
Active,1.464106,25.325449,14.5986
Auto,49.68177,141.9251,343.59795
Transit,0,0,0
Active,1.710853,20.776487,15.946485
Transit,21.64188,38.979246,116.83254
Transit,17.06357,50.644287,91.32579
Auto,28.98506,79.944403,308.9415
Transit,28.00275,96.577332,250.38615
Active,2.07149,24.722109,19.03131
Transit,4.338962,29.709556,40.72341
