"","Threshold","R.2","In.Sample.Accuracy","Full.Sample.Accuracy"
"102",30,0.36389229154091,0.663302415862125,0.659230300075796
"103",30,0.36389229154091,0.663302415862125,0.659230300075796
"104",31,0.362871220923064,0.662575956487036,0.658869869963711
"105",32,0.362165200824733,0.662256993177424,0.658688214019101
"106",33,0.361263514550877,0.661948832382282,0.65851717404251
"107",34,0.360482852068254,0.661700092819383,0.6583599968529
"108",35,0.359764181663255,0.661507884192129,0.658259005088321
"109",36,0.359329899817196,0.661323228667769,0.658165477916968
"110",37,0.358636187053301,0.661046887608469,0.658025731982973
"111",38,0.358046790870179,0.660755372389548,0.657870765033959
"112",39,0.357532456797312,0.660489843412397,0.657741556887966
"113",40,0.356891055224835,0.660140272935808,0.657573561096972
"114",41,0.356545664612675,0.660060423314168,0.65753904652661
"115",42,0.356064026514933,0.659898976846611,0.657468243916889
"116",43,0.355685501136928,0.65971504617202,0.657374992802242
"117",44,0.355155728298126,0.659439406543864,0.657235277558826
"118",45,0.355018388558083,0.659465907119552,0.657261689558239
"119",46,0.354748954974194,0.65938329773465,0.657224334686133
"120",47,0.354273045757745,0.659203365295604,0.657134923630965
"121",48,0.35371844731558,0.658908492428375,0.656975814039943
"122",49,0.353544358957255,0.658932518134438,0.656999769274971
"123",50,0.353240648594935,0.658846629518756,0.656959074372795
"124",51,0.353118705567615,0.658870760489426,0.656983136209715
"125",52,0.352877504403713,0.658777572480957,0.656935152257784
"126",53,0.352779428020438,0.658809635676796,0.656967125781656
"127",54,0.352491712488018,0.658721425138825,0.656924095193016
"128",55,0.351996915792817,0.658523406618962,0.656816456451737
"129",56,0.35136444471861,0.658200089161697,0.656628670122089
"130",57,0.350897049346045,0.657999724503006,0.656518551862583
"131",58,0.350854032573694,0.658013922134443,0.656532717534823
"132",59,0.350588028580646,0.657917629180352,0.656481519757857
"133",60,0.350542347662581,0.657933896917119,0.65649775198524
"134",61,0.35027984105709,0.65782962168206,0.656438576779458
"135",62,0.349801217177487,0.657610231354062,0.656309365275667
"136",63,0.349767214232848,0.657625562643015,0.656324666236695
"137",64,0.349720629952915,0.657642162173459,0.656341232930414
"138",65,0.349696946085055,0.657653167111906,0.656352216099202
"139",66,0.349670828866636,0.657664248540113,0.656363275606439
"140",67,0.34890049136392,0.657294588196131,0.656128854274364
"141",68,0.348133233324322,0.65692142629637,0.655890785586628
"142",69,0.347861828304994,0.656799131694284,0.655813484975507
"143",70,0.34759067523379,0.656678621387865,0.655737949419983
"144",70,0.34759067523379,0.656678621387865,0.655737949419983
"145",80,0.345373065455084,0.655794534199718,0.655168263839637
"146",90,0.344365005495878,0.655415004065221,0.654923219273631
"147",100,0.342508206794947,0.654665849623871,0.654397909985553
"148",110,0.342069049666365,0.654511497565617,0.654288267177635
"149",120,0.341124665918945,0.654158629533436,0.654024763511022
"150",130,0.341123162917013,0.654160638106558,0.654026771673112
"151",140,0.340557372387419,0.65396037883449,0.653871161866027
"152",150,0.340556853971042,0.653961255817676,0.65387203872957
"153",160,0.340556728895908,0.653961495954471,0.653872278833604
"154",170,0.340556677320978,0.653961601367319,0.653872384232071
"155",180,0.340556656748592,0.653961647432915,0.653872430291383
"156",180,0.340556656748592,0.653961647432915,0.653872430291383
"157",240,0.338909421326347,0.653437478992382,0.653437478992382
"158",300,0.338909421286144,0.653437479131726,0.653437479131726
