Origin,Sample_TopSchool,SC_Sample_Prob,SG_Sample_Prob,MI_Sample_Prob,OC_Sample_Prob,RY_Sample_Prob,YK_Sample_Prob,YG_Sample_Prob,SC_Family_Prob,SG_Family_Prob,MI_Family_Prob,OC_Family_Prob,RY_Family_Prob,YK_Family_Prob,YG_Family_Prob,SC_NonFam_Prob,SG_NonFam_Prob,MI_NonFam_Prob,OC_NonFam_Prob,RY_NonFam_Prob,YK_NonFam_Prob,YG_NonFam_Prob,Grav_Pred,SG_Norm_Grav,MI_Norm_Grav,OC_Norm_Grav,RY_Norm_Grav,SC_Norm_Grav,YG_Norm_Grav,YK_Norm_Grav,HZ_Pred,MI_Norm_HZ,OC_Norm_HZ,RY_Norm_HZ,SC_Norm_HZ,SG_Norm_HZ,YG_Norm_HZ,YK_Norm_HZ,Dist_Pred,MI_Norm_Dist,OC_Norm_Dist,RY_Norm_Dist,SC_Norm_Dist,SG_Norm_Dist,YG_Norm_Dist,YK_Norm_Dist,Zone,Resid_SG,Resid_MI,Resid_OC,Resid_RY,Resid_SC,Resid_YG,Resid_YK
619,SC,4.826250204,0.726302549,0,0,0.302866392,1.114067152,2.667268134,3.701664817,0.990449492,0,0,0.255453431,0.963596441,2.33557423,,,,,,,,SC,0.604295013,0.119856443,0.594814092,0.638634917,5.304673074,1.442475488,0.878193592,SC,0,0,0.306630793,4.894083937,0.736760525,2.741833441,1.059279965,SC,0,0,0.273467175,4.854664846,0.739936165,2.341205334,1.139171115,619,-0.029127505,0.021940318,0.020254134,0.093565258,-0.085142283,-0.031550465,0.010060544
620,RY,3.155625133,0.569868154,0,2.482700705,1.980280256,0,3.487966022,2.622012579,0.841882068,0,3.007936508,1.447569444,0,3.308730159,0,0,0,0,6.776025237,0,0,SC,0.591994853,0.111844158,0.582706924,0.625635783,5.929667014,1.346047333,0.711578288,RY,0,2.183295228,2.049997874,3.085336591,0.555481902,3.791850821,0,RY,0,2.338274653,2.005697139,3.111152397,0.576807093,3.487088107,0,620,0.01203857,0.020330513,-0.056985715,-0.235396797,0.102785222,-0.050249292,0.2074775
621,YK,4.826250204,0.29052102,0,0,0.605732784,1.671100727,2.667268134,3.701664817,0.396179797,0,0,0.510906863,1.445394661,2.33557423,,,,,,,,SC,0.586046174,0.116236854,0.576851025,0.61934849,5.778048163,1.398914839,0.775283107,SC,0,0,0.619026962,4.985198019,0.291092061,2.586185764,1.611211051,YK,0,0,0.58153856,4.750944146,0.306325664,2.75083716,1.680395206,621,0.146060825,0.021751091,0.020081377,0.033512124,-0.063846812,-0.031784177,-0.125774428
622,RY,3.155625133,0.189956051,0,0,1.584224205,1.456857044,3.487966022,2.420319303,0.259040636,0,0,1.336217949,1.260087653,3.054212454,,,,,,,,SC,0.569837287,0.103273781,0.560896987,0.602219082,5.993246857,1.242902709,0.770126599,YK,0,0,1.553317938,3.209390233,0.176748504,3.385266796,1.502709749,RY,0,0,1.745680465,2.97658977,0.181272681,4.173302579,1.315458979,622,0.168001849,0.020566534,0.020251182,-0.156763445,0.078206026,-0.051386236,-0.078875909
623,YK,6.837187789,0,0,0,0,2.367392697,0,5.244025157,0,0,0,0,2.047642436,0,,,,,,,,SC,0.591640754,0.104666756,0.582358353,0.625261563,6.222563592,1.23644837,0.624837133,YK,0,0,0.280321715,5.677058052,0.022306629,0.475160058,2.418919583,SC,0.065662758,0.037970717,0.030665222,6.836249352,0.009078782,0.356270815,2.259610016,623,0.224726024,0.022043549,0.022013619,0.161083709,-0.157772062,0.026940961,-0.2990358
624,RY,1.367437558,0.7408286,0,0,2.574364333,0.473478539,0,1.165338924,0.748339616,0,0,2.412615741,0.455031652,0,0,1.835897436,0,0,0,0,0,SC,0.586290974,0.10372033,0.577092508,0.619607775,6.36559953,1.225268055,0.592991601,RY,0,0,2.464103978,1.369713035,0.788592912,0,0.482504971,RY,0,0,2.449809916,1.576840289,0.807398337,0,0.387874738,624,-0.088111602,0.020087044,0.020710733,-0.347791772,0.286221899,0.026098538,0.08278516
625,SC,9.116250385,0,0,0,1.716242889,0,0,10.48805031,0,0,0,0,0,0,11.26573427,0,0,0,3.388012618,0,0,SC,0.568911473,0.1031059,0.559985699,0.601240658,5.983508514,1.240883379,0.776568393,SC,0,0,2.05567064,7.667780882,0.07878345,0,0.03834104,SC,0,0,1.802681197,8.759218607,0.006257376,0,0.032136552,625,0.15713162,0.012208293,0.015168233,0.114245135,-0.498722745,0.023290659,0.176678806
1001,YK,0,0,0,0,0,4.734785394,0,0,0,0,0,0,4.095284872,0,,,,,,,,SC,0.537532774,0.109520547,0.529099291,0.568078819,5.318256446,1.255618675,1.098638647,YK,0,0,0,0,1.194380332,0,2.444727525,RY,0.033769418,0.645502183,2.538507115,1.446933432,0.80007039,0.090687117,0.251028176,1001,0.225743775,0.022143381,0.022113316,0.161813234,0.328637907,0.025918307,-0.786369919
1002,,,,,,,,,,,,,,,,,,,,,,,SC,0.556582846,0.098464683,0.547850484,0.58821144,5.506739663,1.120557717,0.993010012,YK,0,0,0,0,1.194380332,0,2.444727525,SC,0.078795309,0.322751092,1.031461976,6.263515176,0.530809572,0,0.528717702,,,,,,,,
1003,YK,0,0,0,0,0,4.734785394,0,0,0,0,0,0,4.095284872,0,,,,,,,,SC,0.589911865,0.10436081,0.580656616,0.623433852,5.836486127,1.162605796,0.771565292,YK,0,0,0,0,1.194380332,0,2.444727525,YK,0,2.5471327,0.302175051,0.248092243,0.095576538,0,3.814080648,1003,0.211125093,0.020709423,0.020681305,0.151334556,0.307356022,0.024239909,-0.735446308
