Origin,Sample_TopSchool,SC_Sample_Prob,SG_Sample_Prob,MI_Sample_Prob,OC_Sample_Prob,RY_Sample_Prob,YK_Sample_Prob,YG_Sample_Prob,SC_Family_Prob,SG_Family_Prob,MI_Family_Prob,OC_Family_Prob,RY_Family_Prob,YK_Family_Prob,YG_Family_Prob,SC_NonFam_Prob,SG_NonFam_Prob,MI_NonFam_Prob,OC_NonFam_Prob,RY_NonFam_Prob,YK_NonFam_Prob,YG_NonFam_Prob,Grav_Pred,SG_Norm_Grav,MI_Norm_Grav,OC_Norm_Grav,RY_Norm_Grav,SC_Norm_Grav,YG_Norm_Grav,YK_Norm_Grav,HZ_Pred,MI_Norm_HZ,OC_Norm_HZ,RY_Norm_HZ,SC_Norm_HZ,SG_Norm_HZ,YG_Norm_HZ,YK_Norm_HZ,Dist_Pred,MI_Norm_Dist,OC_Norm_Dist,RY_Norm_Dist,SC_Norm_Dist,SG_Norm_Dist,YG_Norm_Dist,YK_Norm_Dist
618,SC,5.434661723818351,0.3289577022326938,0.0,0.0,1.0248164977280672,0.9436755712906341,3.0541666666666667,4.17452711223203,0.45002718868950514,0.0,0.0,0.865237846314689,0.8165762210162802,2.6273015873015875,,,,,,,,SC,0.5737328668798385,0.1185361244916201,0.5630385505701755,0.6039823513526739,5.51842101562558,1.3849456388125,0.8891186101319601,SC,0.0,0.0,0.9816803917645578,5.4389810816756645,0.3358815476116226,2.9433275761538793,0.980070431849389,SC,0.0,0.0,1.099752016113493,5.433769114439122,0.26818518048681816,3.4510436019283737,0.950332253733416
619,SC,4.79528975631031,0.7256419902191776,0.0,0.0,0.30141661697884325,1.1102065544595694,2.6948529411764706,3.68340627549885,0.9927070338739085,0.0,0.0,0.2544817195043203,0.9606779070779767,2.3182072829131655,,,,,,,,SC,0.6037454174183776,0.12457817387709497,0.592492226622807,0.6355778692764767,5.270643537886932,1.4573935263125002,0.8751503715094947,SC,0.0,0.0,0.30516299860485957,4.8626883354146,0.7360904551722379,2.770189400529839,1.0556092224899094,SC,0.0,0.0,0.2721581291177744,4.82352211821384,0.7392632065137343,2.365418009394286,1.1352235245994629
620,RY,3.135381763741356,0.5693498692488932,0.0,2.4730094466936574,1.9708009571693599,0.0,3.5240384615384617,2.609079445145019,0.8438009787928222,0.0,3.011644832605531,1.4420630771911482,0.0,3.284126984126984,0.0,0.0,0.0,0.0,6.734177215189873,0.0,0.0,SC,0.5914564442039718,0.1162502455642458,0.5804323190789474,0.6226409598671793,5.891628135458759,1.3599681140625,0.7091124430061152,RY,0.0,2.174772703101072,2.040184847231593,3.065544123171623,0.5549767017013572,3.8310660282646047,0.0,RY,0.0,2.3291471636846004,1.9960961732352858,3.0911943199909637,0.5762824976276042,3.52315146737561,0.0
621,YK,4.79528975631031,0.290256796087671,0.0,0.0,0.6028332339576865,1.6653098316893544,2.6948529411764706,3.68340627549885,0.3970828135495634,0.0,0.0,0.5089634390086406,1.441016860616965,2.3182072829131655,,,,,,,,SC,0.585513176088859,0.120815992,0.5745992786842106,0.6163837633974135,5.740981921112141,1.4133823738125002,0.7725965042935308,SC,0.0,0.0,0.6160637741370648,4.953217918839039,0.29082731790495914,2.612932019891007,1.605627691795988,YK,0.0,0.0,0.5787548238723214,4.720466787076599,0.3060470664400498,2.779286235422242,1.6745721021962465
622,YK,3.135381763741356,0.18978328974963107,0.0,0.0,1.576640765735488,1.4518085712163602,3.5240384615384617,2.4083810262877097,0.2596310703977915,0.0,0.0,1.3311351481764446,1.2562711092558159,3.031501831501832,,,,,,,,SC,0.5693190300336588,0.10734223988826815,0.5587075171929824,0.5993363508843061,5.954800113456906,1.2557567710625,0.7674578652397811,YK,0.0,0.0,1.5458824421622852,3.188801959238286,0.17658775483701258,3.420277123990237,1.4975023817306667,RY,0.0,0.0,1.7373241589568849,2.95749491454807,0.18110781708456522,4.216462748855255,1.3109004955509524
623,YK,6.793327154772938,0.0,0.0,0.0,0.0,2.359188928226585,0.0,5.218158890290038,0.0,0.0,0.0,0.0,2.0414405525407004,0.0,,,,,,,,SC,0.5911026674654999,0.10879009097206703,0.5800851085526315,0.6222685313037399,6.182645779110288,1.2492356823750002,0.6226718739169618,YK,0.0,0.0,0.27897985757150534,5.640639662563248,0.022286341995030108,0.48007414945144705,2.4105372576836976,SC,0.06824953445065178,0.03782249742002063,0.030518432469107876,6.792394737320324,0.009070524877739723,0.35995535714285715,2.251779748268796
624,RY,1.3586654309545878,0.7401548300235611,0.0,0.0,2.5620412443201674,0.47183778564531703,0.0,1.1595908645088973,0.7500453144825086,0.0,0.0,2.4034384619852474,0.4536534561201557,0.0,0.0,1.8292263610315187,0.0,0.0,0.0,0.0,0.0,SC,0.5857577528508919,0.10780638040223463,0.5748398184210527,0.6166418070674589,6.324764139666358,1.2379397400625,0.5909366967170905,RY,0.0,0.0,2.4523086888088246,1.3609263108142355,0.7878757009419862,0.0,0.48083293754493345,RY,0.0,0.0,2.4380830504325233,1.5667248416266748,0.8066640232170843,0.0,0.3865306284652242
625,SC,9.05776953969725,0.0,0.0,0.0,1.708027496213445,0.0,0.0,10.436317780580076,0.0,0.0,0.0,0.0,0.0,0.0,11.160839160839162,0.0,0.0,0.0,3.3670886075949364,0.0,0.0,SC,0.5683940585425783,0.10716774493854747,0.5577997867105263,0.5983626112408249,5.945124241723819,1.2537165571875,0.773877336272932,SC,0.0,0.0,2.0458304587175604,7.618591984166591,0.07871179785097658,0.0,0.03820817633176823,SC,0.0,0.0,1.7940520379187437,8.70302812396554,0.006251684838811377,0.0,0.03202518907094912
1001,YK,0.0,0.0,0.0,0.0,0.0,4.71837785645317,0.0,0.0,0.0,0.0,0.0,0.0,4.082881105081401,0.0,,,,,,,,SC,0.5370438977280377,0.1138350965586592,0.5270339442105263,0.565359512981475,5.284139773012048,1.2686042453125,1.094831514271001,YK,0.0,0.0,0.0,0.0,1.193294064849097,0.0,2.4362557665486535,RY,0.0350997605746209,0.6429824561403509,2.5263556698457084,1.4376513379525426,0.7993427404059348,0.091625,0.25015828313945465
1002,,,,,,,,,,,,,,,,,,,,,,,SC,0.5560766436452372,0.10234368766480446,0.5457119415789473,0.5853957618175463,5.47141386828545,1.1321464914375001,0.9895689159768264,YK,0.0,0.0,0.0,0.0,1.193294064849097,0.0,2.4362557665486535,SC,0.08189944134078211,0.32149122807017544,1.0265245252242807,6.22333465731056,0.5303268099565642,0.0,0.5268855273039373
1003,YK,0.0,0.0,0.0,0.0,0.0,4.71837785645317,0.0,0.0,0.0,0.0,0.0,0.0,4.082881105081401,0.0,,,,,,,,SC,0.5893753508683945,0.10847209182122905,0.5783900139035087,0.620449569129675,5.79904500459685,1.1746294305624998,0.7688915726617316,YK,0.0,0.0,0.0,0.0,1.193294064849097,0.0,2.4362557665486535,YK,0.0,2.5371899299530876,0.30072858478660647,0.24650072818747518,0.0954896128591854,0.0,3.8008636451700504
1004,RY,0.0,0.0,0.0,0.0,5.124082488640335,0.0,0.0,0.0,0.0,0.0,0.0,4.326189231573445,0.0,0.0,,,,,,,,SC,0.5410417823628408,0.11348925159776536,0.5309573267105263,0.5695681883816847,5.323481112604263,1.2647500396875,1.069568587878983,YK,0.0,0.0,0.0,0.0,1.193294064849097,0.0,2.4362557665486535,SC,0.11546702263739188,0.08573099415204678,1.298264676134568,3.5878741664122815,0.5911690164056962,2.2261206033549787,0.8712028737914737
