,SG,MI,OC,RY,SC,YG,YK,SGNorm,MINorm,OCNorm,RYNorm,SCNorm,YGNorm,YKNorm,Origin
78,0.567643139,0.017568205,0.051188035,0.259212833,0.016542728,0.01122156,0.0766235,1.400479369,0.287765241,1.645650436,1.328227938,0.224760331,0.514087706,0.361538625,78
79,0.563874354,0.018859793,0.050869424,0.257599406,0.016710893,0.011229864,0.080856266,1.391181088,0.308921299,1.635407363,1.319960607,0.227045131,0.514468136,0.381510415,79
80,0.564047743,0.018219911,0.050885066,0.261771073,0.0170522,0.011414449,0.076609558,1.391608871,0.298440104,1.635910244,1.341336572,0.231682352,0.522924426,0.361472841,80
81,0.544136959,0.017033981,0.048976724,0.287578813,0.018979891,0.01253978,0.070753851,1.342485328,0.279014701,1.574558723,1.473577562,0.257873223,0.574478687,0.333843403,81
82,0.561162211,0.019831053,0.050624751,0.260431916,0.016964972,0.011356049,0.079629049,1.384489737,0.324830433,1.627541324,1.334474619,0.230497207,0.520248983,0.375719939,82
83,0.560368825,0.021356806,0.050553176,0.259271754,0.016835313,0.011305465,0.08030866,1.382532309,0.349822089,1.625240263,1.328529855,0.228735582,0.517931638,0.378926604,83
84,0.56331182,0.019822642,0.050818676,0.257342419,0.016710204,0.011218667,0.080775572,1.389793215,0.324692654,1.633775844,1.318643785,0.227035769,0.513955177,0.38112967,84
85,0.559631554,0.022431924,0.050486664,0.255661133,0.016679191,0.011145368,0.083964165,1.380713327,0.367432414,1.623101953,1.310028735,0.226614403,0.510597182,0.396174657,85
86,0.55505903,0.024665306,0.050074158,0.253572229,0.016735504,0.011054311,0.088839462,1.369432074,0.404014955,1.60984024,1.299325018,0.227379512,0.506425626,0.41917815,86
87,0.547399608,0.027123874,0.04938317,0.250712508,0.016836036,0.010930629,0.097614175,1.35053488,0.444286019,1.587625583,1.284671572,0.228745405,0.500759443,0.460580563,87
88,0.549891854,0.025458867,0.049608005,0.251853972,0.016912692,0.010980397,0.095294212,1.356683706,0.417013404,1.594853854,1.29052053,0.229786899,0.503039435,0.4496341,88
89,0.549964644,0.025484792,0.049579208,0.250956663,0.016011062,0.010864963,0.097138668,1.356863292,0.417438047,1.593928036,1.285922642,0.217536769,0.497751135,0.458336939,89
90,0.563853943,0.020090849,0.050831325,0.256861844,0.01597114,0.011139362,0.081251535,1.391130732,0.329085869,1.634182522,1.316181277,0.216994364,0.510322024,0.383375445,90
91,0.567305723,0.019272243,0.049088111,0.257541461,0.015681723,0.011207555,0.079903184,1.399646902,0.31567719,1.57813971,1.319663691,0.213062152,0.513446093,0.377013415,91
92,0.57584964,0.01902992,0.047243901,0.247865787,0.015567554,0.011376341,0.083066857,1.420726307,0.311707966,1.518849975,1.27008474,0.211510975,0.521178616,0.391940819,92
93,0.585179015,0.019028225,0.043454364,0.237899954,0.015986426,0.011763839,0.086688177,1.443743581,0.311680202,1.397019689,1.219018988,0.217202049,0.53893086,0.409027574,93
94,0.578112237,0.020181885,0.041659485,0.229813686,0.016939505,0.013362184,0.099931019,1.426308548,0.330577014,1.339315885,1.177584285,0.230151194,0.612155051,0.471512308,94
95,0.572751144,0.022463712,0.041273158,0.227682521,0.016782419,0.013520784,0.105526263,1.413081752,0.367953087,1.32689581,1.166664019,0.22801692,0.619420936,0.497912781,95
96,0.580052529,0.02108618,0.043299225,0.237050613,0.01584638,0.011660783,0.09100429,1.431095603,0.345389268,1.392032108,1.214666897,0.215299281,0.534209632,0.429392626,96
97,0.570167495,0.021533304,0.04661007,0.244540383,0.015413943,0.011264086,0.09047072,1.406707417,0.352713117,1.49847286,1.253045096,0.20942391,0.516035932,0.42687504,97
98,0.561487051,0.022298547,0.04847239,0.252269863,0.015360742,0.011092595,0.089018812,1.385291177,0.365247705,1.558344818,1.292651587,0.208701094,0.508179514,0.42002439,98
99,0.553692564,0.024850923,0.047893958,0.248486338,0.015130362,0.010973741,0.098972114,1.366060752,0.407055337,1.539748752,1.273264494,0.205570991,0.502734531,0.46698783,99
100,0.561353686,0.025195722,0.045914252,0.240889766,0.015175674,0.011125577,0.100345324,1.384962139,0.412703113,1.476102932,1.234339033,0.206186633,0.509690482,0.473467152,100
101,0.556457846,0.025991749,0.043561205,0.238484878,0.016053236,0.011813001,0.107638085,1.372883207,0.425741952,1.40045454,1.222016188,0.218109762,0.541183115,0.507877156,101
102,0.57185488,0.022959842,0.043309463,0.237106663,0.015896849,0.011697922,0.097174382,1.410870506,0.376079644,1.392361246,1.214954098,0.215984987,0.535911035,0.458505452,102
103,0.566680438,0.024247215,0.04120263,0.225572369,0.016604551,0.013179266,0.112513531,1.398104211,0.397166671,1.324628422,1.155851424,0.22560029,0.603775144,0.530881353,103
104,0.563269748,0.025572699,0.041014988,0.22454508,0.016504605,0.013053426,0.116039454,1.389689415,0.418877954,1.318595873,1.150587511,0.224242361,0.598010099,0.547517992,104
105,0.552561872,0.028467962,0.040743998,0.220742428,0.016190844,0.012834209,0.128458687,1.363271128,0.466302042,1.309883782,1.131102408,0.219979406,0.587967213,0.606116624,105
106,0.537570506,0.03313401,0.040338105,0.214753541,0.015751578,0.012801072,0.145651189,1.326284687,0.542731378,1.296834694,1.100414857,0.21401124,0.586449115,0.687237346,106
107,0.547731368,0.028617773,0.043328536,0.234744913,0.015785985,0.011616341,0.118175084,1.351353392,0.468755916,1.392974418,1.202852298,0.214478726,0.532173637,0.5575947,107
108,0.552431305,0.027480812,0.045776183,0.240165384,0.014934457,0.010948746,0.108263112,1.362948996,0.450132633,1.471664129,1.23062724,0.202909308,0.501589443,0.510826268,108
109,0.544396546,0.028619517,0.047884688,0.241971837,0.015045308,0.010789501,0.111292604,1.343125777,0.468784495,1.539450703,1.239883651,0.204415395,0.494294008,0.525120558,109
110,0.54165452,0.029537952,0.048830052,0.246914205,0.015753156,0.010700793,0.106609322,1.336360698,0.483828353,1.569843326,1.265208755,0.214032685,0.490230063,0.503023065,110
111,0.538639664,0.031063326,0.048558263,0.24560126,0.015669387,0.010646857,0.109821243,1.328922498,0.508813811,1.561105558,1.258481117,0.212894545,0.487759117,0.518178119,111
112,0.518247999,0.037236669,0.046753283,0.239783267,0.015590678,0.010633731,0.131754374,1.278612531,0.609932472,1.503077037,1.22866924,0.211825153,0.487157792,0.62166692,112
113,0.526670108,0.034518445,0.04747921,0.239922868,0.014917908,0.010911099,0.125580363,1.299391414,0.565408268,1.526414944,1.229384565,0.202684465,0.499864715,0.592535602,113
