MI_Norm_HZ,OC_Norm_HZ,RY_Norm_HZ,SC_Norm_HZ,SG_Norm_HZ,YG_Norm_HZ,YK_Norm_HZ,MI_Norm_dist,OC_Norm_dist,RY_Norm_dist,SC_Norm_dist,SG_Norm_dist,YG_Norm_dist,YK_Norm_dist,Origin
0.121381268,0,0.415115045,0.123061165,2.207154635,0,0.037342706,0,0.887573504,2.046846738,0.030334983,1.131187604,0,0.52944634,54
0.001388126,7.978978523,0.021856962,0.002302823,1.843292016,0,0.000799725,0.003831553,6.491940588,0.052503652,0.000794541,1.931672709,0,0.021620971,55
0,1.327299499,2.193229307,0,1.296974483,0,0.023591889,0,0.040186404,2.83387382,0.008491659,1.061875463,0,0.069242195,56
0,10.57553049,1.671426907,0,0.037007742,0,1.556390639,0,9.529153091,1.942685761,0,0.063735555,0,1.409065195,57
0,3.766805556,3.865266224,0,0,0,0.606311555,0,1.218987573,4.127684315,0.0320796,0.322591979,0,0.110518639,58
0.014890808,0,1.900306289,0,1.188513231,0,0.691261931,0,0,1.740724023,0,1.221353374,0,0.779693217,59
1.38186554,0,1.061343753,0,1.269351376,2.774676423,0.629656752,1.168096383,0,1.198076498,0,1.211546976,2.894697005,0.663515193,60
0.044010609,0,2.207891725,0,0.679764035,0.050902778,1.367359349,0,0,2.497252656,0.004117168,0.687944365,0,1.101754847,61
0,0,0.728055428,0,1.98207601,0,0.257334333,0,0,0.738739734,0,1.971877474,0,0.267000217,62
0,0,1.445818448,0,1.16709581,3.135681688,0.8320605,0,0,1.528537307,0,1.189245064,2.570053501,0.771787406,63
0,3.291210379,1.056758936,0,1.461756718,0,0.466708186,0,3.142212144,1.029024213,0,1.464901391,0,0.508100715,64
0,1.948903778,0.811864228,0,1.637291057,0,0.553515564,0,1.86608429,0.756632218,0,1.643083886,0,0.605451025,65
0.467655533,1.680580687,0.626821622,0.353158742,1.567191535,0,0.639992424,0.437349141,1.713947685,0.592485513,0.287724479,1.587404648,0,0.6595102,66
0.213896468,6.182919162,0.806030451,0.379228637,1.440219052,0,0.121058609,0.199076286,6.192303746,0.812452943,0.339712973,1.44656939,0,0.119614655,67
0.350006389,2.72159284,0.383020857,0.148697121,1.983169092,0,0.021062226,0.359127958,2.628947559,0.389244833,0.138702801,1.984484959,0,0.0272549,68
0,0.498356771,0.040499277,0.089169729,2.34285941,0,0.096361804,0,0.447937417,0.043326587,0.091403649,2.339614633,0,0.106587861,69
0,0.384574319,0.031115698,0,2.422688001,0,0,0,0.368863769,0.031424143,0,2.423745144,0,0,70
0,0,0.203547603,0.2183621,2.221551896,0,0.206493799,0,0,0.204083065,0.204123587,2.229213461,0,0.196293085,71
0,0.860197404,0.3617177,0.234667212,1.974576061,0,0.401267707,0,0.846367051,0.363996521,0.238698792,1.974233843,0,0.40045352,72
0,0,0.31862003,0.354536323,2.18981117,0,0.113944459,0,0,0.320971462,0.340253516,2.198449371,0,0.100219164,73
0,0.937965791,0.727716979,0,1.980779076,0.608623631,0.059781298,0,0.88344081,0.761776801,0,1.976062516,0.544251545,0.052070679,74
0,3.538194331,0.644145357,0.187665104,1.654311355,0,0.376979336,0,3.323920746,0.627194732,0.223958933,1.674262898,0,0.373275244,75
0,1.503387912,0.581872087,0.555161632,1.700559091,0,0.516890104,0,1.326013176,0.59606001,0.612908758,1.669371637,0,0.569448177,76
0.818803667,2.485878201,0.656801832,0,1.506467717,0,0.631821384,0.965017139,1.978573634,0.738764699,0,1.493915319,0,0.612690523,77
0,4.778348506,1.97239942,0,1.150797432,0,0,0,4.318051341,1.855643733,0,1.242337911,0,0,78
0.245687476,0.446551754,0.736393016,0.25166876,1.926962772,0,0.131348024,0.247305406,0.506514098,0.735688474,0.211084978,1.928785799,0,0.133337818,79
0.002183985,0,0.00683211,0.005434662,1.818427268,0,1.231908542,0,0.017377904,0.014008666,0,1.850940874,0,1.163085358,80
0,0,3.277887768,0,0.870416206,0,0.035387834,0,0,3.361032107,0,0.848887099,0,0,81
0,0,2.736260049,0,1.149707169,0,0,0.00618109,0.332679302,2.657768092,0.088347851,1.123347744,0,0.041400716,82
10.81072626,0.191704652,0.781197725,0.072399264,0.412151535,0,0.043402883,11.00606843,0.07246801,0.270789005,0.013750253,0.651747767,0,0.036779611,83
0,3.642756387,0.593151,1.154700934,1.342239359,0,0.669581428,0,3.944597569,0.569683983,1.256775541,1.314003425,0,0.665442058,84
0,1.042009979,0.187804994,0.37375255,2.110103517,0,0.227235037,1.482810938,0.531863954,0.449669112,0.015106358,1.945848191,0.022167339,0.070237417,85
0,0.37873703,1.087193752,0.129238544,1.848248124,0,0.082103588,0.400425267,1.220337116,1.969100421,0.11818068,1.102308912,0.029556452,0.458530666,86
0,0.491181109,3.789002591,0,0.58255183,0,0.043180568,0.083173321,0.51727194,3.654693198,0.176239065,0.431033039,0.038072717,0.363715189,87
0,0.961485657,4.088592317,0,0.359703704,0,0.124473934,0.257206899,1.314162843,2.592495091,0.139266244,0.80663755,0.029556452,0.470114725,88
0,3.045584173,1.604354871,0,1.237200549,0,0.427971892,0,2.91494408,1.54130405,0,1.272869771,0,0.436988231,89
0,2.347134326,0.730396946,0.682759971,1.607680784,0,0.389605362,0,2.834966058,0.667811576,0.621846729,1.62689589,0,0.360044596,90
0.840409652,6.43771757,0.723284924,0,1.393234033,0,0.200939608,0.72887141,6.844349447,0.684317637,0,1.386987265,0,0.221218428,91
0,3.714806854,0.413353298,0,1.854824225,0,0.245277999,0,3.509319264,0.429402454,0,1.84483573,0,0.279760568,92
0,0.981739721,0.759589832,0.15621472,1.801212085,0,0.375855258,0,1.188266415,0.727201137,0.15553447,1.804892854,0,0.368565507,93
0,0,0.669486053,0.229159999,1.830491403,0,0.521582507,0,0,0.704775394,0.265368468,1.794883045,0,0.544612156,94
0,1.308652847,0.688760551,0.332840384,1.485680539,0,0.93519853,0,1.720209322,0.586484217,0.403314719,1.524576962,0,0.870112749,95
0.439710484,3.30034806,0.739319799,0,1.294076422,0,0.951691135,0.366482905,3.176249421,0.72886571,0,1.294441645,0,0.9999263,96
0,2.877598107,0.969324696,0.848023257,1.479236306,0,0.279992945,0,2.714698507,0.933778104,0.804224206,1.501835311,0,0.30862407,97
0,0,1.47026426,0,1.33855505,0,0.804596024,0,0,1.369914528,0,1.403009747,0,0.773733704,98
0.546019499,3.615930144,1.326370087,0,1.218579093,0,0.478566661,0.56525708,3.406515091,1.211679007,0,1.251553077,0,0.546308983,99
1.884946247,0,0.651779051,0,1.566598652,0,0.579177358,1.866936561,0,0.552442188,0,1.609447753,0,0.593889967,100
0,1.646584202,0.94891231,0.416833821,1.54738742,0,0.498866991,0,1.703596517,0.913142722,0.384157981,1.574107379,0,0.483683989,101
0,0,0.688347377,0,1.890762161,0,0.468532151,0,0,0.671755442,0,1.9146093,0,0.438203804,102
0,2.673658407,0.212406319,0.597084976,1.663469167,0,0.741721534,0,2.745227362,0.177520085,0.600074583,1.660990962,0,0.767042997,103
0,1.051720192,1.429089927,0,1.158445919,1.406325371,0.887762967,0,0.973915775,1.316646914,0,1.196267633,1.572336417,0.913291811,104
0,0.625388023,0.697612958,0.256013618,1.735644505,1.008573996,0.472085732,0,0.520825376,0.71736088,0.254527869,1.742709148,1.087763327,0.448096735,105
0,5.860621612,0.593214126,0.801531123,1.028967081,2.317898986,0.827057862,0,5.688983737,0.638841319,0.728586202,0.990688355,3.012933467,0.837188599,106
0,2.788462653,1.677035186,0,1.039656111,0,0.776577648,0,2.523751072,1.682789291,0,1.050019762,0,0.790309598,107
0,0,2.52785837,1.284775085,1.016749392,0,0,0,0,2.334915392,1.972067658,0.984844507,0,0,108
0,2.346260371,1.073842005,0.348287497,1.316479199,0,0.74654705,0,2.386716977,0.979395675,0.345371235,1.362374255,0,0.74081836,109
0.368883141,1.293912733,1.448209385,0.307643867,0.907699514,0,1.245896391,0.289016715,1.227646715,1.484028668,0.290598155,0.883219327,0,1.298381869,110
0.368883141,1.293912733,1.448209385,0.307643867,0.907699514,0,1.245896391,0.659940444,0.83500231,1.516611408,0.259847441,1.034370621,0.351562231,0.904557926,111
0.433605432,0,0.493228784,0,1.974692701,0.535719441,0.307609057,0.217875392,0.06904707,0.179506642,0.061162145,2.088317867,0.069838306,0.457940322,112
