Level,Status,Mode,Gender,Licence,Work,Car_Avail,Family,Cars,Children,Adults,Income,Time.Auto,Time.Transit,Time.Walk,Time.Bike
Grad,PT,Bike,Male,1,FT,0,Family,1,1,2,High,32.90234,68.344045,213.1467,56.83912
Grad,FT,Bike,Female,1,Other,1,Other,0,0,1,Low,31.103579999999997,71.911254,177.3735,47.2996
UG,FT,Walk,Male,1,Other,1,Other,0,0,2,Low,2.0714900000000003,24.722109,19.031309999999998,5.075016
Grad,FT,Walk,Female,1,Other,0,Other,0,0,2,Low,2.924953,24.128386,16.985265000000002,4.529404
UG,PT,Transit,Female,1,Other,1,Other,1,0,5,Unknown,23.7902,98.9388,204.6681,54.578160000000004
UG,FT,Walk,Male,1,Other,0,Other,0,0,2,Low,2.523888,24.493026999999998,28.469009999999997,7.591736
Grad,FT,Walk,Female,1,Other,1,Other,0,0,3,Low,1.117177,20.195869,11.101709999999999,2.9604559999999998
UG,FT,Walk,Male,1,Other,0,Other,1,0,1,Unknown,2.595157,27.40234,23.805030000000002,6.348008000000001
UG,FT,Transit,Male,0,Other,0,Family,0,0,3,Unknown,56.19446,126.74985,368.2065,98.18839999999999
UG,FT,Auto,Male,1,Other,0,Family,2,0,3,Unknown,28.717879999999997,88.993634,239.29364999999999,63.81164
Grad,FT,Transit,Female,0,Other,0,Family,1,0,5,High,15.382270000000002,72.18695500000001,155.8368,41.55648
UG,FT,Bike,Female,0,Other,0,Other,0,0,2,Unknown,2.595157,27.40234,23.805030000000002,6.348008000000001
UG,FT,Walk,Female,0,Other,0,Other,0,0,6,Unknown,1.117177,20.195869,11.101709999999999,2.9604559999999998
Grad,FT,Transit,Male,1,Other,0,Other,2,0,2,Low,92.61941999999999,176.27694000000002,746.73885,199.13036
Grad,FT,Walk,Female,1,Other,0,Other,0,0,2,Unknown,2.510406,26.944984,21.925545,5.846812
UG,FT,Walk,Male,0,Other,0,Other,0,0,2,Unknown,1.3311520000000001,20.977919,13.21644,3.524384
UG,FT,Bike,Female,0,Other,0,Family,0,0,5,Low,10.52242,43.067991000000006,68.26956,18.205216
Grad,FT,Transit,Female,1,Other,0,Other,0,0,1,Unknown,7.717772999999999,37.877319,75.9915,20.264400000000002
UG,FT,Auto,Female,1,Other,0,Family,2,1,3,Unknown,9.07656,44.284079,124.20957000000001,33.122552000000006
UG,FT,Auto,Male,1,Other,0,Family,2,1,2,Low,8.371546,39.260653000000005,113.734875,30.3293
UG,FT,Walk,Female,1,Other,0,Other,0,0,3,Unknown,2.014925,20.126511999999998,15.20709,4.055224
UG,FT,Transit,Male,1,Other,0,Other,1,0,1,Low,7.594738,37.915189,55.39156499999999,14.771083999999998
UG,FT,Transit,Female,0,Other,0,Family,2,1,3,Unknown,10.3305,42.667442,145.084905,38.689308
Grad,FT,Transit,Male,1,Other,0,Other,0,0,1,Unknown,28.59184,50.628108000000005,188.0475,50.146
UG,FT,Transit,Female,0,Other,0,Family,2,2,4,Unknown,55.53103,124.98586200000001,539.59335,143.89156
UG,FT,Walk,Female,1,PT,0,Family,0,0,3,Unknown,3.4422599999999997,30.10613,27.606600000000004,7.36176
Grad,FT,Transit,Female,0,Other,0,Other,2,0,4,Unknown,6.993628,41.961507,63.52813499999999,16.940836
Grad,FT,Transit,Female,0,Other,0,Other,0,0,1,Unknown,17.36111,37.486876,89.375625,23.8335
UG,FT,Transit,Female,0,Other,0,Family,2,0,4,Unknown,29.964170000000003,73.846985,195.58275,52.1554
Grad,FT,Transit,Female,1,Other,0,Other,0,0,1,Low,22.874879999999997,67.698063,283.96815,75.72484
UG,FT,Auto,Female,1,Other,1,Family,2,0,5,Unknown,52.769709999999996,154.97677,602.8362000000001,160.75632000000002
UG,FT,Transit,Female,1,Other,1,Family,1,1,5,Unknown,49.78134,115.17184099999999,320.1726,85.37936
Grad,FT,Bike,Male,1,PT,0,Other,0,0,4,Unknown,1.117177,20.195869,11.101709999999999,2.9604559999999998
UG,FT,Walk,Female,0,Other,0,Other,0,1,3,Unknown,1.117177,20.195869,11.101709999999999,2.9604559999999998
UG,FT,Transit,Male,1,Other,0,Family,1,1,5,Unknown,8.122135,41.445084,102.41788500000001,27.311436
UG,FT,Transit,Male,1,Other,0,Family,2,1,4,Low,4.614781,24.989461,59.37669,15.833784
UG,FT,Transit,Male,1,Other,1,Family,2,0,4,Unknown,65.54975,154.84435000000005,517.41405,137.97708
UG,FT,Transit,Male,0,Other,0,Family,2,0,5,Unknown,78.52783000000001,170.45036000000002,645.25155,172.06707999999998
UG,FT,Walk,Female,0,Other,0,Other,0,0,4,Unknown,2.014925,20.126511999999998,15.20709,4.055224
Grad,FT,Walk,Female,1,Other,0,Other,1,0,3,Unknown,1.464106,25.325449,14.598600000000001,3.89296
Grad,FT,Transit,Male,0,Other,0,Other,0,0,1,Low,29.070829999999997,57.75046700000001,176.15535,46.97476
Grad,FT,Bike,Male,1,Other,1,Other,1,0,2,Low,4.911077,31.749745,33.225285,8.860076
UG,FT,Transit,Female,0,PT,0,Family,0,0,5,Low,34.2549,126.64475300000001,435.43215000000004,116.11524
UG,FT,Auto,Female,1,Other,0,Family,2,0,4,Unknown,74.63322,201.73118,877.0047000000001,233.86792000000003
Grad,FT,Bike,Female,1,Other,1,Other,1,0,2,Unknown,2.014925,20.126511999999998,15.20709,4.055224
UG,FT,Transit,Male,0,PT,0,Family,1,1,5,Low,12.01931,52.160221,82.95414,22.121104
UG,FT,Transit,Female,0,Other,0,Family,1,0,5,Unknown,35.24685,100.985733,388.3665,103.56439999999999
Grad,FT,Walk,Female,1,Other,0,Other,0,0,1,Unknown,2.168042,23.855995999999998,19.46616,5.190976
Other,Other,Bike,Female,1,Other,0,Other,2,1,2,Unknown,15.32311,55.670007999999996,101.65329,27.107543999999997
Grad,FT,Transit,Female,1,Other,0,Other,0,0,2,Low,7.961721000000001,35.038115999999995,50.06562,13.350832
Grad,FT,Transit,Female,0,Other,0,Other,0,0,2,Low,63.633109999999995,143.43285100000003,472.6422,126.03792
Grad,FT,Transit,Female,1,Other,0,Other,0,0,1,Low,13.92199,41.453521,83.277195,22.207252
Grad,FT,Walk,Female,1,Other,1,Other,0,0,2,Unknown,3.892384,28.438384000000003,39.42108,10.512288
UG,FT,Walk,Female,1,Other,1,Other,0,0,4,Unknown,3.068723,25.742024,23.927640000000004,6.380704000000001
UG,FT,Transit,Female,0,Other,0,Family,2,0,5,Unknown,4.3501,30.203819,47.27064,12.605504
UG,FT,Walk,Female,1,Other,0,Other,0,0,5,Unknown,1.049121,16.675728,10.491209999999999,2.797656
UG,FT,Walk,Male,0,Other,0,Other,0,0,3,Unknown,1.464106,25.325449,14.598600000000001,3.89296
Grad,FT,Transit,Female,1,PT,0,Family,2,1,2,High,49.678020000000004,85.109091,298.2465,79.5324
Grad,FT,Walk,Male,1,Other,0,Family,2,0,3,Unknown,2.776623,26.813798,23.593725,6.29166
UG,FT,Transit,Male,1,Other,1,Family,2,1,3,Unknown,22.57604,89.180144,201.09855,53.62628
UG,FT,Walk,Female,1,Other,1,Other,0,0,2,Low,2.014925,20.126511999999998,15.20709,4.055224
Other,Other,Walk,Female,0,PT,0,Other,0,0,2,Low,2.776623,26.813798,23.593725,6.29166
Grad,FT,Transit,Male,1,Other,0,Other,1,0,2,Low,17.36111,37.486876,89.375625,23.8335
Grad,FT,Transit,Female,1,Other,0,Family,1,2,2,Unknown,19.19235,51.81050000000001,120.050385,32.013436
UG,FT,Walk,Male,0,Other,0,Other,0,0,1,Unknown,2.845125,24.990155,27.043575,7.21162
UG,FT,Walk,Male,0,Other,0,Other,0,0,2,Unknown,2.595157,27.40234,23.805030000000002,6.348008000000001
UG,FT,Auto,Female,1,Other,1,Family,2,0,4,Unknown,51.14774,121.54133,533.0118,142.13648
UG,PT,Transit,Female,1,FT,0,Family,1,0,2,Unknown,11.27827,44.993718,74.18136,19.781696
UG,FT,Walk,Female,1,Other,1,Other,0,0,1,Unknown,2.168042,23.855995999999998,19.46616,5.190976
UG,FT,Auto,Male,1,Other,1,Family,1,1,3,Unknown,23.800060000000002,90.12109,229.38479999999998,61.16928
Grad,FT,Transit,Male,1,Other,0,Other,1,0,3,Unknown,15.85454,47.83985300000001,92.782125,24.7419
Grad,FT,Bike,Male,1,Other,1,Other,1,0,2,Low,2.014925,20.126511999999998,15.20709,4.055224
UG,FT,Transit,Female,1,Other,1,Family,2,2,4,High,8.250103,35.315525,88.190685,23.517516
UG,FT,Transit,Male,0,PT,0,Family,2,0,4,High,48.56919,135.888826,331.77645,88.47372
UG,FT,Bike,Male,1,PT,0,Other,1,0,3,Unknown,1.464106,25.325449,14.598600000000001,3.89296
Grad,FT,Transit,Female,1,Other,0,Family,2,0,3,High,32.36266,73.067319,196.41555000000002,52.377480000000006
UG,FT,Transit,Male,0,Other,0,Family,0,1,3,Unknown,28.386979999999998,85.44495500000002,355.40729999999996,94.77528
UG,FT,Transit,Female,0,Other,0,Family,1,0,3,Low,21.56203,58.379758,116.34838500000001,31.026236
UG,PT,Transit,Female,0,Other,0,Family,2,0,5,Unknown,54.61469,155.730367,417.22139999999996,111.25904
UG,FT,Auto,Female,1,Other,0,Family,2,0,4,Unknown,52.80321,128.95526999999998,559.4454000000001,149.18544
Grad,FT,Bike,Female,1,Other,1,Other,1,0,5,Unknown,7.961721000000001,35.038115999999995,50.06562,13.350832
UG,FT,Auto,Female,0,Other,0,Family,1,0,4,Unknown,1.885362,20.435959,19.86384,5.297024
UG,FT,Transit,Female,1,Other,1,Family,1,2,3,Unknown,63.395309999999995,160.491967,474.73455000000007,126.59588000000001
UG,FT,Transit,Female,1,Other,1,Family,1,1,3,Low,19.30037,44.767979,104.03547,27.742792
UG,FT,Walk,Female,1,Other,0,Other,0,0,1,Unknown,2.924953,24.128386,16.985265000000002,4.529404
UG,FT,Transit,Female,1,Other,0,Other,0,0,2,Low,5.769032,30.167623,51.040994999999995,13.610931999999998
UG,FT,Walk,Female,0,Other,0,Other,0,0,2,Low,7.717772999999999,37.877319,75.9915,20.264400000000002
Grad,FT,Walk,Female,0,Other,0,Other,0,0,3,Unknown,2.014925,20.126511999999998,15.20709,4.055224
Grad,FT,Transit,Female,1,Other,0,Family,1,2,2,High,13.53559,50.490272999999995,88.17565499999999,23.513507999999998
UG,FT,Auto,Male,1,Other,0,Family,1,0,5,Unknown,32.172740000000005,110.024981,272.87475,72.76660000000001
UG,FT,Transit,Male,1,Other,1,Family,2,0,3,Unknown,26.741290000000003,79.65141700000002,184.09215,49.09124
Grad,FT,Transit,Male,0,Other,0,Other,0,0,2,Low,32.017509999999994,83.156993,356.68215000000004,95.11524
UG,FT,Transit,Male,1,Other,0,Family,0,0,5,Low,68.87486,99.884775,526.4025,140.374
Grad,FT,Walk,Male,0,Other,0,Other,0,0,2,Unknown,2.523888,24.493026999999998,28.469009999999997,7.591736
UG,FT,Transit,Male,1,Other,1,Family,2,0,3,Unknown,4.289724,29.3483,30.6678,8.17808
UG,FT,Walk,Female,1,Other,0,Other,0,0,1,Unknown,1.9141869999999999,23.859148,17.990325000000002,4.79742
Grad,PT,Walk,Female,1,Other,0,Other,0,0,1,Low,0.0,0.0,0.0,0.0
UG,FT,Walk,Female,1,Other,1,Other,0,0,2,High,2.168042,23.855995999999998,19.46616,5.190976
Grad,FT,Bike,Male,1,Other,0,Other,1,0,2,Unknown,7.961721000000001,35.038115999999995,50.06562,13.350832
Grad,FT,Transit,Male,1,Other,1,Other,0,0,2,Unknown,11.057360000000001,37.31815,63.98426999999999,17.062472
Grad,FT,Bike,Female,1,Other,0,Other,0,0,1,Unknown,15.891110000000001,45.144366,87.02386499999999,23.206363999999997
UG,FT,Walk,Female,0,Other,0,Other,0,0,5,Unknown,1.15247,17.169234,11.262285,3.003276
UG,FT,Transit,Male,0,Other,0,Other,0,0,1,Unknown,0.0,0.0,0.0,0.0
Grad,FT,Transit,Female,0,PT,0,Family,2,0,4,Unknown,65.64657,96.277786,472.7253,126.06008
Grad,FT,Transit,Female,1,Other,1,Family,1,0,3,Unknown,86.34888000000001,151.98685600000002,687.40515,183.30804
UG,FT,Bike,Male,0,Other,0,Family,1,2,2,High,4.603065,25.568201000000002,35.364990000000006,9.430664
UG,FT,Transit,Female,1,Other,1,Other,0,0,4,Unknown,23.7902,98.9388,204.6681,54.578160000000004
UG,PT,Transit,Female,1,Other,0,Other,1,0,2,High,3.145816,20.714456,33.342495,8.891332
UG,FT,Walk,Female,1,Other,1,Other,0,0,4,Unknown,7.717772999999999,37.877319,75.9915,20.264400000000002
UG,FT,Auto,Male,1,Other,0,Other,2,0,2,Unknown,19.18929,52.600751,114.68679,30.583144
UG,FT,Walk,Male,1,Other,1,Other,0,0,3,Low,2.141326,19.940688,19.27866,5.140975999999999
UG,FT,Transit,Male,1,Other,0,Family,2,2,3,High,88.53589000000001,125.59295,626.6408999999999,167.10424
UG,FT,Transit,Female,0,Other,0,Family,2,1,4,Unknown,54.67905,133.365501,385.8555,102.8948
UG,FT,Transit,Female,1,PT,1,Other,0,0,6,Unknown,9.638221000000001,34.536596,55.197585000000004,14.719356000000001
Grad,FT,Bike,Male,0,Other,0,Other,0,0,3,High,1.117177,20.195869,11.101709999999999,2.9604559999999998
UG,FT,Walk,Male,0,Other,0,Other,1,1,3,Unknown,0.0,0.0,0.0,0.0
UG,FT,Transit,Male,0,Other,0,Family,2,1,4,Unknown,56.19446,126.74985,368.2065,98.18839999999999
Grad,FT,Transit,Female,0,Other,0,Other,0,0,2,Low,26.9185,39.01859,180.08610000000002,48.02296
UG,FT,Transit,Female,1,Other,0,Family,2,1,4,Unknown,43.24969,130.64222900000001,310.2468,82.73248
UG,FT,Transit,Male,0,PT,0,Family,1,1,3,High,32.571740000000005,69.622366,212.3673,56.63128
UG,FT,Walk,Female,1,Other,1,Family,2,2,3,Unknown,78.52228000000001,122.85326,598.2861,159.54296
UG,FT,Walk,Male,0,Other,0,Other,0,0,3,Unknown,1.464106,25.325449,14.598600000000001,3.89296
UG,FT,Transit,Male,1,Other,0,Family,0,1,2,Unknown,31.373890000000003,72.71069200000001,199.884,53.3024
Grad,FT,Transit,Female,0,Other,0,Family,0,2,2,Low,2.168042,23.855995999999998,19.46616,5.190976
UG,FT,Transit,Female,0,PT,0,Family,1,0,3,Unknown,7.019825999999999,31.444467,96.208185,25.655516
Other,Other,Walk,Male,1,Other,1,Other,0,0,1,Unknown,2.168042,23.855995999999998,19.46616,5.190976
Grad,PT,Transit,Male,1,Other,0,Other,1,0,3,Unknown,3.2369220000000003,21.681383,26.183565,6.982284000000001
Grad,FT,Transit,Female,1,Other,0,Other,1,0,2,Unknown,5.704483,36.318000000000005,56.28550500000001,15.009468
Grad,FT,Transit,Female,0,Other,0,Family,0,0,2,Unknown,38.02369,69.37563,238.95075,63.7202
UG,FT,Walk,Female,1,PT,0,Other,0,0,3,Unknown,2.924953,24.128386,16.985265000000002,4.529404
UG,FT,Walk,Female,0,Other,0,Other,0,0,1,Unknown,1.710853,20.776487,15.946485,4.252396
UG,FT,Auto,Female,1,Other,1,Family,2,0,6,High,59.263980000000004,176.51618100000005,657.8274,175.42064000000002
UG,FT,Auto,Female,1,Other,0,Other,2,0,4,Unknown,9.900758999999999,45.887638,110.07012,29.352032
UG,FT,Transit,Female,0,PT,0,Family,1,1,3,Unknown,16.34346,58.225728,172.3128,45.95008
Grad,FT,Walk,Male,0,Other,0,Other,2,0,1,Low,35.95232,71.095504,240.5175,64.138
UG,FT,Transit,Female,1,Other,1,Family,2,0,5,Unknown,58.12973,160.45126000000002,426.17025,113.6454
UG,FT,Auto,Female,0,Other,0,Family,2,0,6,Unknown,11.417910000000001,64.48275799999999,98.16511499999999,26.177363999999997
Grad,FT,Walk,Male,0,Other,0,Other,0,0,4,Unknown,1.117177,20.195869,11.101709999999999,2.9604559999999998
UG,FT,Walk,Female,0,Other,0,Other,0,0,4,Unknown,0.0,0.0,0.0,0.0
UG,FT,Transit,Female,0,Other,0,Family,2,1,3,Unknown,75.81084,138.06521,771.7502999999999,205.80007999999998
Grad,FT,Walk,Male,0,Other,0,Other,1,0,3,Low,1.464106,25.325449,14.598600000000001,3.89296
UG,PT,Transit,Male,1,Other,1,Family,2,0,4,Unknown,56.21034,142.68010800000002,406.2063,108.32167999999999
UG,PT,Transit,Female,0,Other,0,Family,1,0,4,High,17.88877,71.55026699999998,225.87225,60.2326
UG,FT,Transit,Male,0,Other,0,Family,1,1,2,Unknown,24.70085,197.618433,165.3153,44.08408
Grad,FT,Walk,Male,0,Other,0,Other,0,0,2,Unknown,2.168042,23.855995999999998,19.46616,5.190976
UG,PT,Transit,Female,0,Other,0,Family,1,4,2,Unknown,4.58473,33.84206399999999,49.847955,13.292788
UG,FT,Transit,Female,0,Other,0,Family,1,0,3,Low,33.99152,70.74282,219.79785,58.61276
UG,FT,Walk,Female,1,Other,0,Other,0,0,1,Low,1.9089990000000001,17.573247000000002,19.08999,5.090664
UG,FT,Walk,Female,1,Other,1,Other,0,0,1,Low,0.0,0.0,0.0,0.0
UG,FT,Walk,Female,1,PT,1,Other,0,0,3,Unknown,1.710853,20.776487,15.946485,4.252396
UG,FT,Bike,Male,1,Other,0,Other,0,0,3,Unknown,2.49745,26.741172,26.414505000000002,7.043868000000001
UG,FT,Auto,Female,1,Other,0,Family,2,0,3,High,3.9527059999999996,25.654187,40.859745,10.895931999999998
Grad,FT,Bike,Male,1,Other,0,Other,0,0,2,Low,1.9141869999999999,23.859148,17.990325000000002,4.79742
Grad,FT,Walk,Female,0,Other,0,Other,0,0,2,Unknown,2.168042,23.855995999999998,19.46616,5.190976
Grad,FT,Bike,Female,1,Other,0,Other,0,0,2,Low,4.603065,25.568201000000002,35.364990000000006,9.430664
UG,FT,Transit,Female,0,Other,0,Family,1,0,4,Low,15.91009,71.09102999999998,207.3231,55.28616
Grad,FT,Bike,Female,1,Other,1,Other,0,0,2,Low,5.499556,35.577191,46.45101000000001,12.386936000000002
Grad,FT,Transit,Male,0,Other,0,Other,0,0,1,Low,32.138870000000004,64.417486,208.03875,55.477
UG,FT,Transit,Male,1,Other,1,Family,2,2,5,Unknown,13.092360000000001,46.74061,99.65254500000002,26.574012000000003
UG,FT,Transit,Female,1,Other,1,Family,1,1,2,Low,57.64091,131.823943,341.45294999999993,91.05412
UG,FT,Walk,Female,1,Other,0,Other,0,0,2,Unknown,3.320328,31.447038,28.74147,7.664391999999999
UG,FT,Transit,Female,1,Other,1,Family,2,1,3,Unknown,9.183631,45.941966,124.73550000000002,33.262800000000006
UG,FT,Walk,Female,0,Other,0,Other,0,3,2,Low,2.924953,24.128386,16.985265000000002,4.529404
UG,FT,Bike,Female,0,Other,0,Other,0,0,1,Low,3.792585,18.826039,22.924049999999998,6.11308
UG,FT,Transit,Male,1,Other,1,Family,1,0,3,Unknown,46.32949,112.127768,324.19725,86.4526
Grad,FT,Transit,Female,1,Other,0,Other,0,0,4,Unknown,11.14976,53.00517600000001,80.79070499999999,21.544188
UG,FT,Transit,Male,0,Other,0,Family,1,1,3,Low,23.98561,93.776616,342.98775,91.4634
UG,FT,Transit,Female,0,Other,0,Family,2,3,3,Unknown,44.54497,95.91998000000001,296.0691,78.95176
Grad,PT,Walk,Male,1,Other,0,Other,0,0,1,Low,2.168042,23.855995999999998,19.46616,5.190976
Grad,PT,Transit,Female,0,Other,0,Family,1,0,2,Unknown,35.7557,79.91449200000002,222.8856,59.43616
UG,FT,Auto,Female,1,Other,1,Family,2,1,5,Unknown,31.2859,109.024324,275.50905,73.46908
UG,FT,Walk,Female,0,Other,0,Other,0,0,4,Unknown,3.792585,18.826039,22.924049999999998,6.11308
Grad,FT,Walk,Female,1,Other,0,Other,0,0,1,Unknown,2.595157,27.40234,23.805030000000002,6.348008000000001
Grad,FT,Transit,Female,1,Other,1,Other,2,0,2,Unknown,99.49899,180.556,1002.5307,267.34152
Grad,FT,Transit,Female,1,Other,0,Family,2,0,4,Unknown,37.965759999999996,83.66392499999998,271.24275,72.33139999999999
UG,FT,Transit,Male,1,Other,1,Family,2,0,4,Unknown,53.94389,88.37609,402.10215000000005,107.22724000000001
UG,FT,Transit,Female,0,Other,0,Family,2,0,4,Unknown,48.36213,119.247992,313.60995,83.62932
Grad,FT,Transit,Female,1,Other,1,Other,1,0,2,Unknown,18.206,67.200422,126.93099,33.84826399999999
UG,PT,Transit,Female,1,Other,1,Family,1,0,2,Unknown,10.911489999999999,42.701539000000004,73.300215,19.546723999999998
UG,FT,Transit,Female,0,Other,0,Family,2,0,5,Unknown,44.27959,156.27863200000002,436.88745,116.50332
UG,FT,Auto,Male,1,Other,0,Family,2,0,4,High,35.76352,104.554086,338.0775,90.154
UG,FT,Transit,Female,1,Other,0,Other,0,0,4,Unknown,16.10213,35.075044,93.86652000000001,25.031072
UG,FT,Walk,Male,0,Other,0,Other,0,0,1,Low,0.0,0.0,0.0,0.0
UG,FT,Auto,Female,1,PT,0,Family,2,0,4,Unknown,79.51396,142.466712,533.96415,142.39044
UG,FT,Transit,Female,0,Other,0,Family,2,0,5,Unknown,86.00294,169.58339999999995,608.30745,162.21532000000002
Grad,FT,Transit,Female,1,Other,0,Other,1,0,4,Unknown,5.530063,33.411738,44.366279999999996,11.831008
UG,FT,Transit,Male,1,Other,0,Family,1,1,3,Unknown,32.88884,63.186389,204.17010000000002,54.44536
UG,FT,Transit,Female,0,Other,0,Other,0,0,2,Unknown,4.289724,29.3483,30.6678,8.17808
UG,FT,Transit,Female,0,Other,0,Family,1,1,4,Low,38.616820000000004,99.631286,246.88935,65.83716
UG,FT,Walk,Female,0,Other,0,Other,0,0,1,Low,0.0,0.0,0.0,0.0
Grad,FT,Transit,Female,0,Other,0,Other,0,0,1,Unknown,6.632627,33.425859,41.7591,11.13576
UG,FT,Transit,Female,0,Other,0,Other,0,0,1,Unknown,0.0,0.0,0.0,0.0
UG,FT,Transit,Male,0,Other,0,Family,2,1,3,Low,4.58473,33.84206399999999,49.847955,13.292788
UG,FT,Walk,Male,1,Other,1,Other,2,0,1,Unknown,0.0,0.0,0.0,0.0
UG,FT,Walk,Male,0,Other,0,Other,0,0,1,High,2.924953,24.128386,16.985265000000002,4.529404
UG,FT,Walk,Female,0,Other,0,Other,0,0,1,Unknown,2.649222,20.927781,23.086634999999998,6.156435999999999
Grad,FT,Transit,Male,1,Other,0,Family,2,0,4,Unknown,92.96398,122.503764,827.3922000000001,220.63792
Grad,FT,Transit,Female,1,Other,0,Other,0,0,1,Low,13.0839,43.443395,85.07454,22.686543999999998
UG,FT,Walk,Male,1,Other,0,Other,0,0,2,Unknown,1.710853,20.776487,15.946485,4.252396
Grad,FT,Transit,Male,0,Other,0,Other,0,0,2,Low,15.91009,71.09102999999998,207.3231,55.28616
Grad,FT,Transit,Female,0,Other,0,Family,2,0,5,Unknown,57.6342,118.236507,376.74375,100.465
UG,PT,Walk,Female,1,Other,0,Other,0,0,2,Low,2.523888,24.493026999999998,28.469009999999997,7.591736
UG,FT,Transit,Female,0,Other,0,Family,1,0,6,Unknown,19.19235,51.81050000000001,120.050385,32.013436
UG,PT,Bike,Male,1,Other,0,Family,0,2,3,Low,11.27827,44.993718,74.18136,19.781696
Grad,FT,Walk,Female,0,Other,0,Other,0,0,4,Low,1.117177,20.195869,11.101709999999999,2.9604559999999998
Grad,FT,Bike,Female,1,Other,0,Other,0,0,3,Unknown,11.34923,39.849031,65.27565,17.40684
UG,FT,Walk,Female,1,Other,1,Other,0,0,3,High,2.776623,26.813798,23.593725,6.29166
UG,FT,Transit,Female,0,Other,0,Family,2,0,3,High,6.472022,36.362017,69.71035499999999,18.589428
Other,Other,Walk,Female,1,Other,1,Other,1,0,4,Unknown,2.523888,24.493026999999998,28.469009999999997,7.591736
Grad,FT,Transit,Female,1,Other,1,Other,1,0,2,Unknown,89.91993000000001,113.40996000000001,792.99075,211.4642
Grad,FT,Transit,Female,1,FT,0,Other,1,2,2,High,50.17188,155.55116999999998,349.78845,93.27692
UG,FT,Transit,Male,0,Other,0,Family,0,0,4,Unknown,37.882329999999996,107.074827,410.07360000000006,109.35296000000001
Grad,FT,Transit,Female,1,PT,1,Other,0,0,4,Unknown,13.00131,35.417331,71.57238000000001,19.085968
UG,FT,Auto,Female,1,Other,0,Family,2,0,4,Low,33.10413,104.383208,285.35805,76.09548
Grad,FT,Transit,Male,1,Other,0,Family,2,0,4,High,42.1131,118.39803300000001,281.15745000000004,74.97532000000001
UG,FT,Transit,Female,0,Other,0,Other,0,0,2,Unknown,9.349833,37.81105,52.358880000000006,13.962368
UG,FT,Auto,Male,1,Other,0,Family,2,2,4,Unknown,5.793533999999999,26.869722000000003,74.87325,19.9662
UG,FT,Transit,Male,1,Other,1,Family,1,0,3,Unknown,29.582459999999998,62.974813,181.27155000000002,48.33908
UG,FT,Transit,Female,1,Other,1,Family,1,0,4,Low,14.00681,58.21812900000001,93.22105499999999,24.858947999999998
