Mode,Time.1,Time.2,Time.3
1,33.10413,104.383208,285.35805
2,42.1131,118.398033,281.15745
2,9.349833,37.81105,52.35888
1,5.793534,26.869722,74.87325
2,29.58246,62.974813,181.27155
2,14.00681,58.218129,93.221055
2,37.73697,90.440035,243.79395
2,98.40382,191.70077,811.3719
2,28.61972,65.781362,174.55365
2,27.33893,112.92883,252.7752
2,69.71825,114.92243,529.3863
2,9.218005,45.254911,150.7788
2,73.77692,167.70801,454.281
2,51.47854,104.64487,388.79205
3,4.289724,29.3483,30.6678
2,31.23724,50.903516,187.5885
2,26.49993,81.484579,325.0632
1,92.35352,136.91229,708.03855
3,2.649222,20.927781,23.086635
3,5.576192,29.470396,31.67763
2,78.49124,190.577835,489.24735
1,16.63026,74.404197,204.2199
2,32.57174,69.622366,212.3673
2,2.160512,11.333393,22.92318
3,3.671652,32.570067,47.140125
2,7.629183,42.100063,98.670435
2,42.15467,121.086447,296.78295
3,3.599665,21.350601,28.402245
2,10.57137,51.113878,105.77124
2,13.0839,43.443395,85.07454
1,25.88474,109.567737,231.97665
