Zone#,PD,X,Y
5068,46,595068,4784928
5069,46,591586,4784890
5071,45,604804,4785068
5072,43,570253,4785156
5073,43,585105,4784712
5074,46,594160,4785318
5075,46,590537,4785150
5076,45,604048,4785288
5077,45,606032,4785534
5078,43,583983,4785496
5079,45,601165,4785530
5080,45,600549,4785562
5081,45,603150,4785573
5082,46,593282,4785476
5084,46,589526,4785618
5086,45,602302,4785869
5087,46,592340,4785597
5088,45,609016,4785715
5089,46,595402,4785945
5090,45,604945,4785966
5091,46,588395,4785832
5092,46,591931,4785950
5093,45,601570,4786128
5094,43,585275,4786050
5095,46,594458,4786292
5096,45,604236,4786077
5097,46,591054,4786236
5098,46,587498,4786240
5099,45,600444,4786318
5100,45,610079,4786426
5101,46,596805,4786370
5102,46,593786,4786500
5103,43,577758,4786851
5104,46,589953,4786564
5105,43,583885,4786454
5106,45,603370,4786366
5107,46,599750,4786728
5108,45,606092,4786613
5109,43,581327,4786336
5110,46,592909,4786594
5111,46,599069,4786732
5112,43,585757,4786734
5113,45,602579,4786774
5114,46,595521,4786676
5115,46,588384,4786884
5116,46,592191,4786892
5117,46,598095,4787189
5118,46,601716,4786928
5119,45,604760,4786948
5120,46,597604,4787222
5121,46,591162,4787350
5122,46,594672,4786958
5123,46,600789,4787380
5125,46,590819,4787106
5126,46,600376,4787140
5127,46,596863,4787410
5128,45,603504,4787364
5129,46,589886,4787404
5130,46,594052,4787424
5131,46,599694,4787423
5132,46,596122,4787943
5133,43,587006,4787420
5135,46,593462,4787965
5136,45,602734,4787760
5137,43,584476,4787701
5138,43,582770,4786733
5139,46,587655,4787645
5140,46,588688,4787712
5141,46,595488,4788148
5142,46,590560,4787949
5143,46,592488,4788008
5144,46,591447,4788098
5145,46,601327,4788064
5147,46,590402,4788102
5148,46,598728,4788219
5149,46,597060,4788348
5150,46,594532,4788554
5151,46,597900,4788274
5153,46,600295,4788215
5154,46,596272,4788574
5155,46,593708,4788942
5156,46,592646,4788864
5157,46,595516,4788767
5158,46,590070,4789066
5159,46,591774,4789078
5160,46,588912,4789174
5161,46,597256,4789014
5162,46,596404,4789083
5163,46,591397,4789178
5164,46,593001,4789184
5165,46,594657,4789132
5166,46,586153,4789276
5167,46,590936,4789250
5168,46,591788,4789355
5169,46,600763,4789666
5170,46,593727,4789484
5171,46,591458,4789471
5172,46,592042,4789684
5173,46,596524,4789393
5174,46,590639,4789497
5175,46,587478,4789724
5176,46,595652,4789450
5177,41,572092,4789560
5178,42,583915,4789459
5179,46,591121,4789644
5180,46,590102,4789546
5181,46,592999,4789598
5182,46,599132,4789542
5183,46,594891,4789714
5184,46,591601,4789884
5185,46,589732,4790048
5186,46,592388,4789914
5187,46,591144,4789951
5188,46,594027,4790018
5190,46,591845,4790007
5191,42,585616,4790214
5192,46,590426,4790310
5193,46,591667,4790154
5194,46,593148,4790304
5195,46,591334,4790318
5196,46,588612,4790370
5197,46,597016,4790131
5198,46,587715,4790096
5199,46,592363,4790566
5200,46,590524,4790750
5201,46,591651,4790720
5202,42,583609,4790909
5203,46,589341,4790628
5204,46,590968,4790868
5205,42,584619,4791002
5206,46,593733,4790986
5207,42,585563,4791367
5208,46,592492,4791512
5210,46,595563,4791063
5211,46,590412,4792526
5212,46,598715,4792384
5213,42,586687,4791884
5214,41,584880,4793389
5215,42,588335,4794574
5216,41,566995,4795220
5219,41,574377,4799373
5223,41,586079,4800928
5224,41,578297,4804572
5225,41,570617,4805188
5226,41,582061,4805424
5227,41,578440,4808888
5228,41,588705,4799416
5229,41,588277,4798630
5230,41,590263,4799670
5231,41,589538,4798678
5232,41,588635,4797898
5233,41,589006,4797278
5234,41,589887,4798323
5235,41,591349,4799950
5236,42,582714,4789820
5237,45,603319,4788381
5238,45,606141,4787501
5239,46,597846,4785680
5240,46,598201,4784762
5241,46,598861,4785496
5242,44,595673,4780356
5243,44,597637,4779894
5244,44,596643,4781428
5245,44,598839,4780656
5246,42,582368,4790228
5247,42,580876,4789743
5248,41,581671,4792135
5249,41,583371,4795340
5250,41,581466,4796288
5251,41,586800,4795522
5252,42,584274,4790277
5253,46,596624,4784948
6000,0,773636,4889333
6001,0,727030,4871766
6002,0,713481.5,4908180
6003,0,686373,4893191
6004,0,680037,4913603
6005,0,655441,4932942
6100,0,608379,4892707
6101,0,588473,4891764
6102,0,603874,4911985
6103,0,592140,4934406
6104,0,628914,4940378
6201,0,572002,4862799
6202,0,563871,4880703
6301,0,562724,4818286
6302,0,570142,4839202
6303,0,537016,4853698
6401,0,554719,4801727
6402,0,542921,4810429
6403,0,557302,4777209
6404,0,593902,4755663
6405,0,617178,4783109
6406,0,639974,4781874
6407,0,643137,4761113
6408,0,618264,4772823
6409,0,520806,4774964
6410,0,669206,4752425
8000,0,630715.3162,4833649.808
8001,0,618123.2887,4832476.008
8002,0,618953.2256,4833493.034
8003,0,637890.8304,4839309.763
8004,0,638559.3348,4841271.982
8005,0,639848.6569,4843686.521
8006,0,639349.4735,4845684.947
8007,0,638800.8373,4847400.777
8008,0,627403.9526,4848767.688
8009,0,631566.763,4847649.487
8010,0,633063.9929,4848304.285
8011,0,628246,4844616
8012,0,624227.0397,4834723.659
8013,0,624833.5979,4842476.219
8014,0,624660.2956,4843556.65
8015,0,623859.1005,4845191.504
8016,0,636980.6397,4838578.349
