,Campus,Mode,HomeZone,Income,Time.Auto,Time.Transit,Time.Active
174,566,Transit,2426,I donâ€™t know,24.70085,197.618433,165.3153
175,69,Active,46,Unknown,2.168042,23.855995999999998,19.46616
176,3631,Transit,3810,Unknown,4.58473,33.84206399999999,49.847955
177,69,Transit,435,"$ 60,000 - 89,999",33.99152,70.74282,219.79785
178,566,Active,562,"Less than $ 30,000",1.9089990000000001,17.573247000000002,19.08999
179,69,Active,69,"$ 60,000 - 89,999",0.0,0.0,0.0
180,69,Active,47,I donâ€™t know,1.710853,20.776487,15.946485
181,566,Active,560,Unknown,2.49745,26.741172,26.414505000000002
182,3631,Auto,3619,"$ 120,000 - 149,999",3.9527059999999996,25.654187,40.859745
183,69,Active,48,"$ 30,000 - 59,999",1.9141869999999999,23.859148,17.990325000000002
184,69,Active,46,Unknown,2.168042,23.855995999999998,19.46616
185,69,Active,187,"Less than $ 30,000",4.603065,25.568201000000002,35.364990000000006
186,566,Transit,539,"$ 60,000 - 89,999",15.91009,71.09102999999998,207.3231
187,69,Active,90,"$ 30,000 - 59,999",5.499556,35.577191,46.45101000000001
188,69,Transit,464,"$ 60,000 - 89,999",32.138870000000004,64.417486,208.03875
189,566,Transit,1029,Unknown,13.092360000000001,46.74061,99.65254500000002
190,69,Transit,2107,"$ 30,000 - 59,999",57.64091,131.823943,341.45294999999993
191,69,Active,38,Unknown,3.320328,31.447038,28.74147
192,566,Transit,581,Unknown,9.183631,45.941966,124.73550000000002
193,69,Active,71,"$ 30,000 - 59,999",2.924953,24.128386,16.985265000000002
194,69,Active,93,"Less than $ 30,000",3.792585,18.826039,22.924049999999998
195,69,Transit,596,Unknown,46.32949,112.127768,324.19725
196,69,Transit,268,Unknown,11.14976,53.00517600000001,80.79070499999999
197,566,Transit,192,"$ 60,000 - 89,999",23.98561,93.776616,342.98775
198,69,Transit,512,Unknown,44.54497,95.91998000000001,296.0691
199,69,Active,46,"Less than $ 30,000",2.168042,23.855995999999998,19.46616
200,69,Transit,546,Unknown,35.7557,79.91449200000002,222.8856
201,3631,Auto,3486,Unknown,31.2859,109.024324,275.50905
202,69,Active,93,Unknown,3.792585,18.826039,22.924049999999998
203,69,Active,50,Unknown,2.595157,27.40234,23.805030000000002
204,69,Transit,2772,Unknown,99.49899,180.556,1002.5307
205,69,Transit,390,Unknown,37.965759999999996,83.66392499999998,271.24275
206,69,Transit,3656,Unknown,53.94389,88.37609,402.10215000000005
208,69,Transit,2258,I donâ€™t know,48.36213,119.247992,313.60995
209,69,Transit,255,Unknown,18.206,67.200422,126.93099
210,69,Transit,209,Unknown,10.911489999999999,42.701539000000004,73.300215
211,566,Transit,1096,Unknown,44.27959,156.27863200000002,436.88745
212,3631,Auto,3375,"$ 90,000 - 119,999",35.76352,104.554086,338.0775
213,69,Transit,184,I donâ€™t know,16.10213,35.075044,93.86652000000001
214,69,Active,69,"Less than $ 30,000",0.0,0.0,0.0
215,69,Auto,1059,I donâ€™t know,79.51396,142.466712,533.96415
216,69,Transit,2440,Unknown,86.00294,169.58339999999995,608.30745
217,69,Transit,186,I donâ€™t know,5.530063,33.411738,44.366279999999996
218,69,Transit,525,Unknown,32.88884,63.186389,204.17010000000002
219,69,Transit,21,Unknown,4.289724,29.3483,30.6678
220,69,Transit,334,"$ 60,000 - 89,999",38.616820000000004,99.631286,246.88935
221,69,Active,69,"Less than $ 30,000",0.0,0.0,0.0
222,69,Transit,95,Unknown,6.632627,33.425859,41.7591
223,3631,Transit,3631,Unknown,0.0,0.0,0.0
224,3631,Transit,3810,"$ 30,000 - 59,999",4.58473,33.84206399999999,49.847955
225,69,Active,69,Unknown,0.0,0.0,0.0
226,69,Active,71,"$ 240,000 +",2.924953,24.128386,16.985265000000002
227,566,Active,565,Unknown,2.649222,20.927781,23.086634999999998
228,69,Transit,4006,Unknown,92.96398,122.503764,827.3922000000001
229,69,Transit,210,"Less than $ 30,000",13.0839,43.443395,85.07454
230,69,Active,47,Unknown,1.710853,20.776487,15.946485
231,566,Transit,539,"$ 30,000 - 59,999",15.91009,71.09102999999998,207.3231
