Home Zone,Age,Gender,License,Employment,Status,Cars,Income,Adults,Children,Mode,Distance,Family
79,19,1,1,1,2,0,0,1,0,0,3.752367,0
3649,18,2,1,2,2,2,2,3,1,8,18.02177,1
68,20,2,0,1,2,0,2,2,0,10,0.97324,0
334,51,1,1,3,1,2,1,2,0,10,16.45929,0
278,77,2,1,1,1,1,1,1,0,0,4.257021,0
219,24,1,0,1,2,2,2,4,0,1,8.442875,1
104,27,2,9,2,1,1,2,4,0,2,3.631853,0
519,57,1,1,3,1,1,1,2,0,0,0,0
592,59,2,1,1,2,2,2,3,0,3,4.632547,1
173,27,1,1,2,2,0,2,2,0,1,4.036774,0
67,22,2,1,3,2,0,2,2,0,10,1.897934,0
2376,22,2,1,1,2,4,2,5,0,5,28.21476,1
21,40,2,1,2,1,1,2,2,2,0,2.030561,0
186,30,2,0,2,2,0,0,2,0,0,2.957752,0
3686,46,2,1,3,1,1,2,3,1,0,25.31365,1
71,27,2,0,1,2,0,0,1,0,10,1.132351,0
41,22,1,1,1,2,0,1,2,0,10,1.84044,0
46,29,2,1,2,2,0,1,2,0,0,1.297744,0
474,23,2,1,2,2,2,2,4,0,3,19.35977,1
5171,62,1,0,1,1,0,2,1,0,5,66.1484,0
454,20,2,1,1,2,0,1,2,0,1,11.74369,0
25,34,1,1,3,1,0,2,1,0,10,3.41576,0
2209,31,2,1,1,2,1,1,3,0,0,24.16866,1
477,18,2,9,1,2,2,2,5,1,10,0,0
50,24,2,1,2,2,1,1,1,0,10,1.587002,0
385,18,2,1,2,2,2,2,3,0,1,5.017493,1
3607,17,2,1,1,2,1,1,2,1,1,4.506405,1
71,22,2,1,2,1,0,2,4,0,10,1.132351,0
3678,18,1,1,1,2,3,2,5,0,1,21.24524,1
3654,21,2,1,2,2,2,2,4,0,1,18.49537,1
16,60,1,0,1,2,0,2,6,0,0,4.123033,0
3418,18,2,1,1,2,2,2,3,0,0,16.07141,1
424,31,1,1,3,1,1,1,1,0,0,15.61203,0
101,20,2,1,2,2,1,2,3,0,1,3.679839,1
46,33,1,1,3,2,0,2,2,0,0,1.297744,0
579,27,1,1,1,1,1,2,6,1,8,18.87987,1
3380,18,2,1,2,2,1,1,4,1,0,16.68237,1
369,18,2,1,1,2,0,2,2,1,1,20.49631,1
3670,25,1,0,1,2,1,2,3,0,0,16.98824,1
74,23,1,1,1,2,0,2,2,0,10,0.699414,0
3622,18,2,1,2,2,1,2,4,0,1,18.75543,1
2368,28,2,1,1,2,2,2,3,0,0,23.51985,1
48,20,1,1,1,2,0,1,1,0,10,1.199355,0
385,26,2,1,2,2,2,2,4,0,1,20.40364,1
3602,20,2,0,1,2,1,0,4,0,1,41.67274,1
4186,22,2,1,2,2,2,2,3,0,0,28.34698,1
110,29,1,0,1,1,0,0,1,1,0,5.570017,0
106,39,2,1,3,1,2,2,2,0,1,8.261479,0
5179,23,1,0,2,2,0,2,2,0,1,4.076137,0
3684,28,1,0,1,1,2,2,4,0,0,0,0
3684,28,1,0,1,1,2,2,4,0,0,0,0
3620,24,2,1,1,2,1,2,3,1,0,53.00807,1
3616,20,1,1,2,2,3,0,4,0,0,39.33389,1
562,24,1,1,1,2,0,2,3,0,0,14.75707,1
25,40,2,1,3,1,1,2,1,0,0,1.52949,0
76,40,1,1,1,2,0,1,2,0,10,1.928585,0
544,21,1,1,1,2,2,2,3,1,0,79.13288,1
175,19,2,1,1,2,0,0,3,0,1,8.856021,0
4039,18,1,1,1,2,3,2,3,0,1,29.90917,1
396,20,2,1,1,2,2,2,3,0,8,16.93478,1
