HomeZone,SchoolZone,SchoolCode,Age,Sex,License,Occupation,EmploymentStatus,StudentStatus,Vehicles,IncomeClass,Adults,Children,ExpansionFactor,ModeTakenToSchool,TripToSchoolTime,Distance
154,38,9031,19,F,Y,O,O,S,2,6,3,1,17.89,B,645,12871.03
531,25,9244,24,F,N,S,P,S,0,4,4,0,20.41,9,-1,14329.55
3810,25,9244,24,M,Y,O,O,S,2,3,4,0,22.35,B,630,36328.29
71,38,9031,34,M,Y,S,P,S,1,6,2,0,26.24,B,900,2675.173
4120,2667,9290,19,M,Y,S,P,S,2,4,3,1,23.16,D,700,64602.84
4108,38,9031,25,M,Y,O,O,P,2,6,3,0,8.87,9,-1,48880.1
2255,38,9031,44,F,Y,P,P,P,3,2,5,1,19.52,9,-1,24736.04
3379,38,9031,22,M,Y,O,O,S,4,4,5,0,34.78,9,-1,37909.07
5166,5198,9011,23,F,Y,P,P,S,2,2,7,0,28.93,B,730,2120.519
2132,2667,9290,26,F,Y,O,O,S,3,7,4,0,15.92,9,-1,12923.71
2121,430,S441,36,F,Y,O,O,S,1,4,2,0,24.04,9,-1,1114.453
5186,5198,9011,28,F,Y,P,F,S,1,4,1,0,48.41,9,-1,4923.166
2229,231,9022,34,F,Y,G,F,P,3,2,2,1,14.99,9,-1,26867.82
38,25,9244,18,F,N,O,O,S,0,1,2,0,37.3,W,1000,1529.49
158,38,9031,21,F,Y,S,P,S,1,2,4,6,24.57,W,1100,10416.82
158,38,9031,19,F,Y,S,P,S,1,2,4,6,24.57,B,700,10416.82
38,25,9244,18,M,Y,O,O,S,0,1,2,0,36.77,C,745,1529.49
5175,5198,9011,19,M,Y,P,P,S,1,1,4,0,10.18,9,-1,731.925
3690,25,9244,19,M,Y,O,O,S,2,4,5,0,18.83,J,900,27356.52
463,25,9244,21,M,Y,O,O,S,2,4,4,0,23.11,B,800,14499.87
35,38,9031,83,F,N,O,O,P,1,4,2,0,9.82,W,940,1364.572
464,5198,9011,23,M,Y,O,O,S,1,7,3,0,21.09,9,-1,78680.78
5166,5198,9011,24,F,Y,P,P,S,1,3,2,0,45.56,B,910,2120.519
93,38,9031,30,M,Y,P,F,P,3,4,2,0,55.21,9,-1,3235.429
2616,38,9031,20,F,Y,S,P,S,2,6,3,0,32.23,B,730,42629.33
5135,5198,9011,26,F,Y,P,P,S,1,4,2,0,61.24,B,800,7704.69
5158,5198,9011,19,F,N,O,O,S,2,5,3,0,33.9,B,1015,3159.86
3657,3851,9309,23,M,Y,O,O,S,0,7,3,0,63.05,B,1120,3553.611
2108,371,9261,18,F,Y,O,O,S,5,6,5,0,39.85,D,700,21012.42
118,69,9103,34,M,Y,P,P,S,1,3,2,0,23.11,9,-1,6853.556
3381,69,9103,21,F,Y,G,P,S,3,7,3,0,18.88,9,-1,40195.81
46,69,9103,35,M,Y,P,P,S,0,2,2,2,61.72,9,-1,1297.744
374,371,9261,23,F,N,O,O,S,2,2,4,0,16.87,9,-1,3570.44
3656,371,9261,37,F,Y,G,F,P,2,5,2,1,7.45,9,-1,22092.76
3686,371,9261,25,F,Y,O,O,S,2,3,2,0,15.7,D,830,18811.73
196,69,9103,75,M,Y,O,O,P,1,4,2,0,20.04,9,-1,8466.409
3686,371,9261,20,M,Y,P,F,P,2,6,3,0,12.56,9,-1,18811.73
1241,1199,E0297,20,F,Y,O,O,S,3,4,4,0,73.27,9,-1,5503.832
47,69,9103,20,F,N,O,O,S,0,7,2,0,22.65,W,1010,1063.099
21,69,9103,29,M,Y,P,P,S,1,7,2,0,5.06,W,800,2044.52
353,69,9103,21,M,Y,G,P,S,4,7,5,1,26.3,B,815,15804.79
3622,371,9261,31,F,Y,S,F,P,2,4,5,0,14.61,9,-1,14477.43
3337,371,9261,25,M,Y,S,P,P,2,2,3,0,4.74,9,-1,9106.768
1219,1199,1556,22,F,Y,S,P,S,2,3,2,0,162.11,D,1030,3394.258
41,69,9103,26,F,Y,O,O,S,1,7,2,0,23.63,9,-1,1840.44
79,69,9103,19,F,Y,O,O,S,0,7,1,0,26.23,9,-1,3752.367
3649,371,9261,18,M,Y,S,P,S,2,4,3,1,21.86,P,930,18021.77
68,69,9103,20,M,N,O,O,S,0,2,2,0,42.82,W,1500,973.24
334,69,9103,51,F,Y,G,F,P,2,3,2,0,10.41,W,1705,16459.29
278,69,9103,77,M,Y,O,O,P,1,1,1,0,41.13,9,-1,4257.021
219,69,9103,24,F,N,O,O,S,2,6,4,0,32.61,B,745,8442.875
104,69,9103,27,M,9,P,P,P,1,5,4,0,12.19,C,915,3631.853
519,519,9998,57,F,Y,M,F,P,1,3,2,0,24.99,9,-1,0
592,484,E0266,59,M,Y,O,O,S,2,4,3,0,10.29,D,1430,4632.547
173,69,9103,27,F,Y,S,P,S,0,2,2,0,16.52,B,1225,4036.774
67,69,9103,22,M,Y,P,F,S,0,2,2,0,29.94,W,845,1897.934
2376,69,9103,22,M,Y,O,O,S,4,5,5,0,37.92,J,730,28214.76
21,278,9108,40,M,Y,G,P,P,1,2,2,2,34.51,9,-1,2030.561
186,69,9103,30,M,N,9,P,S,0,7,2,0,33.96,9,-1,2957.752
3686,69,9103,46,M,Y,P,F,P,1,5,3,1,6.73,9,-1,25313.65
71,69,9103,27,M,N,O,O,S,0,7,1,0,39.99,W,1820,1132.351
41,69,9103,22,F,Y,O,O,S,0,3,2,0,26.84,W,830,1840.44
46,69,9103,29,M,Y,P,P,S,0,1,2,0,17.57,9,-1,1297.744
474,69,9103,23,M,Y,S,P,S,2,5,4,0,21.21,D,930,19359.77
5171,69,9103,62,F,N,O,O,P,0,2,1,0,15.99,J,645,66148.4
454,69,9103,20,M,Y,O,O,S,0,1,2,0,21.94,B,1315,11743.69
25,69,9103,34,F,Y,P,F,P,0,4,1,0,17.89,W,1715,3415.76
2209,69,9103,31,M,Y,O,O,S,1,3,3,0,17.44,9,-1,24168.66
477,477,2710,18,M,9,O,O,S,2,6,5,1,17.42,W,840,0
50,69,9103,24,M,Y,P,P,S,1,1,1,0,46.42,W,855,1587.002
385,371,9261,18,M,Y,S,P,S,2,5,3,0,10.78,B,1000,5017.493
3607,3851,9309,17,M,Y,O,O,S,1,3,2,1,17.84,B,730,4506.405
71,69,9103,22,M,Y,S,P,P,0,2,4,0,15.39,W,1000,1132.351
3678,371,9261,18,F,Y,O,O,S,3,4,5,0,50.26,B,815,21245.24
3654,69,9103,21,M,Y,P,P,S,2,6,4,0,42.92,B,1200,18495.37
16,69,9103,60,F,N,O,O,S,0,5,6,0,6.14,9,-1,4123.033
3418,371,9261,18,M,Y,O,O,S,2,4,3,0,22.92,9,-1,16071.41
424,371,9261,31,F,Y,P,F,P,1,3,1,0,43.35,9,-1,15612.03
101,69,9103,20,M,Y,G,P,S,1,6,3,0,8.77,B,1405,3679.839
46,69,9103,33,F,Y,P,F,S,0,4,2,0,17.57,9,-1,1297.744
579,278,C026,27,F,Y,O,O,P,1,4,6,1,26.31,P,1830,18879.87
3380,371,9261,18,M,Y,M,P,S,1,3,4,1,26.2,9,-1,16682.37
369,69,9103,18,M,Y,O,O,S,0,2,2,1,55.41,B,855,20496.31
3670,69,9103,25,F,N,O,O,S,1,4,3,0,18.19,9,-1,16988.24
74,69,9103,23,F,Y,O,O,S,0,2,2,0,6.26,W,945,699.414
3622,69,9103,18,M,Y,G,J,S,1,4,4,0,16.25,B,1200,18755.43
2368,69,9103,28,M,Y,O,O,S,2,5,3,0,21.18,9,-1,23519.85
48,69,9103,20,F,Y,O,O,S,0,1,1,0,36.75,W,905,1199.355
385,69,9103,26,M,Y,S,P,S,2,4,4,0,28.07,B,730,20403.64
3602,5198,9011,20,M,N,O,O,S,1,7,4,0,42.08,B,800,41672.74
4186,5198,9011,22,M,Y,M,P,S,2,6,3,0,57.29,9,-1,28346.98
110,25,9244,29,F,N,O,O,P,0,7,1,1,13,9,-1,5570.017
106,25,9244,39,M,Y,P,F,P,2,6,2,0,4.72,B,1700,8261.479
5179,5198,9011,23,F,N,P,P,S,0,2,2,0,88.55,B,1000,4076.137
3684,3684,9998,28,F,N,O,O,P,2,5,4,0,5.87,9,-1,0
3684,3684,9998,28,F,N,O,O,P,2,5,4,0,5.87,9,-1,0
3620,5198,9011,24,M,Y,O,O,S,1,6,3,1,31.44,9,-1,53008.07
3616,38,9031,20,F,Y,S,J,S,3,7,4,0,13.73,9,-1,39333.89
562,465,550,24,F,Y,O,O,S,0,2,3,0,69.92,9,-1,14757.07
25,38,9031,40,M,Y,S,F,P,1,2,1,0,12.04,9,-1,1529.49
76,57,9093,40,F,Y,O,O,S,0,1,2,0,87.9,W,900,1928.585
544,5198,9011,21,F,Y,O,O,S,2,2,3,1,13.35,9,-1,79132.88
175,25,9244,19,M,Y,O,O,S,0,7,3,0,35.41,B,700,8856.021
4039,5198,9011,18,F,Y,O,O,S,3,6,3,0,21.2,B,1025,29909.17
396,38,9031,20,M,Y,O,O,S,2,5,3,0,27.21,P,700,16934.78
274,38,9031,36,M,Y,P,F,P,1,5,2,1,5.22,9,-1,5182.155
122,5198,9011,29,F,Y,P,F,S,2,6,2,0,24.69,9,-1,59730.31
443,44,C023,36,F,Y,P,F,P,1,6,2,0,12.45,9,-1,11067.01
553,38,9031,18,F,Y,O,O,S,1,2,3,0,16.21,B,745,18029.55
5150,5198,9011,27,M,9,S,P,S,1,3,3,0,17.48,9,-1,7384.882
432,38,9031,32,M,Y,P,F,P,1,6,2,1,15.28,9,-1,16726.69
282,38,9031,18,M,N,S,P,S,2,7,3,1,26.48,B,900,4742.397
37,38,9031,17,M,Y,O,O,S,0,7,0,1,8.45,9,-1,536.157
4014,5198,9011,27,M,Y,O,O,S,2,4,2,0,23.1,J,730,31942.15
2351,25,9244,62,F,Y,O,O,S,0,1,1,0,30.09,B,645,17903.72
21,25,9244,45,F,Y,O,O,S,0,1,1,0,28.26,B,830,2057.186
90,25,9244,31,F,Y,G,F,P,1,6,2,0,16.61,9,-1,3493.251
4127,5198,9011,22,M,Y,O,O,P,2,2,4,2,34,9,-1,35480.03
428,38,9031,62,F,Y,O,O,P,2,4,2,0,8.84,9,-1,15139.73
237,231,1062,47,M,Y,O,O,P,1,2,2,2,30.39,9,-1,2193.977
42,38,9031,29,F,Y,S,F,P,0,3,2,0,17.14,9,-1,1362.023
3436,38,9031,23,M,Y,G,F,P,3,6,5,0,15.67,9,-1,41393.86
5232,5198,9011,45,F,Y,9,F,P,2,6,2,2,28.55,9,-1,10936.02
498,25,9244,22,M,Y,O,O,S,1,4,3,0,10.73,B,1600,18801.42
4173,25,9243,19,M,Y,O,O,S,4,7,4,2,3.6,G,600,56352.13
24,38,9031,21,F,Y,P,P,S,0,2,2,0,127.84,W,950,1357.42
3694,465,550,23,F,Y,O,O,S,3,5,4,0,14.8,D,900,36081.79
337,25,9244,23,M,Y,O,O,S,3,7,4,0,14.91,B,1215,18756.31
463,38,9031,35,M,Y,O,O,S,1,1,2,0,20.27,B,900,13798.59
5084,5198,9011,20,F,Y,P,P,P,2,4,3,1,33.12,9,-1,8661.989
3354,38,9031,20,F,Y,S,P,S,3,4,4,3,8.11,J,920,37890.26
23,38,9031,66,F,N,P,P,P,0,6,1,0,5.06,9,-1,1111.839
4084,5119,9270,37,M,Y,M,F,P,2,6,2,0,12.02,9,-1,23314.48
3369,2667,9290,25,F,Y,9,P,S,3,7,4,1,75.75,D,800,45730.4
343,25,9244,24,M,Y,S,P,S,2,6,4,0,15.76,B,1030,16372.87
571,25,9244,18,M,Y,O,O,S,3,6,4,0,25,J,655,25565.36
407,25,9244,19,M,9,O,O,S,1,7,4,0,4.6,P,715,17430.86
485,25,9244,30,F,Y,G,F,P,4,4,4,0,28.37,9,-1,16439.98
237,5198,9011,21,M,Y,O,O,S,3,6,5,0,40.96,9,-1,78095.87
315,22,817,57,F,Y,P,F,P,1,5,2,0,16.53,9,-1,12070.29
37,38,9031,21,F,Y,P,F,P,0,1,2,0,40.35,9,-1,536.157
46,38,9031,21,M,Y,S,P,S,1,7,2,0,16.37,9,-1,1368.845
5175,5198,9011,22,M,Y,S,P,S,1,2,4,0,45.11,C,1230,731.925
5175,5198,9011,27,M,Y,O,O,S,1,2,4,0,45.11,D,1500,731.925
3606,5198,9011,19,M,Y,M,P,S,3,4,6,0,76.78,9,-1,47891.35
3719,25,9244,33,F,Y,G,F,P,1,3,2,0,5.34,9,-1,37437.04
347,5198,9011,30,M,Y,P,F,P,1,4,2,0,19.3,D,1730,60182.79
3650,38,9031,28,F,N,9,P,S,1,7,2,0,7.36,G,1115,30719.94
3691,38,9031,21,M,Y,O,O,S,2,3,3,2,33.79,B,800,31228.74
494,38,9031,22,F,Y,S,P,S,1,4,4,1,35.91,9,-1,20768.91
2366,38,9031,21,M,Y,S,P,S,1,5,3,0,22.63,B,1100,20290.17
383,38,9031,18,M,Y,O,O,S,1,7,3,0,28.13,B,600,22600.84
3448,25,9244,19,F,Y,O,O,S,3,7,5,1,5.57,G,650,34305.03
1029,5198,9011,21,M,Y,S,F,P,2,6,4,0,10.8,9,-1,102523.4
184,25,9244,19,M,N,O,O,S,2,6,3,1,60.81,B,1305,9155.414
293,38,C201,19,F,N,S,P,S,1,2,3,0,19.66,B,1200,15030.5
278,38,9031,35,F,Y,P,F,P,1,4,1,0,28.59,9,-1,3581.594
202,25,9244,22,F,Y,S,P,S,1,2,2,0,49.22,9,-1,5631.681
366,38,9031,29,F,N,O,O,S,2,3,3,0,13.7,B,930,19712.37
290,25,9244,51,F,N,G,F,P,1,4,3,0,7.39,B,1630,14646.12
2059,38,9031,30,F,Y,G,F,P,2,6,2,0,18.01,9,-1,25958.5
3654,38,9031,19,F,Y,O,O,S,3,7,6,0,22.98,B,730,18973.18
450,25,9244,32,F,Y,G,F,P,1,4,2,0,10.83,9,-1,14725.27
353,38,9031,20,F,Y,G,P,S,4,7,5,1,26.3,9,-1,17321.33
5171,5198,9011,32,M,Y,P,P,S,0,3,2,0,34.4,B,1015,4395.624
248,25,9244,19,F,N,O,O,S,3,4,4,0,11.03,B,800,10479.95
2428,38,9031,22,F,Y,S,P,S,2,4,4,0,138.22,9,-1,28445.68
618,25,9244,26,M,N,O,O,P,1,5,5,0,31.75,9,-1,27002.34
229,38,9031,71,M,Y,O,O,P,1,4,3,0,16.13,9,-1,12040.33
1046,38,9031,30,M,Y,M,F,P,4,3,4,0,25.09,D,1400,28054.98
270,38,9031,21,M,N,O,O,S,2,6,3,0,29.41,B,1000,3881.354
537,25,9244,19,F,Y,S,P,S,3,6,5,1,20.26,B,800,10567.17
30,38,9031,59,M,Y,S,F,P,1,7,1,1,3.89,9,-1,2470.145
2108,25,9244,31,M,Y,O,O,S,4,6,5,0,14.7,D,600,26307.84
3417,2667,9290,24,M,Y,O,O,S,2,4,5,0,32.59,9,-1,40063.33
328,38,9031,20,M,N,S,P,S,1,7,3,0,20.15,W,800,16239.03
564,38,9031,36,M,Y,P,F,P,2,6,4,0,23.22,B,1815,23138.04
606,25,9244,22,M,N,S,P,S,1,5,3,0,12.22,9,-1,23044.5
3691,38,9031,22,F,Y,P,P,S,3,4,4,2,36.24,P,1015,31228.74
3688,5198,9011,18,M,N,O,O,S,1,3,2,0,51.04,B,715,45757.91
178,38,9031,18,F,Y,S,P,S,2,4,4,0,23.19,B,800,9387.563
19,25,9244,25,F,N,S,P,S,1,7,4,2,10.82,W,805,1745.013
3716,38,9031,22,M,Y,S,P,P,1,7,4,0,9.31,G,850,35550.71
251,25,9244,54,F,N,O,O,S,0,1,1,0,42.94,B,805,7743.137
313,38,9031,20,M,Y,O,O,S,1,7,2,0,19.11,9,-1,13413.67
457,25,9244,20,M,Y,O,O,S,2,1,4,0,41.65,9,-1,15541.46
127,25,9244,19,M,N,O,O,S,2,4,3,1,16.23,B,900,11285.08
370,25,9244,22,M,Y,P,P,S,2,4,2,1,5.47,D,1200,25070.65
71,25,9244,35,F,Y,O,O,S,0,3,2,0,24.27,9,-1,4174.835
404,5198,9011,19,F,Y,S,P,S,2,5,5,0,21.65,9,-1,66216.53
321,25,9244,24,F,Y,O,O,P,2,2,3,1,13.58,D,830,14888.3
2022,25,9244,22,M,Y,O,O,S,5,6,4,0,22.62,9,-1,32312.6
120,38,9031,30,F,Y,O,O,S,2,6,2,0,29.05,B,1000,8580.473
2608,38,9031,18,F,Y,G,P,S,3,6,3,1,22.48,G,715,47259.21
184,25,9244,50,M,Y,S,F,P,1,7,2,0,8.72,B,1720,9155.414
2053,25,9244,21,F,Y,O,O,S,3,6,4,3,11.07,J,720,32690.45
3439,38,9031,19,F,Y,O,O,S,2,3,3,1,16.3,9,-1,38945.05
100,25,9244,22,M,Y,O,O,S,1,4,4,0,123.57,B,1000,5586.674
3429,38,9031,18,M,Y,O,O,S,2,3,3,0,31.63,9,-1,37839.78
264,38,9031,23,M,Y,O,O,S,2,7,4,0,38.03,D,845,6031.485
2203,5198,9011,21,M,Y,G,P,S,2,6,4,0,24.37,9,-1,85173.43
515,38,9031,21,F,Y,O,O,S,2,4,4,0,39.96,9,-1,18437.33
65,25,9244,33,F,Y,O,O,S,1,4,2,1,22.49,B,730,1850.834
90,38,9031,21,M,N,P,F,S,0,5,3,1,20.96,9,-1,3574.542
2440,5198,E0436,45,M,Y,S,P,S,1,2,2,0,12.56,B,605,101653.5
204,25,9244,22,F,Y,S,J,S,1,2,1,0,39.42,B,1240,4941.162
74,38,9031,27,F,N,S,F,P,0,2,2,0,22.12,B,1805,2314.008
3644,5198,9011,21,F,Y,O,O,S,1,3,2,0,12.25,J,900,39051.06
2236,38,9031,22,M,Y,O,O,S,1,2,2,0,18.62,B,1100,28239.45
5207,5198,E0436,25,F,Y,O,O,S,3,5,3,0,61.91,D,1330,3644.809
259,25,9244,36,F,Y,P,F,S,2,6,2,2,24.08,B,800,7602.242
184,25,9244,24,M,Y,S,P,S,0,2,3,0,25.38,B,830,9155.414
2363,5198,9011,23,F,Y,P,F,S,1,7,2,0,43.67,9,-1,84670.16
3648,371,384,22,F,Y,O,O,S,3,7,4,0,20.3,D,730,20916.87
454,69,9103,34,F,Y,P,P,S,1,3,1,1,11.6,B,830,11743.69
15,69,9103,21,F,N,G,P,S,1,2,3,0,10.62,P,1000,4434.583
483,484,A279,22,M,Y,9,P,S,0,7,3,0,72.47,9,-1,1872.206
3337,69,9103,20,M,Y,O,O,S,3,7,5,0,15.56,B,900,29708.72
3716,3716,9998,45,M,Y,G,F,P,1,3,2,3,13.52,9,-1,0
1186,69,9103,23,F,Y,O,O,S,2,7,3,0,16.46,D,1010,52106.02
3355,371,9261,21,M,N,S,P,S,1,7,4,0,36.09,B,900,12806.88
2440,69,9103,19,M,N,O,O,S,2,6,3,1,12.95,9,-1,36173.11
281,69,9103,38,F,Y,P,F,P,1,5,2,0,20.3,9,-1,6105.204
48,69,9103,23,F,Y,O,O,S,1,2,2,0,28.93,W,815,1199.355
2126,69,9103,22,M,Y,O,O,S,2,6,3,1,52.24,9,-1,18943.97
177,69,9103,22,F,N,O,O,S,2,5,4,0,31.92,B,1000,6746.917
90,69,9103,21,M,N,O,O,S,0,4,3,0,9,B,930,3096.734
4190,3851,9309,44,F,Y,G,F,P,1,3,1,2,13.07,9,-1,30362.89
104,69,9103,25,F,9,O,O,S,1,5,4,0,12.19,9,-1,3631.853
114,69,9103,27,F,Y,P,F,P,0,4,1,0,32.57,9,-1,4981.547
40,371,9261,23,F,N,G,F,P,0,4,2,0,23.42,9,-1,22956.37
319,371,9261,37,F,Y,P,J,P,2,5,2,3,21.79,9,-1,12225.97
3346,371,9261,24,M,Y,O,O,S,3,1,4,0,42.62,D,1100,18549.21
2378,69,9103,21,F,Y,O,O,S,1,6,4,1,18.31,J,635,31189.5
483,69,9103,19,M,Y,O,O,S,1,2,4,2,25.8,B,1045,15990.82
123,371,9261,35,F,Y,G,P,S,1,5,2,0,19.54,B,730,15533.84
382,371,9261,20,M,Y,O,O,S,2,4,3,0,29.09,B,930,3758.079
46,69,9103,21,M,Y,O,O,S,0,1,2,0,35.89,9,-1,1297.744
2243,69,9103,17,M,9,O,O,S,1,7,1,1,19.99,9,-1,25961.62
99,69,9103,33,F,Y,P,P,S,0,4,2,0,29.54,9,-1,4045.104
364,69,9103,22,F,Y,S,P,S,2,3,2,0,15.36,9,-1,16791.51
443,69,9103,34,F,Y,P,F,P,1,6,2,1,18.29,W,1745,13299.74
2425,69,9103,18,F,Y,O,O,S,2,2,3,0,30.08,B,630,26011.34
450,69,9103,27,M,Y,P,P,S,1,2,2,0,13.42,9,-1,13409.07
472,69,9103,18,F,Y,O,O,S,1,4,3,0,18.3,B,1000,20411.94
543,278,9108,19,M,N,O,O,S,0,3,3,2,26.34,B,705,9584.811
51,69,9103,22,F,Y,O,O,S,1,1,2,0,36.03,9,-1,1268.754
41,69,9103,28,F,Y,P,P,S,0,4,2,0,27.78,W,830,1840.44
3664,371,9261,29,M,Y,S,P,S,3,7,3,0,30.88,D,1000,23922.06
46,69,9103,32,F,N,O,O,S,0,2,2,0,17.57,W,815,1297.744
154,371,9261,21,M,Y,S,P,S,4,6,8,1,11.72,9,-1,12459.55
3459,371,9261,23,M,Y,S,P,S,4,5,5,0,55.57,9,-1,22871.55
3369,371,9261,43,M,Y,P,F,P,4,6,5,1,32.1,9,-1,19616.52
2098,371,9261,22,M,Y,O,O,S,2,6,3,0,22.31,B,1110,18083.13
2142,69,9103,20,F,N,O,O,S,1,5,3,0,40.56,B,900,17456.99
197,182,9988,42,F,N,O,O,P,1,1,2,1,24.01,W,830,3068.222
173,69,9103,22,F,Y,S,P,P,0,2,2,0,15.82,B,900,4036.774
436,69,9103,26,F,Y,G,P,S,3,5,3,0,35.48,D,720,13325.6
3337,371,9261,39,M,Y,M,F,P,1,3,2,2,14.35,9,-1,9106.768
3669,69,9103,87,M,Y,O,O,P,1,4,1,0,16.4,9,-1,18743.83
153,371,9261,20,M,Y,S,P,S,2,4,3,0,23.82,D,1010,12761.67
172,69,9103,37,F,N,O,O,S,2,7,4,1,33.54,B,845,4945.424
541,69,9103,21,F,Y,O,O,S,2,7,3,0,11.57,9,-1,12295.75
305,278,9108,21,F,Y,S,P,P,4,4,4,0,24.88,B,1710,13749.44
66,69,9103,40,F,Y,P,P,P,0,4,2,0,13.51,B,1200,2298.354
133,371,9261,30,F,N,O,O,S,0,1,2,0,31.21,B,730,9268.492
4120,4123,E0569,28,F,N,O,O,P,2,4,4,2,34.54,P,930,3140.971
389,69,9103,18,F,N,S,P,S,2,5,4,1,41.75,B,815,18591.73
133,371,9261,34,F,Y,O,O,P,1,3,2,1,39.49,9,-1,9268.492
314,69,9103,23,F,Y,P,P,S,1,4,2,1,20.98,9,-1,10809.52
319,371,9261,31,M,N,O,O,S,2,6,3,3,24.02,9,-1,12225.97
270,69,9103,32,F,Y,P,P,S,1,6,2,0,8.67,9,-1,5530.276
3485,371,9261,22,M,Y,P,F,S,2,7,4,0,36.46,D,715,18404.19
3642,3851,9309,22,F,Y,S,P,P,4,6,4,0,39.17,9,-1,7879.531
601,69,9103,23,F,9,G,P,P,2,7,4,0,14.94,B,1645,24215.64
3192,371,369,24,M,9,9,P,S,5,7,5,0,9.73,9,-1,19831.71
191,69,9103,59,F,Y,O,O,P,3,4,2,0,12.03,D,1030,5659.206
1075,371,384,24,F,9,O,O,S,3,7,4,0,55.91,9,-1,49716.3
2364,69,9103,28,F,Y,P,F,P,3,4,3,0,24.24,9,-1,18487.51
51,69,9103,33,M,Y,P,F,S,1,4,2,2,5.16,9,-1,1268.754
2108,69,9103,21,M,Y,O,O,S,3,6,3,1,18,B,830,23328.01
3370,371,9261,36,F,Y,S,F,P,2,4,2,0,12.47,D,1745,18140.81
46,69,9103,24,F,Y,O,O,S,0,1,1,0,36.75,W,945,1297.744
504,69,9103,42,M,Y,P,F,P,2,4,2,2,19.21,9,-1,15848.18
481,69,9103,20,F,N,G,P,S,0,2,2,0,39.84,B,830,16754.57
3683,69,9103,60,M,Y,P,F,P,2,6,2,0,9.64,9,-1,31647.19
2442,371,9261,20,F,N,S,P,S,1,5,4,1,37.94,9,-1,39135.29
507,278,9108,21,F,Y,G,P,S,2,3,5,1,31.24,B,1200,10454.52
401,371,9261,18,F,N,O,O,S,1,7,3,2,74.7,P,900,8495.579
1254,1199,E0297,23,M,Y,S,P,P,3,6,5,0,25.15,D,1010,13320.24
3668,371,9261,21,M,Y,S,P,S,3,6,5,0,50.29,D,700,18634.11
49,69,9103,19,F,N,O,O,S,1,1,2,0,28.06,W,1015,881.096
4125,371,369,27,M,Y,G,F,P,2,3,5,0,38.49,9,-1,35959.22
139,69,9103,31,F,N,P,F,P,0,7,3,0,23.13,9,-1,10985.13
