HHKey_,PsKey_,psage,psuniversityinvolvednumyears,personstatusgrad,personstatustime,hhlivingsituation,First-year,psmainmodefalltypicalaggr,HomeToMainCampusKM,Segment,hhsize,hhnumyoungerthan18,hhnumolderorequalto18,hhcarnumber,psdrivinglicenseownerflag,hhincomelevelshortname
21997,206724,21,3,UG,FT,Live with family/parents,FALSE,Regional Transit,25.75,5,5,0,5,2,1,household_income_level__i_dont_know
21998,206613,19,1,UG,FT,Live with family/parents,FALSE,Local Transit,22.75,5,6,1,5,1,1,household_income_level__60000_89999
21999,207067,20,0,UG,FT,Live with family/parents,TRUE,Local Transit,4.5,1,4,0,4,1,0,household_income_level__30000_59999
22000,207106,18,0,UG,FT,Live with family/parents,TRUE,Local Transit,15,1,5,0,5,2,1,household_income_level__240000_plus
22001,207221,21,2,UG,FT,Live with roommates,FALSE,Local Transit,3,6,3,0,3,0,0,unknown
22002,207146,19,1,UG,FT,Live with family/parents,FALSE,Local Transit,24.25,5,4,0,4,1,0,household_income_level__i_dont_know
22003,206621,21,1,UG,FT,Live with family/parents,FALSE,Bike,5.75,5,4,0,4,2,1,household_income_level__i_dont_know
22004,207239,28,9,Grad,FT,Live with roommates,FALSE,Local Transit,3.5,10,2,0,2,0,0,household_income_level__60000_89999
22005,206411,19,1,UG,FT,Live with family/parents,FALSE,Regional Transit,26.75,5,5,2,3,2,1,household_income_level__30000_59999
22006,207091,22,3,UG,FT,Live with partner,FALSE,Local Transit,13,6,3,0,3,1,0,unknown
22007,207252,17,0,UG,FT,Live with family/parents,TRUE,Regional Transit,35,1,4,2,2,2,1,household_income_level__i_dont_know
22008,206753,19,1,UG,FT,Live with family/parents,FALSE,Local Transit,14.75,5,10,4,6,2,0,household_income_level__90000_119999
22009,206630,20,1,UG,FT,Live with roommates,FALSE,Walk,0.5,6,3,0,3,0,1,unknown
22010,207169,21,5,UG,FT,Live with family/parents,FALSE,Solo Driver,22.75,5,4,0,4,4,1,household_income_level__30000_59999
22011,207108,28,0,Other,Other,Live with family/parents,TRUE,No Travel,25.5,0,4,0,4,2,1,unknown
22012,206467,22,4,UG,FT,Live with family/parents,FALSE,Local Transit,19,5,5,0,5,3,1,unknown
22013,206759,27,0,Other,Other,Live with partner,TRUE,Bike,5,0,2,0,2,0,1,household_income_level__30000_59999
22014,207194,18,0,UG,FT,Live with family/parents,TRUE,Local Transit,12,1,3,0,3,2,1,unknown
22015,207276,26,2,UG,PT,Live with family/parents,FALSE,Walk,12,7,5,1,4,3,0,household_income_level__60000_89999
22016,207133,18,0,UG,FT,Live with family/parents,TRUE,Local Transit,16.5,1,4,0,4,2,0,household_income_level__60000_89999
22017,206637,42,0,Other,Other,Live with partner,TRUE,Solo Driver,10.5,0,2,0,2,2,1,unknown
22018,206477,27,0,Grad,FT,Live with family/parents,TRUE,Regional Transit,32,9,6,1,5,2,0,unknown
22019,206821,22,3,UG,FT,Live with family/parents,FALSE,Solo Driver,23.25,5,3,0,3,3,1,unknown
22020,207212,20,2,UG,FT,Live with roommates,FALSE,Walk,0.25,6,4,0,4,0,1,unknown
22021,207302,19,1,UG,FT,Live with family/parents,FALSE,Local Transit,9.25,5,4,0,4,2,1,household_income_level__60000_89999
22022,207156,19,1,UG,FT,Live with family/parents,FALSE,Regional Transit,40.25,5,5,2,3,1,0,household_income_level__i_dont_know
22023,206839,18,0,UG,FT,Live with family/parents,TRUE,Regional Transit,28,1,4,0,4,1,0,household_income_level__60000_89999
22024,206706,57,0,Other,Other,Live with partner,TRUE,Rideshare,8.75,0,2,0,2,2,1,household_income_level__180000_209999
22025,207328,22,3,UG,FT,Live with family/parents,FALSE,Local Transit,22.25,5,4,0,4,2,1,unknown
22026,206534,23,5,UG,FT,Live with family/parents,FALSE,Local Transit,17.25,5,6,1,5,2,1,unknown
22027,206863,22,4,UG,FT,Live with family/parents,FALSE,Local Transit,18.5,5,6,2,4,1,1,household_income_level__90000_119999
22028,207185,36,2,UG,FT,Live with partner,FALSE,Walk,0.25,6,2,0,2,2,1,household_income_level__90000_119999
22029,207238,22,1,Grad,FT,Live with family/parents,FALSE,Local Transit,4,9,3,0,3,0,0,household_income_level__i_dont_know
