HHKey_,PsKey_,psage,psuniversityinvolvednumyears,personstatusgrad,personstatustime,hhlivingsituation,First-year,psmainmodefalltypicalaggr,HomeToMainCampusKM,Segment,hhsize,hhnumyoungerthan18,hhnumolderorequalto18,hhcarnumber,psdrivinglicenseownerflag,hhincomelevelshortname
1045,1827,17,0,UG,FT,Live alone,TRUE,Bike,1,2,1,1,0,0,1,household_income_level__i_dont_know
1046,2500,27,1,Grad,FT,Live with partner,FALSE,Local Transit,2,10,2,0,2,1,0,household_income_level__30000_59999
1047,2684,24,2,Other,Other,Live with family/parents,FALSE,Walk,,0,2,0,2,0,0,unknown
1048,8449,28,0,Grad,FT,Live with roommates,TRUE,Walk,1.25,10,6,0,6,0,1,household_income_level__i_dont_know
1049,2256,19,0,UG,FT,Live alone,TRUE,Walk,0.75,2,12,2,10,0,1,household_income_level__0_29999
1050,2891,21,3,UG,FT,Live with family/parents,FALSE,Local Transit,3.75,5,4,0,4,1,0,unknown
1051,2505,18,0,UG,FT,Live with roommates,TRUE,Walk,1.25,2,2,0,2,0,1,household_income_level__240000_plus
1052,1841,21,0,UG,FT,Live with roommates,TRUE,Walk,1.75,2,4,0,4,0,0,household_income_level__60000_89999
1053,2742,21,2,UG,FT,Live with roommates,FALSE,Walk,0.5,6,2,0,2,0,0,household_income_level__i_dont_know
1054,8461,30,1,Grad,PT,Live with roommates,FALSE,Local Transit,556.75,12,3,0,3,0,1,household_income_level__0_29999
1055,2907,21,3,UG,FT,Live with family/parents,FALSE,Local Transit,27,5,2,0,2,1,1,unknown
1056,2261,24,1,UG,FT,Live with roommates,FALSE,Local Transit,27.5,6,2,0,2,0,1,household_income_level__0_29999
1057,2746,22,3,UG,FT,Live with family/parents,FALSE,Walk,1,5,2,0,2,1,0,household_income_level__30000_59999
1058,8467,17,0,UG,FT,Live with family/parents,TRUE,Local Transit,13,1,4,2,2,2,1,unknown
1059,1847,21,1,UG,FT,Live with roommates,FALSE,Walk,1,6,6,0,6,0,0,unknown
1060,2511,23,1,Grad,FT,Live with roommates,FALSE,Local Transit,11.5,10,2,0,2,1,1,unknown
1061,2267,19,0,UG,FT,Live alone,TRUE,Walk,0.25,2,1,0,1,0,0,unknown
1062,2915,27,0,UG,FT,Live with partner,TRUE,Bike,4,2,2,0,2,0,1,household_income_level__0_29999
1063,2756,26,1,Grad,FT,Live alone,FALSE,Walk,1,10,1,0,1,0,1,unknown
1064,8474,22,0,Grad,FT,Live alone,TRUE,Bike,1,10,1,0,1,0,1,unknown
1065,2525,20,2,UG,FT,Live with family/parents,FALSE,Local Transit,33.5,5,5,1,4,2,1,household_income_level__30000_59999
1066,1872,21,2,UG,FT,Live with roommates,FALSE,Walk,1.5,6,3,0,3,0,0,unknown
1067,2925,22,4,UG,PT,Live with family/parents,FALSE,Local Transit,13.75,7,4,0,4,2,0,unknown
1068,2330,23,5,UG,FT,Live with family/parents,FALSE,Local Transit,7.75,5,6,0,6,2,0,unknown
1069,2765,21,4,Other,Other,Live with family/parents,FALSE,Local Transit,18,0,4,0,4,2,1,household_income_level__30000_59999
1070,2550,17,0,UG,FT,Live with family/parents,TRUE,Solo Driver,27.5,1,5,3,2,3,1,household_income_level__90000_119999
1071,8476,20,2,UG,FT,Live with family/parents,FALSE,Rideshare,2.75,5,3,0,3,2,1,household_income_level__i_dont_know
1072,1879,20,0,UG,FT,Live with family/parents,TRUE,Local Transit,21.75,1,5,0,5,4,0,household_income_level__i_dont_know
1073,2768,62,9,Grad,PT,Live with partner,FALSE,Local Transit,11,12,2,0,2,2,1,unknown
1074,2560,19,2,UG,FT,Live with family/parents,FALSE,Local Transit,15.5,5,3,0,3,1,0,unknown
1075,2360,29,0,Grad,FT,,TRUE,Local Transit,6.25,10,4,1,3,0,0,household_income_level__0_29999
1076,2940,27,0,Grad,FT,Live with partner,TRUE,Local Transit,15,10,2,0,2,0,0,unknown
1077,8483,20,2,UG,FT,Live with family/parents,FALSE,Local Transit,24.25,5,5,2,3,2,1,household_income_level__60000_89999
1078,2773,19,1,UG,FT,Live with family/parents,FALSE,Local Transit,12.25,5,5,1,4,1,0,unknown
1079,1886,21,0,Grad,FT,Live with family/parents,TRUE,Regional Transit,43,9,5,1,4,3,1,household_income_level__i_dont_know
1080,2565,18,0,UG,FT,Live with family/parents,TRUE,Solo Driver,28,1,4,1,3,3,1,unknown
1081,2380,22,4,UG,FT,Live alone,FALSE,Bike,1,6,1,0,1,1,1,unknown
1082,2945,22,3,UG,FT,Live with family/parents,FALSE,Local Transit,6.5,5,3,0,3,2,1,household_income_level__i_dont_know
1083,2808,27,5,UG,FT,Live with roommates,FALSE,Local Transit,3.25,6,2,0,2,0,1,household_income_level__0_29999
1084,8492,17,0,UG,FT,Live with family/parents,TRUE,Local Transit,23,1,6,1,5,1,0,unknown
1085,2385,46,2,UG,FT,Live with partner,FALSE,Walk,2.25,6,2,0,2,0,1,household_income_level__120000_149999
1086,2949,25,0,Grad,FT,Live with roommates,TRUE,Walk,1.5,10,2,0,2,0,1,unknown
1087,1892,17,0,UG,PT,Live with family/parents,TRUE,Local Transit,15,3,4,2,2,1,0,unknown
1088,2816,47,8,Grad,FT,Live with family/parents,FALSE,Bike,4.5,9,5,3,2,1,1,household_income_level__120000_149999
1089,2590,50,9,UG,PT,Live with partner,FALSE,Local Transit,10.5,8,2,0,2,1,1,unknown
1090,2390,18,1,UG,FT,Live with family/parents,FALSE,Local Transit,8,5,4,0,4,3,1,unknown
1091,8504,31,1,UG,FT,Live with partner,FALSE,Local Transit,14.25,6,2,0,2,0,1,household_income_level__0_29999
1092,2954,20,2,UG,FT,Live with family/parents,FALSE,Local Transit,16.5,5,2,0,2,1,0,household_income_level__60000_89999
1093,2637,23,2,UG,FT,Live with family/parents,FALSE,Regional Transit,59.5,5,5,0,5,2,1,unknown
1094,2820,21,3,UG,FT,Live with partner,FALSE,Local Transit,5.25,6,2,0,2,1,1,household_income_level__0_29999
1095,1948,21,4,UG,FT,Live with family/parents,FALSE,Local Transit,22,5,4,0,4,1,0,unknown
1096,2400,20,2,UG,FT,Live with family/parents,FALSE,Local Transit,11.25,5,4,1,3,2,1,unknown
1097,2978,19,0,UG,FT,Live with family/parents,TRUE,Local Transit,10,1,4,0,4,1,1,unknown
1098,8508,27,0,Grad,FT,Live with partner,TRUE,Solo Driver,15.75,10,2,0,2,1,1,unknown
1099,1952,28,0,Grad,FT,Live with partner,TRUE,Walk,1.25,10,2,0,2,0,1,household_income_level__0_29999
1100,2829,20,1,UG,FT,Live with partner,FALSE,Local Transit,9.5,6,2,0,2,0,1,household_income_level__0_29999
1101,2642,20,2,UG,FT,Live with family/parents,FALSE,Walk,2.75,5,3,0,3,0,0,household_income_level__60000_89999
1102,2405,30,0,Grad,FT,Live with partner,TRUE,Local Transit,5.5,10,2,0,2,2,1,household_income_level__60000_89999
1103,2993,25,7,Grad,FT,Live with family/parents,FALSE,Local Transit,11.75,9,2,0,2,0,0,unknown
1104,2443,21,2,UG,FT,Live with family/parents,FALSE,Local Transit,10.25,5,4,0,4,2,1,unknown
1105,8512,18,0,UG,FT,Live with family/parents,TRUE,Local Transit,15.5,1,4,0,4,2,1,household_income_level__i_dont_know
1106,2833,19,1,UG,FT,Live with roommates,FALSE,Walk,2.25,6,3,0,3,0,0,unknown
1107,1959,19,0,Other,Other,Live with family/parents,TRUE,Bike,8.5,0,5,0,5,2,0,household_income_level__90000_119999
1108,2673,29,7,UG,FT,Live with family/parents,FALSE,Regional Transit,34.5,5,3,0,3,2,0,unknown
1109,3002,20,2,UG,FT,Live with roommates,FALSE,Walk,3.25,6,5,0,5,0,1,unknown
1110,2841,21,3,UG,FT,Live with family/parents,FALSE,Local Transit,17.5,5,4,0,4,2,0,household_income_level__i_dont_know
1111,8520,26,1,Grad,FT,,FALSE,Walk,1,10,3,1,2,1,1,unknown
1112,2463,30,3,Grad,PT,Live with partner,FALSE,Local Transit,2.5,12,2,0,2,0,0,unknown
1113,2685,20,3,UG,PT,Live with roommates,FALSE,Bike,2.25,8,2,0,2,0,1,unknown
1114,2002,22,4,UG,PT,Live with family/parents,FALSE,Bike,3,7,3,0,3,1,0,unknown
1115,2852,24,0,Grad,FT,Live with partner,TRUE,Local Transit,12,10,2,0,2,1,1,household_income_level__0_29999
1116,3005,21,2,UG,FT,Live with roommates,FALSE,Local Transit,4,6,4,0,4,0,1,unknown
1117,2473,35,7,Grad,FT,Live with roommates,FALSE,Walk,1.25,10,5,0,5,1,1,household_income_level__i_dont_know
1118,8522,20,2,UG,FT,Live with roommates,FALSE,Bike,0.75,6,4,0,4,0,1,household_income_level__i_dont_know
1119,2698,35,6,Grad,FT,Live with family/parents,FALSE,Local Transit,4.75,9,3,1,2,1,0,household_income_level__90000_119999
1120,2017,33,0,Grad,FT,Live with partner,TRUE,Bike,2.75,10,2,0,2,0,1,household_income_level__150000_179999
1121,3038,21,2,UG,FT,Live with roommates,FALSE,Walk,1.75,6,2,0,2,0,1,unknown
1122,2873,18,1,UG,FT,Live with roommates,FALSE,Walk,0.75,6,3,0,3,0,1,unknown
1123,2479,20,2,UG,PT,Live with roommates,FALSE,Walk,0.75,8,6,0,6,0,1,household_income_level__i_dont_know
1124,8528,60,9,Grad,FT,Live with roommates,FALSE,Local Transit,8.75,10,2,0,2,1,1,household_income_level__90000_119999
1125,2899,18,1,UG,FT,Live with roommates,FALSE,Walk,0.5,6,5,1,4,0,0,unknown
1126,2710,21,3,UG,FT,Live with roommates,FALSE,Walk,0,6,2,0,2,1,1,unknown
1127,2036,21,4,UG,PT,Live with roommates,FALSE,Bike,1.75,8,2,0,2,0,1,household_income_level__i_dont_know
1128,3042,26,4,Grad,FT,Live with roommates,FALSE,Walk,1.5,10,6,0,6,0,0,unknown
1129,2718,24,4,UG,FT,Live with family/parents,FALSE,Bike,4,5,3,0,3,2,0,household_income_level__30000_59999
1130,2919,28,9,Other,Other,Live with partner,FALSE,Solo Driver,47,0,2,0,2,2,1,unknown
1131,2484,18,0,UG,FT,Live with family/parents,TRUE,Regional Transit,15.5,1,4,0,4,3,0,household_income_level__0_29999
1132,2041,22,5,Grad,FT,Live with family/parents,FALSE,Regional Transit,23.75,9,4,0,4,3,1,unknown
1133,8536,0,0,UG,FT,Live with roommates,TRUE,Walk,0.25,2,3,3,0,1,0,household_income_level__i_dont_know
1134,3070,18,0,UG,FT,Live with family/parents,TRUE,Local Transit,4.25,1,4,1,3,1,0,household_income_level__i_dont_know
1135,2722,22,3,UG,FT,Live with family/parents,FALSE,Local Transit,9.75,5,2,0,2,0,1,household_income_level__0_29999
1136,2067,50,9,UG,PT,Live with family/parents,FALSE,Local Transit,12.25,7,1,0,1,0,1,unknown
1137,2923,35,4,Grad,FT,Live alone,FALSE,Bike,1,10,1,0,1,0,1,household_income_level__30000_59999
1138,2547,19,1,UG,FT,Live with family/parents,FALSE,Regional Transit,26.75,5,2,0,2,1,1,household_income_level__60000_89999
1139,8540,21,3,UG,FT,Live alone,FALSE,Walk,1.25,6,1,0,1,0,0,household_income_level__i_dont_know
1140,3075,19,1,UG,FT,Live with family/parents,FALSE,Solo Driver,19.25,5,3,1,2,2,1,unknown
1141,2078,19,0,UG,FT,Live with roommates,TRUE,Bike,1.75,2,1,0,1,0,1,household_income_level__150000_179999
1142,2734,19,0,UG,FT,Live alone,TRUE,Walk,0.25,2,3,0,3,0,0,unknown
1143,2928,23,4,UG,FT,Live with roommates,FALSE,Bike,1.75,6,10,0,10,1,0,household_income_level__120000_149999
1144,8543,17,0,UG,FT,Live with family/parents,TRUE,Local Transit,13,1,4,1,3,2,0,household_income_level__60000_89999
1145,2552,19,0,UG,FT,Live with roommates,TRUE,Walk,0.5,2,4,0,4,0,1,unknown
1146,3087,22,0,UG,FT,Live with family/parents,TRUE,Local Transit,21.5,1,4,0,4,2,1,unknown
1147,2087,20,2,UG,FT,Live alone,FALSE,Local Transit,19.25,6,7,2,5,1,0,household_income_level__i_dont_know
1148,2739,20,2,UG,FT,Live with roommates,FALSE,Walk,1.75,6,2,0,2,0,0,unknown
1149,2971,24,6,Grad,FT,Live with family/parents,FALSE,Regional Transit,25.25,9,3,0,3,1,1,unknown
1150,8545,27,4,Grad,FT,Live with roommates,FALSE,Bike,3.75,10,3,0,3,0,1,household_income_level__90000_119999
1151,2577,24,0,Grad,FT,Live with roommates,TRUE,Local Transit,3.25,10,4,1,3,0,1,household_income_level__90000_119999
1152,3091,25,2,Grad,FT,Live with roommates,FALSE,Local Transit,4.75,10,2,0,2,0,0,unknown
1153,2755,22,0,Grad,FT,Live with roommates,TRUE,Walk,0.5,10,4,0,4,0,1,unknown
1154,2094,20,3,UG,FT,Live with family/parents,FALSE,Regional Transit,23.5,5,4,0,4,2,0,household_income_level__90000_119999
1155,2983,20,2,UG,FT,Live with family/parents,FALSE,Local Transit,19.5,5,3,0,3,2,1,unknown
1156,2597,56,9,Grad,PT,Live alone,FALSE,Local Transit,4.75,12,1,0,1,0,0,household_income_level__30000_59999
1157,8547,24,2,UG,FT,Live with family/parents,FALSE,Rideshare,4.25,5,2,1,1,1,1,unknown
1158,2141,26,9,Grad,FT,Live with family/parents,FALSE,Local Transit,20.25,9,3,0,3,1,1,unknown
1159,3111,22,0,Grad,FT,Live with roommates,TRUE,Walk,0.5,10,4,0,4,0,0,household_income_level__0_29999
1160,2602,62,9,UG,PT,Live with partner,FALSE,Local Transit,3,8,2,0,2,2,1,household_income_level__150000_179999
1161,2995,21,3,UG,FT,Live with roommates,FALSE,Walk,1,6,5,0,5,0,1,unknown
1162,2764,21,3,UG,FT,Live with family/parents,FALSE,Regional Transit,36,5,2,0,2,0,0,household_income_level__i_dont_know
1163,2157,19,1,UG,FT,Live with family/parents,FALSE,Regional Transit,47.5,5,4,0,4,2,1,household_income_level__150000_179999
1164,3014,34,9,Grad,FT,Live with family/parents,FALSE,Regional Transit,28,9,5,1,4,2,1,unknown
1165,2784,19,1,UG,FT,Live with family/parents,FALSE,Solo Driver,23.75,5,4,1,3,3,1,household_income_level__240000_plus
1166,3115,21,3,UG,PT,Live with roommates,FALSE,Walk,1,8,4,0,4,0,0,household_income_level__0_29999
1167,2612,21,3,UG,FT,Live with family/parents,FALSE,Local Transit,11,5,4,1,3,0,0,unknown
1168,8553,40,2,Grad,FT,Live with partner,FALSE,Regional Transit,60.75,10,2,0,2,2,1,household_income_level__90000_119999
1169,2162,18,0,UG,FT,Live with family/parents,TRUE,Rideshare,4.75,1,4,0,4,2,1,household_income_level__150000_179999
1170,2628,26,1,Grad,FT,Live alone,FALSE,Walk,0.25,10,4,0,4,2,1,unknown
1171,8565,29,1,Grad,FT,Live with partner,FALSE,Bike,1.5,10,2,0,2,0,1,household_income_level__0_29999
1172,3019,21,0,Grad,FT,,TRUE,Local Transit,3,10,2,0,2,0,1,household_income_level__i_dont_know
1173,3143,22,3,UG,FT,Live with roommates,FALSE,Walk,1.5,6,3,0,3,0,0,household_income_level__0_29999
1174,2788,22,0,Grad,FT,Live with roommates,TRUE,Walk,1,10,4,0,4,0,1,unknown
1175,2644,21,2,UG,FT,Live with family/parents,FALSE,Local Transit,5.75,5,2,0,2,0,0,unknown
1176,3043,18,0,UG,FT,Live with family/parents,TRUE,Local Transit,13.25,1,4,2,2,0,0,household_income_level__i_dont_know
1177,8568,28,0,Grad,FT,Live with partner,TRUE,Local Transit,16.5,10,2,0,2,1,1,household_income_level__90000_119999
1178,2183,22,1,Grad,FT,Live with partner,FALSE,Local Transit,5.25,10,2,0,2,0,1,household_income_level__0_29999
1179,3147,24,0,Grad,FT,Live with family/parents,TRUE,Regional Transit,24.75,9,5,1,4,3,1,unknown
1180,2805,27,3,UG,FT,Live with roommates,FALSE,Local Transit,5,6,2,0,2,1,1,unknown
1181,8573,18,1,UG,FT,Live with family/parents,FALSE,Rideshare,5.5,5,4,0,4,1,0,unknown
1182,2652,23,1,Grad,FT,Live with roommates,FALSE,Walk,0.75,10,3,0,3,0,1,household_income_level__0_29999
1183,3047,21,3,UG,FT,Live with family/parents,FALSE,Walk,1.25,5,4,1,3,2,1,household_income_level__i_dont_know
1184,2208,25,4,Grad,FT,Live with roommates,FALSE,Walk,0.75,10,3,0,3,0,1,unknown
1185,2813,20,2,UG,FT,Live with roommates,FALSE,Local Transit,,6,6,2,4,2,0,unknown
1186,2664,18,0,UG,FT,Live with family/parents,TRUE,Regional Transit,39.5,1,4,0,4,1,0,household_income_level__i_dont_know
1187,3074,19,1,UG,FT,Live with family/parents,FALSE,Local Transit,16.25,5,3,0,3,1,1,unknown
1188,3175,18,0,UG,FT,Live with family/parents,TRUE,Local Transit,7.5,1,7,2,5,3,0,unknown
1189,8584,28,1,Grad,FT,Live alone,FALSE,Walk,1,10,1,0,1,0,1,household_income_level__0_29999
1190,2223,23,0,Grad,FT,Live with family/parents,TRUE,Local Transit,65.25,9,3,0,3,1,0,household_income_level__0_29999
1191,2679,21,3,UG,FT,Live with roommates,FALSE,Local Transit,1.75,6,4,0,4,1,1,household_income_level__i_dont_know
1192,3086,37,9,Other,Other,Live alone,FALSE,Solo Driver,52.5,0,1,0,1,1,1,unknown
1193,3212,26,1,Grad,FT,Live with family/parents,FALSE,Walk,1,9,3,0,3,2,1,household_income_level__i_dont_know
1194,2817,22,5,UG,PT,Live with family/parents,FALSE,Local Transit,12.75,7,5,0,5,3,1,household_income_level__0_29999
1195,8587,21,3,UG,FT,Live with roommates,FALSE,Local Transit,2.5,6,2,0,2,0,1,household_income_level__120000_149999
1196,2238,20,0,UG,FT,Live alone,TRUE,Local Transit,2.25,2,1,0,1,0,0,household_income_level__i_dont_know
1197,3090,28,1,UG,FT,Live with family/parents,FALSE,Bike,0.75,5,2,0,2,0,1,unknown
1198,2683,22,4,UG,FT,Live with family/parents,FALSE,Rideshare,1.25,5,3,0,3,2,1,unknown
1199,2840,25,4,UG,FT,Live with roommates,FALSE,Local Transit,3.25,6,5,0,5,3,1,unknown
1200,8589,27,2,Grad,FT,Live with partner,FALSE,Bike,1.5,10,2,0,2,0,0,household_income_level__30000_59999
1201,3219,19,1,UG,FT,Live with family/parents,FALSE,Local Transit,18,5,6,1,5,2,0,household_income_level__30000_59999
1202,2243,20,2,UG,FT,Live with family/parents,FALSE,Local Transit,15.25,5,4,1,3,1,0,household_income_level__i_dont_know
1203,2707,26,0,Grad,FT,Live with family/parents,TRUE,Local Transit,6.25,9,4,0,4,2,1,unknown
1204,3098,22,3,UG,FT,Live with family/parents,FALSE,Local Transit,4.5,5,4,1,3,1,1,unknown
1205,2723,20,2,UG,FT,Live with family/parents,FALSE,Regional Transit,35.25,5,3,0,3,1,1,household_income_level__30000_59999
1206,2844,19,1,UG,FT,Live with family/parents,FALSE,Local Transit,18.25,5,4,0,4,1,0,household_income_level__90000_119999
1207,8593,45,0,Grad,PT,Live with partner,TRUE,Regional Transit,70.5,12,6,4,2,1,0,unknown
1208,3118,19,1,UG,FT,Live with family/parents,FALSE,Local Transit,20,5,5,2,3,2,1,household_income_level__60000_89999
1209,2249,19,1,UG,FT,Live with family/parents,FALSE,Solo Driver,40.25,5,5,1,4,3,1,unknown
1210,3248,20,1,UG,FT,Live alone,FALSE,Walk,1.25,6,1,0,1,0,1,household_income_level__i_dont_know
1211,3122,20,2,UG,FT,Live with roommates,FALSE,Walk,0.25,6,3,0,3,0,1,household_income_level__i_dont_know
1212,2875,20,2,UG,FT,Live with family/parents,FALSE,Solo Driver,26.25,5,5,0,5,2,1,household_income_level__30000_59999
1213,3252,25,2,Grad,FT,Live with roommates,FALSE,Bike,1.25,10,2,0,2,1,0,unknown
1214,2728,18,0,UG,FT,Live with family/parents,TRUE,Regional Transit,14.75,1,3,0,3,2,0,household_income_level__150000_179999
1215,8595,17,0,UG,FT,Live with family/parents,TRUE,Local Transit,16.75,1,5,2,3,2,0,unknown
1216,3142,24,4,UG,FT,Live with family/parents,FALSE,Local Transit,8.75,5,5,0,5,2,0,unknown
1217,2254,19,0,UG,FT,Live with family/parents,TRUE,Local Transit,,1,4,0,4,1,0,household_income_level__30000_59999
1218,3260,25,0,Grad,FT,Live with partner,TRUE,Local Transit,5.5,10,2,0,2,2,1,household_income_level__120000_149999
1219,2747,21,3,UG,FT,Live with family/parents,FALSE,Local Transit,16,5,5,0,5,3,1,unknown
1220,8607,18,1,Other,Other,Live alone,FALSE,Walk,1.5,0,1,0,1,0,0,unknown
1221,3169,18,0,UG,FT,Live with roommates,TRUE,Local Transit,0.75,2,2,0,2,0,0,unknown
1222,2895,27,8,Grad,FT,Live with partner,FALSE,Walk,1.5,10,2,0,2,0,0,household_income_level__0_29999
1223,2283,25,0,Grad,FT,Live with roommates,TRUE,Walk,1.25,10,2,0,2,0,1,household_income_level__30000_59999
1224,3268,20,2,UG,FT,Live with family/parents,FALSE,Rideshare,10.25,5,3,0,3,1,1,unknown
1225,3176,26,4,Grad,FT,Live with partner,FALSE,Bike,1.25,10,3,0,3,1,1,household_income_level__i_dont_know
1226,8617,17,0,UG,FT,Live with roommates,TRUE,Walk,0.5,2,5,2,3,0,1,household_income_level__i_dont_know
1227,2766,19,0,UG,FT,Live with family/parents,TRUE,Local Transit,10.75,1,3,0,3,1,0,unknown
1228,2920,28,3,Grad,FT,Live alone,FALSE,Walk,0.75,10,1,0,1,0,0,unknown
1229,2290,18,0,UG,FT,Live with family/parents,TRUE,Bike,6.25,1,3,1,2,0,0,unknown
1230,3189,28,1,UG,FT,Live with partner,FALSE,Local Transit,10.5,6,2,0,2,1,1,unknown
1231,2778,19,1,UG,FT,Live with family/parents,FALSE,Bike,1.5,5,4,0,4,1,0,household_income_level__120000_149999
1232,3284,18,0,UG,FT,Live with family/parents,TRUE,Solo Driver,26.5,1,8,1,7,2,1,unknown
1233,2926,19,1,UG,FT,Live with family/parents,FALSE,Local Transit,14.5,5,3,0,3,2,0,household_income_level__180000_209999
1234,8627,18,1,UG,FT,Live with roommates,FALSE,Walk,0.5,6,1,0,1,0,0,unknown
1235,2310,19,0,UG,FT,Live with family/parents,TRUE,Local Transit,12,1,5,1,4,1,0,unknown
1236,3199,40,0,Grad,FT,Live with family/parents,TRUE,Local Transit,4.75,9,4,2,2,2,1,unknown
1237,2783,22,0,Grad,FT,Live with family/parents,TRUE,Regional Transit,45.5,9,5,1,4,2,1,unknown
1238,3201,20,1,UG,FT,Live with roommates,FALSE,Local Transit,4.75,6,2,0,2,1,0,household_income_level__i_dont_know
1239,8629,24,4,UG,FT,Live with family/parents,FALSE,Local Transit,13.75,5,3,0,3,1,1,household_income_level__60000_89999
1240,3315,19,1,UG,FT,Live with family/parents,FALSE,Regional Transit,41.5,5,8,1,7,2,1,unknown
1241,2930,20,0,UG,FT,Live with roommates,TRUE,Local Transit,1,2,2,0,2,0,0,household_income_level__0_29999
1242,8232,21,3,UG,FT,Live alone,FALSE,Local Transit,7.5,6,1,0,1,0,1,household_income_level__i_dont_know
1243,2799,25,0,Grad,FT,Live with family/parents,TRUE,Local Transit,,9,3,0,3,3,1,unknown
1244,8631,21,3,UG,FT,Live with family/parents,FALSE,Local Transit,19,5,3,0,3,2,1,household_income_level__0_29999
1245,3222,22,4,UG,PT,Live with family/parents,FALSE,Local Transit,9.5,7,5,1,4,1,1,unknown
1246,2934,22,1,Grad,FT,Live with family/parents,FALSE,Local Transit,13,9,5,1,4,1,1,unknown
1247,2818,20,2,UG,FT,Live with family/parents,FALSE,Walk,1.75,5,5,0,5,0,0,household_income_level__0_29999
1248,8234,18,0,UG,FT,Live with family/parents,TRUE,Local Transit,14.25,1,4,1,3,2,0,unknown
1249,3319,18,0,UG,FT,Live with family/parents,TRUE,Local Transit,22.75,1,5,1,4,1,0,unknown
1250,3227,21,2,UG,FT,Live with family/parents,FALSE,Local Transit,21.75,5,3,0,3,1,0,unknown
1251,8633,22,1,UG,FT,Live with family/parents,FALSE,Local Transit,30.75,5,2,0,2,1,1,unknown
1252,2965,24,1,UG,FT,Live with family/parents,FALSE,Local Transit,8,5,3,0,3,1,0,household_income_level__i_dont_know
1253,2846,21,3,UG,FT,Live with roommates,FALSE,Walk,0.5,6,5,0,5,0,1,unknown
1254,3231,37,0,Grad,FT,Live with family/parents,TRUE,Regional Transit,27.75,9,3,1,2,1,1,household_income_level__30000_59999
1255,8242,20,2,UG,FT,Live with family/parents,FALSE,Local Transit,20.5,5,4,0,4,2,0,unknown
1256,3366,25,0,UG,FT,Live with partner,TRUE,Local Transit,24,2,2,0,2,0,1,household_income_level__i_dont_know
1257,3249,21,3,UG,FT,Live with family/parents,FALSE,Local Transit,11,5,6,2,4,2,0,household_income_level__i_dont_know
1258,3373,22,3,UG,FT,Live with family/parents,FALSE,Local Transit,4.75,5,2,0,2,0,0,household_income_level__0_29999
1259,2977,20,2,UG,FT,Live with family/parents,FALSE,Rideshare,20.75,5,4,0,4,1,0,household_income_level__i_dont_know
1260,8635,36,1,Grad,FT,Live with partner,FALSE,Regional Transit,90.5,10,3,1,2,2,1,household_income_level__90000_119999
1261,2866,23,5,Grad,FT,Live with family/parents,FALSE,Regional Transit,25.25,9,3,0,3,2,0,household_income_level__30000_59999
1262,8250,21,3,UG,FT,Live with family/parents,FALSE,Local Transit,22.75,5,3,0,3,2,1,unknown
1263,3272,23,1,Grad,FT,Live with roommates,FALSE,Walk,0.5,10,2,0,2,0,1,household_income_level__30000_59999
1264,2870,20,0,UG,FT,Live with partner,TRUE,Solo Driver,1.75,2,4,0,4,1,1,unknown
1265,3381,21,1,UG,FT,Live with roommates,FALSE,Bike,1.25,6,3,0,3,0,1,unknown
1266,2981,24,4,UG,FT,Live with family/parents,FALSE,Local Transit,20.75,5,5,1,4,2,1,unknown
1267,8643,23,1,UG,FT,Live with family/parents,FALSE,Solo Driver,23,5,3,1,2,3,1,unknown
1268,8256,24,0,Grad,FT,Live with roommates,TRUE,Walk,0.75,10,2,0,2,1,0,household_income_level__i_dont_know
1269,3281,23,5,UG,PT,Live with family/parents,FALSE,Regional Transit,31.75,7,5,1,4,1,1,unknown
1270,3394,20,2,UG,FT,Live with family/parents,FALSE,Local Transit,15,5,6,1,5,1,0,household_income_level__0_29999
1271,2874,25,2,UG,FT,Live with partner,FALSE,Walk,1,6,2,0,2,0,1,household_income_level__30000_59999
1272,3001,24,6,Grad,FT,Live with family/parents,FALSE,Local Transit,14.75,9,3,0,3,1,1,unknown
1273,8258,63,2,Grad,FT,Live with partner,FALSE,Regional Transit,,10,3,0,3,2,1,household_income_level__90000_119999
1274,8645,32,2,Grad,FT,Live with roommates,FALSE,Walk,1.5,10,3,0,3,1,1,unknown
1275,2878,18,0,UG,FT,Live with family/parents,TRUE,Local Transit,22.5,1,4,1,3,1,0,unknown
1276,8647,22,5,UG,FT,Live with family/parents,FALSE,Regional Transit,36.5,5,6,2,4,3,0,unknown
1277,3301,19,0,UG,FT,Live alone,TRUE,Local Transit,12.25,2,1,0,1,0,1,household_income_level__i_dont_know
1278,3013,20,2,UG,FT,Live with family/parents,FALSE,Regional Transit,42.25,5,5,0,5,3,0,household_income_level__240000_plus
1279,3305,18,0,UG,PT,Live with family/parents,TRUE,Local Transit,9,3,4,1,3,2,0,household_income_level__60000_89999
1280,8266,21,9,Grad,FT,Live with roommates,FALSE,Bike,1.75,10,2,0,2,0,0,unknown
1281,3417,25,7,Grad,FT,Live with partner,FALSE,Solo Driver,37,10,2,0,2,2,1,household_income_level__0_29999
1282,2916,18,0,UG,FT,Live with family/parents,TRUE,Regional Transit,26.5,1,5,0,5,3,0,household_income_level__60000_89999
1283,3321,18,0,UG,FT,Live with roommates,TRUE,Walk,0.75,2,2,0,2,0,1,household_income_level__30000_59999
1284,3426,21,3,UG,FT,Live with roommates,FALSE,Local Transit,13.25,6,2,0,2,0,1,household_income_level__i_dont_know
