MI,OC,RY,SC,SG,YG,YK,Origin
0.0,0.0,0.4208860939640271,0.03492986427977738,0.4767616686747129,0.0,0.06742237308148227,25
0.0,0.0,0.3177658190004189,0.09043295622507433,0.37058533885317,0.05346924247661652,0.16774664344471987,26
0.02026315789473684,0.06542599097918182,0.17817563398370648,0.06765730724915361,0.5959284726965324,0.0035083333333333334,0.06904110386335559,27
0.0020050125313283208,0.03595988119207934,0.28267337646574403,0.03951402769319043,0.5698203810741836,0.016872457921522394,0.05315486312195155,28
0.02026315789473684,0.0552843352492908,0.21231066072167437,0.056165733463462174,0.5950780894196785,0.003889285714285714,0.05700873753687161,29
0.0,0.0,0.3187872670807453,0.0017786561264822134,0.6704419819311123,0.0008514492753623188,0.00814064558629776,30
0.0022222222222222222,0.024493879198903425,0.25954493919673444,0.04955428155510602,0.5487032288139687,0.022968952929782113,0.09251249608328285,31
0.005199134199134199,0.0019930069930069933,0.41335987598647445,0.008532100465604302,0.4826985178788249,0.0048994290733421165,0.08331793540361314,32
0.006138888888888889,0.005333333333333333,0.1325517664702447,0.002611323459149546,0.8048064646705949,0.008016131815044857,0.04054209136274354,33
0.0,0.1303526024722349,0.07808180632166023,0.08395604295123067,0.6266305872452729,0.0,0.08097896100960109,34
0.0,0.0,0.1593383838383838,0.0,0.8406616161616158,0.0,0.0,35
0.0,0.0,0.3771193120604884,0.0,0.506835409688351,0.0,0.11604527825116057,36
0.0,0.09883626338252709,0.5408645620791085,0.0,0.36029917453836463,0.0,0.0,37
0.0,0.07896084706375113,0.607265601510815,0.0,0.28834328241371315,0.0,0.02543026901172114,38
0.0,0.06242515940185207,0.5320923747133498,0.0,0.40548246588479786,0.0,0.0,39
0.0,0.019384346827375946,0.24126072949412364,0.0,0.6833235428181298,0.017009203724992036,0.039022177135378595,40
0.01682366058451898,0.017193143867935978,0.21286619535285797,0.01879878562925381,0.6381795932063453,0.0,0.09613862135908778,41
0.0,0.03354020812357674,0.19112854514057548,0.024392013742147566,0.7201312809252315,0.0,0.0308079520684691,42
0.0,0.0,0.14419225209201986,0.0,0.6714798972384114,0.0,0.18432785066956878,43
0.0,0.06501425029480623,0.2690557207343987,0.0,0.6012441791659081,0.0,0.06468584980488666,44
0.0,0.0,0.0,0.03453053337734639,0.8611081207408883,0.0,0.10436134588176549,45
0.010048203116340377,0.006167644148168155,0.061152621284681595,0.014525405170966198,0.8778059129167984,0.0,0.030300213363045173,46
0.0,0.01250162953939927,0.011826229561763681,0.0,0.9636492631508741,0.0,0.012022877747962972,47
0.0,0.018836224312756732,0.04217546553295227,0.0,0.9014673575199077,0.0,0.037520952634383174,48
0.0,0.0,0.0,0.0,1.0,0.0,0.0,49
0.008673449603086946,0.046974319680543525,0.08744940260122462,0.0,0.8059439500371721,0.0,0.05095887807797281,50
0.0,0.0,0.06426992353014663,0.03792514177331881,0.8808864609725076,0.0,0.016918473724027053,51
0.0,0.23672294372294375,0.004,0.0,0.7592770562770563,0.0,0.0,52
0.008782742275447153,0.0,0.08015792092363401,0.00782347279596986,0.8928558454706055,0.0,0.01038001853434333,53
0.0,0.027608016210371133,0.39945624261273704,0.0022327044025157233,0.4584936385435783,0.0,0.1122093982307978,54
0.00023391812865497074,0.20193212197159563,0.010246449456975773,5.8479532163742686e-05,0.7829467418546363,0.0,0.004582289055973267,55
0.0,0.00125,0.5530500000000002,0.000625,0.4303999999999999,0.0,0.014674999999999999,56
