,HomeZone,SchoolZone,SchoolCode,Age,Sex,License,Occupation,EmploymentStatus,StudentStatus,Vehicles,IncomeClass,Adults,Children,ExpansionFactor,ModeTakenToSchool,TripToSchoolTime,Dist,PD,SchoolName
4074,66,69,9103,30,M,Y,P,F,S,1,6,2,0,18.29,B,1800,2.2983540000000002,1,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4076,198,371,9261,20,M,N,S,P,P,2,7,4,1,48.94,B,930,19.00553,4,HUMBER COLLEGE - NORTH CAMPUS
4077,3354,69,9103,22,M,Y,M,P,S,3,5,4,0,11.1,J,730,36.37372,35,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4078,402,69,9103,19,M,N,O,O,S,2,7,4,0,25.55,B,930,17.997169999999997,10,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4079,2226,371,9261,22,M,N,O,O,S,1,2,3,0,27.08,9,-1,34.11851,29,HUMBER COLLEGE - NORTH CAMPUS
4080,1099,69,9103,34,F,Y,P,H,P,2,6,2,0,17.79,9,-1,55.18345,22,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4081,1121,1199,E0297,21,F,Y,S,P,S,3,6,3,0,26.93,D,905,10.670739999999999,22,UOIT - DOWNTOWN CAMPUS
4082,2101,371,384,20,M,Y,S,P,S,2,7,4,1,18.82,9,-1,20.93679,33,UNIVERSITY OF GUELPH AT HUMBER
4083,3657,371,9261,18,M,N,O,O,S,1,3,5,0,78.82,B,630,20.64166,36,HUMBER COLLEGE - NORTH CAMPUS
4084,306,69,9103,57,F,Y,G,F,P,3,6,2,0,16.53,9,-1,11.34862,8,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4085,389,1199,E0297,44,F,Y,P,F,P,1,3,2,2,59.03,D,900,58.82552,10,UOIT - DOWNTOWN CAMPUS
4086,335,371,9261,21,F,Y,S,P,P,3,5,4,0,22.93,D,745,10.3986,8,HUMBER COLLEGE - NORTH CAMPUS
4087,3505,3851,9309,20,F,Y,M,P,S,2,3,3,1,19.24,D,730,21.27879,35,SHERIDAN COLLEGE - MISSISSAUGA
4088,613,69,9103,24,F,Y,9,J,P,2,5,3,1,20.53,B,900,24.43672,16,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4089,3690,371,384,21,F,Y,S,P,S,2,4,4,1,40.22,P,1030,17.66575,36,UNIVERSITY OF GUELPH AT HUMBER
4090,460,69,9103,20,M,Y,O,O,S,2,6,5,0,16.5,B,800,17.732590000000005,11,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4091,3622,69,9103,26,M,Y,O,O,S,2,6,3,0,16.66,B,715,18.75543,36,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4093,4032,4029,9301,35,F,Y,P,P,S,1,4,3,2,51.45,D,745,1.679295,39,SHERIDAN COLLEGE - TRAFALGAR ROAD
4094,4039,4029,9301,26,F,Y,S,F,P,2,5,3,0,23.33,9,-1,5.884115,39,SHERIDAN COLLEGE - TRAFALGAR ROAD
4096,4037,4029,9301,19,M,Y,S,P,S,2,4,3,0,40.18,D,1445,4.217637,39,SHERIDAN COLLEGE - TRAFALGAR ROAD
4097,3355,493,9206,18,M,Y,O,O,S,1,2,4,0,21.9,B,600,44.04852,35,CENTENNIAL COLLEGE - PROGRESS
4098,3879,4029,9301,22,F,N,O,O,S,2,3,3,1,41.24,B,1000,9.552152,36,SHERIDAN COLLEGE - TRAFALGAR ROAD
4100,4189,4029,9301,18,M,Y,S,P,S,2,6,3,1,23.83,J,1400,14.18029,40,SHERIDAN COLLEGE - TRAFALGAR ROAD
4101,202,493,9206,39,M,Y,O,O,S,0,7,2,1,36.07,B,700,20.30544,4,CENTENNIAL COLLEGE - PROGRESS
4103,4183,4029,9301,46,M,Y,G,F,P,2,3,3,3,26.96,9,-1,6.0616819999999985,39,SHERIDAN COLLEGE - TRAFALGAR ROAD
4104,4183,4029,9301,18,M,N,S,P,S,2,3,3,3,26.96,B,820,6.0616819999999985,39,SHERIDAN COLLEGE - TRAFALGAR ROAD
4105,1241,493,9206,18,M,Y,S,P,S,3,4,3,1,35.85,9,-1,36.87963,24,CENTENNIAL COLLEGE - PROGRESS
4106,4160,5142,9273,18,F,Y,S,P,S,3,6,3,2,23.09,D,800,54.611740000000005,37,MOHAWK COLLEGE - FENNELL
4107,570,493,9206,19,M,Y,S,P,S,3,4,3,1,23.18,D,800,9.06512,15,CENTENNIAL COLLEGE - PROGRESS
4108,4189,4029,9301,38,M,Y,P,F,P,2,4,2,2,24.81,9,-1,14.18029,40,SHERIDAN COLLEGE - TRAFALGAR ROAD
4109,405,493,9206,21,F,Y,S,P,S,1,7,3,1,4.9,9,-1,26.47477,10,CENTENNIAL COLLEGE - PROGRESS
4110,5166,5142,9273,23,F,Y,O,O,S,0,1,1,2,60.08,B,730,7.920920999999999,46,MOHAWK COLLEGE - FENNELL
4111,5204,5142,9273,32,F,Y,S,P,P,1,2,2,0,28.83,P,1215,4.069991,46,MOHAWK COLLEGE - FENNELL
4112,571,493,9206,21,F,N,O,O,S,2,7,3,3,23.43,9,-1,9.533832,15,CENTENNIAL COLLEGE - PROGRESS
4113,21,493,9206,41,M,Y,O,O,S,0,7,2,2,38.26,B,1300,19.85825,1,CENTENNIAL COLLEGE - PROGRESS
4114,5115,5142,9273,61,F,Y,G,F,P,3,4,3,0,21.15,9,-1,2.876854,46,MOHAWK COLLEGE - FENNELL
4116,568,493,9206,42,F,Y,O,O,S,1,7,2,3,20.94,9,-1,7.499821000000001,15,CENTENNIAL COLLEGE - PROGRESS
4117,5195,5142,9273,23,M,Y,O,O,S,0,7,2,0,57.96,9,-1,3.2036420000000003,46,MOHAWK COLLEGE - FENNELL
4119,4079,4029,9301,18,M,Y,O,O,S,2,6,3,2,69.98,D,1400,14.30786,40,SHERIDAN COLLEGE - TRAFALGAR ROAD
4120,5137,5142,9273,25,M,Y,S,P,S,2,5,4,0,45.07,D,1230,7.484555,43,MOHAWK COLLEGE - FENNELL
4121,403,493,9206,21,M,Y,S,P,S,2,7,4,1,31.74,9,-1,28.79992,10,CENTENNIAL COLLEGE - PROGRESS
4125,572,493,9206,20,M,N,O,O,S,2,5,4,0,30.71,B,930,7.561103,15,CENTENNIAL COLLEGE - PROGRESS
4126,5116,5142,9273,20,F,N,O,O,S,3,7,4,0,69.99,B,830,2.362241,46,MOHAWK COLLEGE - FENNELL
4127,3811,4029,9301,48,F,Y,G,F,P,2,2,4,0,29.31,9,-1,11.31683,36,SHERIDAN COLLEGE - TRAFALGAR ROAD
4128,223,493,9206,21,M,Y,P,P,S,1,2,4,0,27.66,B,700,13.82012,5,CENTENNIAL COLLEGE - PROGRESS
4129,4089,5142,9273,20,M,Y,O,O,S,2,3,3,1,62.54,B,700,18.95187,40,MOHAWK COLLEGE - FENNELL
4131,3855,5142,9273,18,M,Y,S,P,S,1,7,3,0,43.82,9,-1,50.1232,36,MOHAWK COLLEGE - FENNELL
4132,4033,4029,9301,59,F,Y,P,F,P,2,6,2,0,18.6,9,-1,3.753301,39,SHERIDAN COLLEGE - TRAFALGAR ROAD
4133,5132,5142,9273,22,F,Y,O,O,S,1,6,2,0,27.81,9,-1,7.055936,46,MOHAWK COLLEGE - FENNELL
4134,524,493,9206,18,M,N,O,O,P,2,5,3,1,12.9,9,-1,8.132921999999999,13,CENTENNIAL COLLEGE - PROGRESS
4135,497,493,9206,21,M,Y,S,P,S,2,2,3,1,63.86,D,830,2.1159250000000003,13,CENTENNIAL COLLEGE - PROGRESS
4136,5179,5142,9273,34,F,Y,O,O,S,0,1,1,0,24.14,B,845,2.533961,46,MOHAWK COLLEGE - FENNELL
4138,565,1179,9231,18,M,Y,O,O,S,2,6,3,0,26.1,B,630,32.94115,15,UOIT MAIN CAMPUS - DURHAM COLLEGE
4140,1190,1179,9231,23,M,N,S,P,P,1,3,3,1,13.22,P,920,5.830086,23,UOIT MAIN CAMPUS - DURHAM COLLEGE
4141,3640,290,S397,20,M,N,S,P,S,3,4,4,0,32.0,B,900,13.46747,36,HUMBER COLLEGE - LAKESHORE CAMPUS
4144,368,290,S397,21,F,N,O,O,S,2,6,7,0,28.17,B,700,15.992510000000001,9,HUMBER COLLEGE - LAKESHORE CAMPUS
4145,1072,1179,9231,32,M,Y,O,O,S,3,3,5,0,51.17,B,715,14.66614,21,UOIT MAIN CAMPUS - DURHAM COLLEGE
4146,3648,290,S397,22,F,Y,S,P,S,3,7,3,0,13.67,D,1000,7.917035,36,HUMBER COLLEGE - LAKESHORE CAMPUS
4148,3654,290,S397,22,M,Y,M,P,S,3,7,4,0,26.26,D,800,7.152023,36,HUMBER COLLEGE - LAKESHORE CAMPUS
4149,1097,1179,9231,30,M,Y,G,P,P,2,7,3,0,11.37,9,-1,19.81211,21,UOIT MAIN CAMPUS - DURHAM COLLEGE
4150,1240,1179,9231,22,F,Y,S,P,S,2,4,3,2,42.51,B,600,12.31411,24,UOIT MAIN CAMPUS - DURHAM COLLEGE
4151,1125,1179,9231,22,F,Y,O,O,S,4,6,3,0,26.32,D,840,5.098755000000001,22,UOIT MAIN CAMPUS - DURHAM COLLEGE
4152,1039,1179,9231,22,M,Y,O,O,S,2,7,4,0,64.14,D,1200,23.3987,20,UOIT MAIN CAMPUS - DURHAM COLLEGE
4153,177,290,S397,33,F,Y,O,O,S,0,2,2,0,20.76,B,800,16.17108,3,HUMBER COLLEGE - LAKESHORE CAMPUS
4154,1182,1179,C507,19,M,Y,S,P,S,3,6,3,2,26.99,B,730,4.2057920000000015,23,DURHAM COLLEGE - OSHAWA
4155,1185,1179,9231,18,M,Y,S,P,S,3,6,4,0,18.52,B,900,5.268618,23,UOIT MAIN CAMPUS - DURHAM COLLEGE
4156,1117,1179,9231,35,F,Y,O,O,S,2,5,2,1,8.53,D,805,6.003203,22,UOIT MAIN CAMPUS - DURHAM COLLEGE
4157,1182,1179,9231,21,F,N,S,P,S,2,4,6,0,45.75,B,745,4.2057920000000015,23,UOIT MAIN CAMPUS - DURHAM COLLEGE
4158,71,69,9103,27,F,Y,O,O,S,0,4,2,0,29.28,W,910,1.132351,1,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4159,4186,69,9103,41,M,Y,P,F,P,1,4,1,0,5.63,B,1700,42.33613,39,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4160,99,69,9103,33,M,Y,O,O,S,0,1,2,0,30.2,C,710,4.045104,2,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4161,415,391,E0471,26,F,Y,P,J,S,0,2,1,0,25.55,B,930,5.860906999999999,10,OSGOODE HALL LAW SCHOOL - YORK UNIVERSITY MAIN CAMPUS
4162,3610,391,9092,20,F,Y,S,P,S,2,7,5,0,11.49,9,-1,25.53291,36,YORK UNIVERSITY - YORK (KEELE & STEELES)
4163,3380,391,9092,23,F,Y,O,O,S,3,6,7,0,29.69,B,800,25.93112,35,YORK UNIVERSITY - YORK (KEELE & STEELES)
4164,254,391,9092,45,F,Y,O,O,S,1,7,2,0,5.27,D,1045,25.54136,6,YORK UNIVERSITY - YORK (KEELE & STEELES)
4165,3189,391,9092,21,M,Y,M,P,S,4,3,5,0,38.09,D,1300,39.545159999999996,34,YORK UNIVERSITY - YORK (KEELE & STEELES)
4166,3419,391,9092,18,M,Y,O,O,S,2,4,4,0,17.55,D,800,23.405900000000006,35,YORK UNIVERSITY - YORK (KEELE & STEELES)
4167,468,391,C405,27,M,Y,O,O,S,1,2,4,0,20.16,B,730,11.92465,12,SENECA COLLEGE - YORK UNIVERSITY CAMPUS
4168,398,391,9092,21,F,9,O,O,S,2,5,6,0,35.09,9,-1,1.7730339999999998,10,YORK UNIVERSITY - YORK (KEELE & STEELES)
4169,295,391,C405,17,M,N,O,O,S,3,5,3,2,7.88,B,1400,24.93236,7,SENECA COLLEGE - YORK UNIVERSITY CAMPUS
4171,122,391,9092,42,F,Y,O,O,P,2,6,2,3,13.61,D,730,16.255969999999998,2,YORK UNIVERSITY - YORK (KEELE & STEELES)
4172,2110,391,9092,23,M,Y,O,O,S,2,7,5,0,23.77,P,1000,8.369716,33,YORK UNIVERSITY - YORK (KEELE & STEELES)
4174,3517,391,S118,22,M,Y,O,O,P,2,4,3,0,31.21,9,-1,16.540490000000002,35,SCHULICH SCHOOL OF BUSINESS
4175,3380,391,9092,21,F,N,S,P,S,1,3,2,1,34.89,9,-1,25.93112,35,YORK UNIVERSITY - YORK (KEELE & STEELES)
4178,3432,391,9092,19,M,Y,O,O,S,2,5,3,2,20.86,B,730,34.79363,35,YORK UNIVERSITY - YORK (KEELE & STEELES)
4179,4120,391,9092,21,F,Y,O,O,S,2,3,5,0,14.79,J,750,43.8947,38,YORK UNIVERSITY - YORK (KEELE & STEELES)
4181,405,391,9092,18,M,Y,G,P,S,2,7,3,2,17.38,9,-1,8.06643,10,YORK UNIVERSITY - YORK (KEELE & STEELES)
4182,483,391,9092,37,F,Y,P,F,P,1,4,2,0,17.33,9,-1,14.90143,12,YORK UNIVERSITY - YORK (KEELE & STEELES)
4183,137,391,9092,22,M,Y,O,O,S,0,2,4,0,37.73,B,700,8.220953999999999,3,YORK UNIVERSITY - YORK (KEELE & STEELES)
4184,559,391,9092,48,M,Y,O,O,S,1,1,2,2,51.72,B,710,30.669009999999997,15,YORK UNIVERSITY - YORK (KEELE & STEELES)
4185,319,391,9092,30,M,N,O,O,P,1,4,3,0,18.96,B,810,16.011470000000003,8,YORK UNIVERSITY - YORK (KEELE & STEELES)
4186,3369,391,9092,20,M,Y,S,P,S,3,5,6,1,50.2,9,-1,29.308580000000006,35,YORK UNIVERSITY - YORK (KEELE & STEELES)
4187,397,391,9092,30,M,Y,P,F,P,1,3,2,0,40.76,9,-1,1.271585,10,YORK UNIVERSITY - YORK (KEELE & STEELES)
4188,3628,391,9092,22,M,Y,O,O,S,2,4,5,0,65.75,9,-1,16.34328,36,YORK UNIVERSITY - YORK (KEELE & STEELES)
4189,154,391,9092,19,F,N,O,O,S,4,6,8,1,11.72,B,1330,7.010923000000001,3,YORK UNIVERSITY - YORK (KEELE & STEELES)
4190,420,391,9092,31,M,N,O,O,S,1,2,2,0,16.15,B,1135,4.780963,10,YORK UNIVERSITY - YORK (KEELE & STEELES)
4191,3864,391,9092,31,M,Y,O,O,S,1,3,2,0,14.55,B,1030,28.298240000000003,36,YORK UNIVERSITY - YORK (KEELE & STEELES)
4192,3689,391,9092,25,M,Y,O,O,S,1,4,2,0,10.89,9,-1,27.93177,36,YORK UNIVERSITY - YORK (KEELE & STEELES)
4193,21,391,9092,30,M,N,S,P,S,0,7,2,0,38.33,B,1330,17.796,1,YORK UNIVERSITY - YORK (KEELE & STEELES)
4194,3811,391,9092,29,F,Y,S,P,S,3,7,3,0,26.14,9,-1,36.27329,36,YORK UNIVERSITY - YORK (KEELE & STEELES)
4195,3664,391,9092,52,M,Y,P,F,P,1,4,2,0,20.67,9,-1,31.84,36,YORK UNIVERSITY - YORK (KEELE & STEELES)
4198,3370,391,9092,19,M,Y,O,O,S,2,3,3,1,9.38,B,730,27.742559999999997,35,YORK UNIVERSITY - YORK (KEELE & STEELES)
4199,403,391,C405,23,M,Y,S,P,S,3,3,5,0,29.18,D,1400,6.219446999999999,10,SENECA COLLEGE - YORK UNIVERSITY CAMPUS
4200,2054,391,9092,37,F,Y,O,O,S,2,6,2,2,17.63,D,550,11.53097,33,YORK UNIVERSITY - YORK (KEELE & STEELES)
4202,389,391,9092,20,F,Y,S,P,S,2,5,4,1,41.75,B,1600,3.4273740000000004,10,YORK UNIVERSITY - YORK (KEELE & STEELES)
4205,2257,391,9092,22,F,9,O,O,S,1,4,3,0,11.71,B,930,16.81264,29,YORK UNIVERSITY - YORK (KEELE & STEELES)
4206,3470,391,9092,37,M,Y,S,F,P,2,7,1,0,51.24,9,-1,22.00252,35,YORK UNIVERSITY - YORK (KEELE & STEELES)
4207,398,391,9092,22,M,Y,O,O,S,1,7,1,0,67.74,9,-1,1.7730339999999998,10,YORK UNIVERSITY - YORK (KEELE & STEELES)
4209,3194,391,9092,48,M,Y,P,F,P,2,7,4,1,18.34,9,-1,27.734150000000003,34,YORK UNIVERSITY - YORK (KEELE & STEELES)
4210,198,391,9092,23,M,Y,S,P,P,2,7,4,1,48.94,9,-1,12.04215,4,YORK UNIVERSITY - YORK (KEELE & STEELES)
4211,223,391,9092,19,M,Y,O,O,S,0,7,3,0,24.11,B,745,19.8598,5,YORK UNIVERSITY - YORK (KEELE & STEELES)
4212,3484,391,9092,27,M,9,O,O,S,0,5,3,1,16.63,9,-1,27.817629999999998,35,YORK UNIVERSITY - YORK (KEELE & STEELES)
4213,134,391,9092,21,F,Y,S,P,S,2,4,3,2,17.56,9,-1,9.5369,3,YORK UNIVERSITY - YORK (KEELE & STEELES)
4215,42,391,9092,22,M,N,S,P,S,0,2,2,0,33.82,9,-1,16.96979,1,YORK UNIVERSITY - YORK (KEELE & STEELES)
4216,410,391,9092,18,F,Y,S,P,S,1,6,3,1,14.08,B,1400,6.362133000000001,10,YORK UNIVERSITY - YORK (KEELE & STEELES)
4217,478,391,9092,32,M,Y,O,O,P,1,2,2,0,44.85,9,-1,12.19897,12,YORK UNIVERSITY - YORK (KEELE & STEELES)
4218,2216,391,9092,20,M,Y,O,O,S,2,6,4,0,37.63,D,1000,16.21866,29,YORK UNIVERSITY - YORK (KEELE & STEELES)
4219,457,391,9092,22,M,Y,O,O,S,2,7,5,0,31.18,D,1305,9.249939999999999,11,YORK UNIVERSITY - YORK (KEELE & STEELES)
4220,2013,391,9092,19,M,Y,S,P,S,3,7,4,2,29.9,B,1030,20.07709,33,YORK UNIVERSITY - YORK (KEELE & STEELES)
4221,3467,391,9092,32,M,Y,P,P,S,2,4,3,0,18.29,B,800,28.42025,35,YORK UNIVERSITY - YORK (KEELE & STEELES)
4222,3380,391,9092,22,M,Y,S,P,S,1,2,5,0,31.47,B,700,25.93112,35,YORK UNIVERSITY - YORK (KEELE & STEELES)
4223,2212,391,S118,52,F,Y,P,J,P,2,6,3,1,28.65,9,-1,14.15729,29,SCHULICH SCHOOL OF BUSINESS
4224,3337,391,E0471,23,F,Y,O,O,S,2,4,3,0,36.11,B,630,16.97054,35,OSGOODE HALL LAW SCHOOL - YORK UNIVERSITY MAIN CAMPUS
4225,463,391,9092,23,M,9,O,O,S,0,7,4,0,51.89,B,1030,11.27774,11,YORK UNIVERSITY - YORK (KEELE & STEELES)
4226,82,391,9092,23,F,Y,P,F,S,0,4,2,0,49.95,9,-1,19.46419,1,YORK UNIVERSITY - YORK (KEELE & STEELES)
4227,257,69,9103,59,M,Y,P,H,P,2,6,2,1,16.39,C,1400,7.7895249999999985,6,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4228,65,69,9103,26,M,Y,P,F,P,1,4,5,0,34.99,D,1730,2.628072,1,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4229,3337,371,9261,30,F,Y,P,F,P,2,4,2,1,18.94,9,-1,9.106767999999999,35,HUMBER COLLEGE - NORTH CAMPUS
4231,16,69,9103,22,F,Y,O,O,S,0,7,1,0,53.08,B,1400,4.123033,1,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4232,3665,69,9103,19,F,Y,O,O,S,2,4,3,1,7.04,J,815,23.664810000000006,36,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4233,37,69,9103,25,M,Y,P,P,S,0,3,2,0,15.44,9,-1,2.4224270000000003,1,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4234,463,69,9103,48,F,Y,O,O,S,2,6,3,2,10.62,9,-1,14.157820000000001,11,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4235,438,69,9103,19,M,Y,O,O,S,1,7,3,0,27.45,B,1200,14.255540000000002,11,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4236,173,69,9103,30,M,N,S,P,S,0,4,2,0,16.52,B,1200,4.036773999999999,3,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4237,5086,69,9103,22,F,Y,G,P,S,3,3,3,0,37.21,J,620,68.59566000000001,45,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4238,3337,371,9261,32,F,Y,G,F,P,1,4,4,2,19.44,9,-1,9.106767999999999,35,HUMBER COLLEGE - NORTH CAMPUS
4239,4069,69,9103,21,M,Y,O,O,S,3,4,2,0,35.51,9,-1,48.0457,40,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4240,2127,371,9261,18,M,Y,S,P,S,2,6,3,1,20.39,9,-1,18.72617,33,HUMBER COLLEGE - NORTH CAMPUS
4241,382,69,9103,19,F,N,O,O,S,3,6,4,1,24.98,B,830,21.5446,9,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4242,2025,371,9261,24,M,Y,P,F,P,3,7,3,0,19.98,9,-1,11.805040000000002,33,HUMBER COLLEGE - NORTH CAMPUS
4243,2080,69,9103,19,F,N,S,P,S,2,5,3,1,22.16,B,800,25.91947,33,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4244,236,69,9103,18,M,Y,O,O,S,2,2,3,0,10.9,D,915,13.55562,5,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4245,407,69,9103,22,M,Y,O,O,S,2,7,3,0,59.75,9,-1,14.53321,10,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4246,44,69,9103,24,M,Y,P,P,S,0,1,2,0,121.43,9,-1,2.11164,1,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4247,24,69,9103,27,F,Y,P,P,S,1,1,1,0,48.27,9,-1,3.231132,1,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4248,335,371,9261,33,F,Y,G,H,P,1,4,2,1,17.94,B,630,10.3986,8,HUMBER COLLEGE - NORTH CAMPUS
4249,2080,371,384,22,M,Y,G,P,S,2,5,2,0,20.21,9,-1,16.28456,33,UNIVERSITY OF GUELPH AT HUMBER
4251,371,371,9261,22,F,Y,S,P,S,1,2,2,0,93.63,9,-1,0.0,9,HUMBER COLLEGE - NORTH CAMPUS
4253,71,69,9103,25,F,Y,P,P,S,1,3,2,0,29.28,9,-1,1.132351,1,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4254,48,69,9103,19,F,Y,O,O,S,0,1,3,0,32.01,W,1045,1.199355,1,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4255,70,69,9103,21,M,Y,G,F,P,0,2,3,0,4.08,9,-1,0.7401139999999999,1,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4256,372,371,9261,19,M,N,O,O,S,1,3,5,0,26.41,W,1000,0.869561,9,HUMBER COLLEGE - NORTH CAMPUS
4257,3628,371,9261,20,F,Y,O,O,S,1,4,6,0,18.21,B,700,5.199281,36,HUMBER COLLEGE - NORTH CAMPUS
4258,51,69,9103,21,F,N,G,P,S,0,4,3,0,39.14,W,1400,1.2687540000000002,1,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4259,79,69,9103,28,F,Y,O,O,S,0,5,2,0,17.66,B,915,3.752367,1,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4260,65,69,9103,21,M,Y,O,O,S,0,1,1,0,41.73,9,-1,2.628072,1,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4261,50,69,9103,23,M,Y,S,J,S,0,1,1,0,46.42,W,1330,1.5870020000000002,1,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4263,23,69,9103,39,M,Y,P,P,S,0,3,1,0,63.36,9,-1,2.614008,1,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4264,97,69,9103,22,F,N,S,P,P,2,6,3,0,7.41,C,1000,2.707659,2,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4265,42,69,9103,24,M,9,O,O,S,1,7,1,0,42.48,W,940,1.572915,1,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4266,2244,371,9261,21,M,Y,O,O,S,1,2,2,0,26.54,B,1210,24.80409,29,HUMBER COLLEGE - NORTH CAMPUS
4267,5231,3851,9309,20,F,Y,O,O,S,1,2,2,0,45.84,D,800,36.9768,41,SHERIDAN COLLEGE - MISSISSAUGA
