,HomeZone,SchoolZone,SchoolCode,Age,Sex,License,Occupation,EmploymentStatus,StudentStatus,Vehicles,IncomeClass,Adults,Children,ExpansionFactor,ModeTakenToSchool,TripToSchoolTime,Dist,PD,SchoolName
4268,194,371,9261,20,M,N,O,O,S,3,6,4,0,52.63,B,900,16.76387,4,HUMBER COLLEGE - NORTH CAMPUS
4269,402,371,9261,21,M,Y,P,P,P,4,5,4,1,19.84,9,-1,7.380840999999998,10,HUMBER COLLEGE - NORTH CAMPUS
4270,71,69,9103,20,F,Y,O,O,S,1,1,2,0,29.96,W,940,1.132351,1,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4271,3691,3851,9309,27,F,Y,S,F,P,5,4,3,0,26.69,9,-1,6.077829,36,SHERIDAN COLLEGE - MISSISSAUGA
4272,258,69,9103,38,M,N,O,O,S,1,2,2,0,10.34,B,805,7.8814790000000015,6,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4273,3646,371,9261,22,F,Y,O,O,S,4,6,4,0,23.38,D,800,24.40038,36,HUMBER COLLEGE - NORTH CAMPUS
4274,4045,371,9261,20,M,Y,S,P,S,3,6,3,0,13.85,D,1020,42.11495,39,HUMBER COLLEGE - NORTH CAMPUS
4275,398,69,9103,24,M,Y,O,O,S,1,7,4,0,20.2,B,1000,16.55089,10,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4276,2144,371,9261,29,F,Y,G,F,P,3,7,3,1,49.04,9,-1,19.626810000000006,33,HUMBER COLLEGE - NORTH CAMPUS
4277,34,69,9103,33,M,Y,S,P,P,1,2,3,0,19.42,9,-1,3.300822,1,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4278,320,69,9103,19,F,Y,O,O,S,2,4,3,0,10.95,B,830,12.64542,8,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4279,2022,371,9261,19,M,Y,P,P,S,2,5,4,1,31.39,U,915,11.96176,33,HUMBER COLLEGE - NORTH CAMPUS
4280,297,69,9103,26,M,Y,G,F,P,2,5,4,0,38.39,B,900,16.489189999999994,7,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4281,545,69,9103,22,F,Y,O,O,S,1,3,3,1,11.27,B,800,15.35776,14,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4282,2235,1199,E0297,23,F,Y,O,O,S,4,4,4,1,49.18,9,-1,57.261280000000006,29,UOIT - DOWNTOWN CAMPUS
4283,3668,371,9261,25,F,Y,S,F,P,1,3,4,0,17.3,9,-1,18.63411,36,HUMBER COLLEGE - NORTH CAMPUS
4284,3436,371,9261,22,F,Y,S,P,S,1,4,4,1,45.99,B,630,22.55438,35,HUMBER COLLEGE - NORTH CAMPUS
4285,371,371,9261,20,F,Y,O,O,S,2,7,5,0,32.27,9,-1,0.0,9,HUMBER COLLEGE - NORTH CAMPUS
4286,4124,371,384,21,M,Y,O,O,S,3,4,4,0,18.35,D,1300,34.715720000000005,38,UNIVERSITY OF GUELPH AT HUMBER
4288,173,371,384,19,M,Y,O,O,S,1,4,3,1,38.01,9,-1,18.24229,3,UNIVERSITY OF GUELPH AT HUMBER
4289,3678,371,9261,23,M,Y,O,O,S,1,1,3,1,23.35,P,900,21.245240000000006,36,HUMBER COLLEGE - NORTH CAMPUS
4290,309,69,9103,22,M,Y,O,O,S,2,6,4,0,25.81,B,845,15.99942,8,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4291,43,69,9103,21,F,Y,O,O,S,1,1,3,0,26.92,W,1000,1.832024,1,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4292,307,371,9261,22,M,N,O,O,S,1,4,3,0,9.62,9,-1,14.090160000000001,8,HUMBER COLLEGE - NORTH CAMPUS
4294,2222,391,9092,19,M,Y,O,O,S,3,6,3,0,29.72,D,730,20.86027,29,YORK UNIVERSITY - YORK (KEELE & STEELES)
4295,2442,391,9092,21,M,N,O,O,S,1,3,3,0,32.87,9,-1,27.657359999999997,31,YORK UNIVERSITY - YORK (KEELE & STEELES)
4297,1032,391,E0471,34,M,9,O,O,S,4,7,4,0,13.66,9,-1,39.178230000000006,20,OSGOODE HALL LAW SCHOOL - YORK UNIVERSITY MAIN CAMPUS
4299,1130,391,E0471,20,F,Y,O,O,S,2,4,3,1,24.92,9,-1,48.70924,22,OSGOODE HALL LAW SCHOOL - YORK UNIVERSITY MAIN CAMPUS
4301,1069,391,E0471,26,M,Y,O,O,S,5,6,4,1,44.83,D,1030,41.749990000000004,21,OSGOODE HALL LAW SCHOOL - YORK UNIVERSITY MAIN CAMPUS
4302,2411,391,9092,29,M,Y,O,O,S,1,7,2,0,6.43,D,855,20.99938,31,YORK UNIVERSITY - YORK (KEELE & STEELES)
4304,2108,391,9092,23,F,Y,S,F,P,4,6,5,0,14.7,9,-1,9.534495,33,YORK UNIVERSITY - YORK (KEELE & STEELES)
4305,2442,391,9092,29,M,Y,S,P,P,2,5,3,0,26.18,9,-1,27.657359999999997,31,YORK UNIVERSITY - YORK (KEELE & STEELES)
4306,400,391,9092,23,F,N,S,P,S,0,1,3,0,29.11,B,805,3.971725,10,YORK UNIVERSITY - YORK (KEELE & STEELES)
4307,3653,391,9092,32,F,9,O,O,P,0,1,2,1,61.82,B,1010,28.097820000000002,36,YORK UNIVERSITY - YORK (KEELE & STEELES)
4308,2426,391,9092,20,M,Y,O,O,S,3,4,4,0,29.2,9,-1,19.50252,31,YORK UNIVERSITY - YORK (KEELE & STEELES)
4309,2257,391,E0471,19,M,Y,P,P,S,3,4,4,1,31.82,B,1000,16.81264,29,OSGOODE HALL LAW SCHOOL - YORK UNIVERSITY MAIN CAMPUS
4310,252,391,9092,20,F,N,O,O,S,1,5,3,1,18.68,B,900,24.83859,6,YORK UNIVERSITY - YORK (KEELE & STEELES)
4311,2670,391,9092,25,F,Y,O,O,S,3,4,3,1,21.8,D,645,18.61867,32,YORK UNIVERSITY - YORK (KEELE & STEELES)
4312,3636,391,9092,20,F,Y,O,O,S,1,4,4,0,43.2,B,955,35.84905000000001,36,YORK UNIVERSITY - YORK (KEELE & STEELES)
4313,209,391,9092,42,F,Y,P,F,P,1,5,2,1,50.92,9,-1,14.514710000000001,4,YORK UNIVERSITY - YORK (KEELE & STEELES)
4314,3324,391,9092,20,M,Y,S,P,S,2,7,5,0,170.24,B,830,26.91545,35,YORK UNIVERSITY - YORK (KEELE & STEELES)
4315,1173,391,9092,30,M,Y,G,F,P,2,4,4,0,16.54,9,-1,55.88817,23,YORK UNIVERSITY - YORK (KEELE & STEELES)
4316,2014,391,E0471,18,M,Y,G,P,S,2,5,4,1,41.52,P,815,17.87839,33,OSGOODE HALL LAW SCHOOL - YORK UNIVERSITY MAIN CAMPUS
4317,490,391,9092,30,M,Y,G,F,P,2,7,3,0,17.71,B,1700,22.623330000000006,13,YORK UNIVERSITY - YORK (KEELE & STEELES)
4319,592,391,E0471,23,F,Y,S,P,S,1,2,2,0,26.57,B,1000,16.730790000000002,16,OSGOODE HALL LAW SCHOOL - YORK UNIVERSITY MAIN CAMPUS
4321,3867,391,9092,19,M,Y,O,O,S,1,3,3,0,49.1,B,900,28.16524,36,YORK UNIVERSITY - YORK (KEELE & STEELES)
4322,288,391,9092,26,F,Y,P,P,S,1,4,2,0,34.21,B,915,20.30426,7,YORK UNIVERSITY - YORK (KEELE & STEELES)
4323,162,391,9092,34,M,Y,P,F,P,1,5,2,1,13.75,9,-1,11.13671,3,YORK UNIVERSITY - YORK (KEELE & STEELES)
4324,592,391,9092,24,M,Y,O,O,S,1,2,4,0,22.05,B,900,16.730790000000002,16,YORK UNIVERSITY - YORK (KEELE & STEELES)
4327,2122,391,9092,21,F,Y,O,O,S,3,7,5,0,60.07,B,900,4.798428,33,YORK UNIVERSITY - YORK (KEELE & STEELES)
4328,3371,391,9092,20,F,Y,O,O,S,0,7,4,2,57.88,B,1205,26.476940000000003,35,YORK UNIVERSITY - YORK (KEELE & STEELES)
4329,450,391,9092,32,F,Y,P,P,S,0,2,1,0,28.78,B,1305,8.099936,11,YORK UNIVERSITY - YORK (KEELE & STEELES)
4330,183,391,9092,17,M,Y,O,O,S,0,3,1,2,72.94,9,-1,9.967075,4,YORK UNIVERSITY - YORK (KEELE & STEELES)
4331,415,391,9092,30,M,Y,O,O,S,1,3,2,0,42.85,D,830,5.860906999999999,10,YORK UNIVERSITY - YORK (KEELE & STEELES)
4332,2127,391,9092,21,M,Y,S,P,S,2,6,3,1,35.06,9,-1,7.059514,33,YORK UNIVERSITY - YORK (KEELE & STEELES)
4333,570,391,9092,77,F,Y,O,O,P,0,3,1,0,17.69,9,-1,32.835260000000005,15,YORK UNIVERSITY - YORK (KEELE & STEELES)
4334,177,391,9092,26,F,Y,O,O,S,0,2,2,0,28.83,9,-1,10.90749,3,YORK UNIVERSITY - YORK (KEELE & STEELES)
4335,2618,391,9092,43,M,Y,O,O,S,1,2,2,1,17.47,D,820,33.63003,27,YORK UNIVERSITY - YORK (KEELE & STEELES)
4336,460,391,9092,26,M,Y,O,O,S,1,1,3,0,9.44,B,1200,9.884818,11,YORK UNIVERSITY - YORK (KEELE & STEELES)
4337,2036,391,9092,22,F,Y,G,P,S,2,5,4,0,19.92,9,-1,9.526471,33,YORK UNIVERSITY - YORK (KEELE & STEELES)
4338,2248,391,9092,18,M,Y,S,P,S,1,4,2,1,25.52,B,1000,11.94761,29,YORK UNIVERSITY - YORK (KEELE & STEELES)
4339,184,391,9092,23,M,N,S,P,S,0,2,3,0,25.38,B,1035,11.64141,4,YORK UNIVERSITY - YORK (KEELE & STEELES)
4340,4045,391,9092,23,M,Y,S,P,S,2,2,3,1,22.76,B,1100,49.87143,39,YORK UNIVERSITY - YORK (KEELE & STEELES)
4341,3863,391,9092,19,F,Y,S,P,S,1,7,3,1,14.11,9,-1,28.003,36,YORK UNIVERSITY - YORK (KEELE & STEELES)
4342,123,391,9092,67,M,Y,O,O,P,2,3,2,0,13.87,9,-1,14.88381,2,YORK UNIVERSITY - YORK (KEELE & STEELES)
4343,3417,391,9092,19,M,Y,M,P,S,2,4,4,0,19.56,B,1210,26.449959999999997,35,YORK UNIVERSITY - YORK (KEELE & STEELES)
4344,2055,391,9092,22,M,Y,S,P,S,4,4,3,2,20.05,9,-1,11.45399,33,YORK UNIVERSITY - YORK (KEELE & STEELES)
4345,2449,391,9092,18,F,Y,O,O,S,1,7,3,4,42.55,B,900,21.99648,31,YORK UNIVERSITY - YORK (KEELE & STEELES)
4346,2108,391,9092,18,F,N,O,O,S,1,4,3,0,19.46,B,700,9.534495,33,YORK UNIVERSITY - YORK (KEELE & STEELES)
4347,389,391,9092,28,M,Y,O,O,S,1,2,3,0,48.14,9,-1,3.4273740000000004,10,YORK UNIVERSITY - YORK (KEELE & STEELES)
4348,162,391,9092,23,M,Y,O,O,S,2,2,4,0,56.52,9,-1,11.13671,3,YORK UNIVERSITY - YORK (KEELE & STEELES)
4349,2202,391,9092,18,M,N,O,O,S,3,3,4,0,33.58,9,-1,9.963359,29,YORK UNIVERSITY - YORK (KEELE & STEELES)
4350,2206,391,E0471,18,F,N,S,P,S,2,6,5,0,20.61,B,1100,11.36629,29,OSGOODE HALL LAW SCHOOL - YORK UNIVERSITY MAIN CAMPUS
4351,3372,391,9092,20,M,Y,O,O,S,2,4,3,1,26.09,B,700,25.134120000000003,35,YORK UNIVERSITY - YORK (KEELE & STEELES)
4352,2013,391,9092,22,F,Y,O,O,S,3,7,4,2,29.9,B,715,20.07709,33,YORK UNIVERSITY - YORK (KEELE & STEELES)
4353,2353,391,9092,21,F,Y,S,P,S,3,2,5,0,106.7,9,-1,8.428251,31,YORK UNIVERSITY - YORK (KEELE & STEELES)
4354,150,391,9092,22,F,Y,P,P,S,2,4,3,1,32.11,9,-1,10.43147,3,YORK UNIVERSITY - YORK (KEELE & STEELES)
4357,401,391,9092,24,F,Y,S,P,S,3,7,6,1,34.74,B,1330,4.081137,10,YORK UNIVERSITY - YORK (KEELE & STEELES)
4358,3484,391,9092,28,M,Y,P,F,P,2,6,3,0,9.58,9,-1,27.817629999999998,35,YORK UNIVERSITY - YORK (KEELE & STEELES)
4359,62,69,9103,18,F,N,O,O,S,1,6,4,0,25.89,B,900,3.402733,1,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4360,2555,69,9103,46,M,Y,P,F,S,2,2,2,1,19.39,9,-1,39.96448,28,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4361,71,69,9103,21,F,Y,O,O,S,0,4,2,0,13.36,W,920,1.132351,1,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4363,452,69,9103,22,F,N,O,O,S,1,3,4,0,34.74,B,1030,12.26375,11,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4364,48,69,9103,18,F,Y,S,P,S,0,1,3,0,32.01,W,845,1.199355,1,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4365,452,69,9103,29,M,9,9,F,S,1,1,3,0,33.97,B,800,12.26375,11,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
4367,3864,69,9103,25,F,Y,O,O,S,2,6,2,1,34.3,D,700,22.704179999999997,36,UNIVERSITY OF TORONTO - ST GEORGE CAMPUS
