Code,Name
1298,FAYWOOD ARTS BASED CURRICULUM (ABC) SCHOOL  --
1299,FENSIDE PUBLIC SCHOOL  --
13,ST THOMAS AQUINAS SECONDARY SCHOOL  --
1300,FINCH PUBLIC SCHOOL  --
1301,FIRGROVE PUBLIC SCHOOL  --
1302,FISHERVILLE ELEMENTARY SCHOOL  --
1303,FISHERVILLE SECONDARY SCHOOL  --
1304,SIR SANDFORD FLEMING ACADEMY  --
1305,FOREST MANOR PUBLIC SCHOOL  --
1306,GATEWAY PUBLIC SCHOOL  --
1307,GEORGE ANDERSON PUBLIC SCHOOL  --
1308,GEORGE S HENRY ACADEMY  --
1309,GEORGES VANIER SECONDARY SCHOOL  --
1310,GLEN PARK PUBLIC SCHOOL
1311,GOSFORD PUBLIC SCHOOL  --
1312,GRACEDALE PUBLIC SCHOOL  --
1313,GRACEFIELD PUBLIC SCHOOL  --
1314,GREENLAND PUBLIC SCHOOL  --
1315,GRENOBLE PUBLIC SCHOOL  --
1316,GULFSTREAM PUBLIC SCHOOL  --
1317,HARRISON PUBLIC SCHOOL  --
1318,HIGHLAND JUNIOR HIGH SCHOOL  --
1319,HIGHLAND SECONDARY SCHOOL  --
132,BEECHVALE PAROCHIAL SCHOOL  --
1320,HIGHVIEW PUBLIC SCHOOL  --
1321,HILLMOUNT PUBLIC SCHOOL  --
1322,HOLLYWOOD PUBLIC SCHOOL  --
1323,HUMBER SUMMIT MIDDLE SCHOOL  --
1325,INTERNATIONAL INSTITUTE OF TRAVEL - NORTH YORK  --
1326,JAMES CARDINAL MCGUIGAN CATHOLIC SCHOOL  --
1327,JOYCE PUBLIC SCHOOL  --
1328,KINGSLAKE PUBLIC SCHOOL  --
1329,LAWRENCE HEIGHTS MIDDLE SCHOOL  --
133,EAST DORKING PAROCHIAL SCHOOL  --
1330,LEDBURY PARK ELEMENTARY MIDDLE SCHOOL  --
1331,LESCON PUBLIC SCHOOL  --
1332,LESTER B PEARSON ELEMENTARY SCHOOL  --
1333,LILLIAN PUBLIC SCHOOL  --
1334,MAPLE LEAF PUBLIC SCHOOL  --
1335,MCKEE PUBLIC SCHOOL  --
1336,MCNICOLL PUBLIC SCHOOL - CHILD AND FAMILY CENTRE - ADVENTURE PLACE
1337,CHILDRENS AID SOCIETY - NORTH YORK  --
1338,MILNE VALLEY MIDDLE SCHOOL  --
1339,MUIRHEAD PUBLIC SCHOOL  --
134,GOLDSTONE PAROCHIAL SCHOOL
1340,MUKI BAUM CENTRE  --
1341,NELSON A BOYLEN COLLEGIATE INSTITUTE  --
1342,NEWTONBROOK SECONDARY SCHOOL  --
1343,NORMAN INGRAM PUBLIC SCHOOL  --
1344,NORTHVIEW HEIGHTS SECONDARY SCHOOL  --
1345,OAKDALE PARK MIDDLE SCHOOL  --
1346,OCONNOR PUBLIC SCHOOL  --
1347,OWEN PUBLIC SCHOOL  --
1348,PARK LANE PUBLIC SCHOOL
1349,PELMO PARK PUBLIC SCHOOL  --
135,NEW JERUSALEM PAROCHIAL SCHOOL  --
1350,PIERRE LAPORTE MIDDLE SCHOOL  --
1351,PINEWAY PUBLIC SCHOOL  --
1352,PLEASANT PUBLIC SCHOOL  --
1353,PLEASANT VIEW JUNIOR HIGH SCHOOL  --
1355,QGI INSTITUTE - NORTH YORK  --
1356,R J LANG ELEMENTARY MIDDLE SCHOOL  --
1357,RANCHDALE PUBLIC SCHOOL  --
1359,RENE GORDON ELEMENTARY SCHOOL  --
136,FLORADALE PAROCHIAL SCHOOL  --
1360,RIPPLETON PUBLIC SCHOOL  --
1361,ROCKFORD PUBLIC SCHOOL  --
1362,ROYWOOD PUBLIC SCHOOL  --
1363,SENECA HILL PUBLIC SCHOOL  --
1364,SHAUGHNESSY PUBLIC SCHOOL  --
1365,SHEPPARD PUBLIC SCHOOL  --
1366,SHOREHAM PUBLIC SCHOOL  --
1368,SLOANE PUBLIC SCHOOL  --
1369,SOFTTRAIN INSTITUTE - NORTH YORK  --
137,YATTON MENNONITE PAROCHIAL SCHOOL  --
1370,ST ANDREW'S JUNIOR HIGH SCHOOL  --
1371,ST ANDREWS SECONDARY SCHOOL  --
1372,ST BASIL THE GREAT COLLEGE  --
1373,ST EDWARD SEPARATE SCHOOL  --
1374,STANLEY PUBLIC SCHOOL  --
1375,STEELESVIEW PUBLIC SCHOOL  --
1376,STILECROFT PUBLIC SCHOOL  --
1377,SUMMIT HEIGHTS PUBLIC SCHOOL  --
1378,SUNNYBROOK HEALTH SCIENCE CENTRE  --
138,MAPLE GROVE PAROCHIAL SCHOOL  --
1380,GRIFFIN CENTRE (TYRO) - SILVERVIEW  --
1381,GRIFFIN CENTRE (HYTS)  --
1383,THREE VALLEYS PUBLIC SCHOOL  --
1385,TORONTO SCHOOL OF BUSINESS - NORTH YORK (YONGE & F  --
1386,TRIOS COLLEGE - NORTH YORK  --
1387,TUMPANE PUBLIC SCHOOL  --
1388,VICTORIA PARK COLLEGIATE INSTITUTE  --
1389,VICTORIA VILLAGE PUBLIC SCHOOL  --
139,CLEARVIEW PAROCHIAL SCHOOL  --
1391,WESTVIEW CENTENNIAL SECONDARY SCHOOL  --
1392,WILLOWDALE MIDDLE SCHOOL  --
1393,WINDFIELDS ELEMENTARY SCHOOL  --
1394,WINDFIELDS SECONDARY SCHOOL  --
1395,WOODBINE JUNIOR HIGH SCHOOL  --
1397,YORK MILLS COLLEGIATE INSTITUTE  --
1398,YORKVIEW PUBLIC SCHOOL  --
1399,YORKWOODS PUBLIC SCHOOL  --
14,THE LEARNING ENTERPRISE  --
140,FAMILY & CHILDREN'S SERVICES-BLAIRVIEW  --
