,HomeZone,SchoolZone,SchoolCode,Age,Sex,License,Occupation,EmploymentStatus,StudentStatus,Vehicles,IncomeClass,Adults,Children,ExpansionFactor,ModeTakenToSchool,TripToSchoolTime,Dist,PD
2134,376,391,9092,30,F,Y,G,F,P,1,4,3,0,17.41,9,-1,9.324434000000002,9
2135,400,391,9092,19,F,N,O,O,S,1,7,4,3,38.82,P,1030,3.9717249999999997,10
2136,399,391,9092,22,M,9,O,O,S,3,7,3,2,46.87,B,800,2.590368,10
2137,403,391,9092,21,F,N,S,P,S,3,3,5,0,29.18,9,-1,6.219446999999999,10
2138,398,391,E0471,25,F,Y,O,O,S,0,1,1,0,10.35,9,-1,1.7730339999999998,10
2139,2060,391,9092,22,M,Y,O,O,S,3,7,5,1,36.3,9,-1,7.961920999999999,33
2140,3630,391,9092,19,M,Y,O,O,S,2,7,4,0,6.19,B,800,14.39471,36
2141,2209,391,9092,22,M,Y,S,P,S,2,3,4,0,39.92,B,800,13.48286,29
2142,443,391,9092,22,F,Y,S,P,S,0,7,2,0,20.59,9,-1,7.787525,11
2143,3417,391,9092,21,F,Y,G,P,S,2,5,4,1,18.61,B,655,26.44996,35
2144,483,391,9092,19,M,N,O,O,S,1,5,5,0,30.01,9,-1,14.90143,12
2145,383,391,9092,21,F,Y,S,F,P,2,6,4,0,30.76,9,-1,8.888864,9
2146,177,391,9092,22,F,Y,G,P,P,1,4,3,0,32.42,9,-1,10.90749,3
2147,600,391,9092,18,F,N,O,O,S,1,2,4,0,30.62,9,-1,18.81172,16
2148,3325,391,9092,19,F,Y,O,O,S,2,2,5,0,17.08,B,800,25.41252,35
2149,3682,391,9092,19,F,Y,S,P,S,2,4,4,0,21.52,D,725,22.57961,36
2150,450,391,9092,19,M,Y,O,O,S,2,4,2,0,28.1,9,-1,8.099936,11
2152,21,391,9092,39,M,Y,P,F,P,1,4,1,0,15.27,D,1835,17.796,1
2153,448,391,9092,19,M,Y,O,O,S,0,1,2,0,17.99,9,-1,8.135732,11
2154,173,391,E0471,36,F,Y,O,O,S,0,7,2,0,23.07,9,-1,13.53666,3
2156,212,391,9092,37,F,N,P,F,S,0,2,2,0,16.02,9,-1,14.1953,4
2157,3108,391,E0471,22,M,Y,O,O,S,3,6,3,0,11.95,D,600,44.71168,34
2158,3868,391,9092,20,F,N,S,P,S,0,7,2,0,37.38,9,-1,35.239779999999996,36
2160,2057,391,9092,20,M,Y,O,O,S,2,2,5,0,31.57,9,-1,9.520301,33
2161,3629,391,9092,22,F,Y,G,P,S,2,6,4,2,25.77,9,-1,14.32403,36
2162,3357,391,9092,18,F,Y,O,O,S,2,2,3,1,15.07,B,1000,21.99098,35
2163,2244,391,9092,19,M,N,O,O,S,1,3,3,1,16.01,B,745,13.32616,29
2164,412,391,9092,18,F,Y,O,O,S,2,3,5,0,50.91,9,-1,3.219461,10
