HomeZone,SchoolZone,SchoolCode,Age,Sex,License,Occupation,EmploymentStatus,StudentStatus,Vehicles,IncomeClass,Adults,Children,ExpansionFactor,ModeTakenToSchool,TripToSchoolTime
19,25,9244,25,F,N,S,P,S,1,7,4,2,10.82,W,805
3716,38,9031,22,M,Y,S,P,P,1,7,4,0,9.31,G,850
251,25,9244,54,F,N,O,O,S,0,1,1,0,42.94,B,805
127,25,9244,19,M,N,O,O,S,2,4,3,1,16.23,B,900
370,25,9244,22,M,Y,P,P,S,2,4,2,1,5.47,D,1200
321,25,9244,24,F,Y,O,O,P,2,2,3,1,13.58,D,830
120,38,9031,30,F,Y,O,O,S,2,6,2,0,29.05,B,1000
2608,38,9031,18,F,Y,G,P,S,3,6,3,1,22.48,G,715
184,25,9244,50,M,Y,S,F,P,1,7,2,0,8.72,B,1720
2053,25,9244,21,F,Y,O,O,S,3,6,4,3,11.07,J,720
100,25,9244,22,M,Y,O,O,S,1,4,4,0,123.57,B,1000
264,38,9031,23,M,Y,O,O,S,2,7,4,0,38.03,D,845
65,25,9244,33,F,Y,O,O,S,1,4,2,1,22.49,B,730
2440,5198,E0436,45,M,Y,S,P,S,1,2,2,0,12.56,B,605
204,25,9244,22,F,Y,S,J,S,1,2,1,0,39.42,B,1240
74,38,9031,27,F,N,S,F,P,0,2,2,0,22.12,B,1805
3644,5198,9011,21,F,Y,O,O,S,1,3,2,0,12.25,J,900
2236,38,9031,22,M,Y,O,O,S,1,2,2,0,18.62,B,1100
5207,5198,E0436,25,F,Y,O,O,S,3,5,3,0,61.91,D,1330
259,25,9244,36,F,Y,P,F,S,2,6,2,2,24.08,B,800
184,25,9244,24,M,Y,S,P,S,0,2,3,0,25.38,B,830
3648,371,384,22,F,Y,O,O,S,3,7,4,0,20.3,D,730
454,69,9103,34,F,Y,P,P,S,1,3,1,1,11.6,B,830
15,69,9103,21,F,N,G,P,S,1,2,3,0,10.62,P,1000
3337,69,9103,20,M,Y,O,O,S,3,7,5,0,15.56,B,900
1186,69,9103,23,F,Y,O,O,S,2,7,3,0,16.46,D,1010
3355,371,9261,21,M,N,S,P,S,1,7,4,0,36.09,B,900
48,69,9103,23,F,Y,O,O,S,1,2,2,0,28.93,W,815
177,69,9103,22,F,N,O,O,S,2,5,4,0,31.92,B,1000
90,69,9103,21,M,N,O,O,S,0,4,3,0,9.0,B,930
3346,371,9261,24,M,Y,O,O,S,3,1,4,0,42.62,D,1100
2378,69,9103,21,F,Y,O,O,S,1,6,4,1,18.31,J,635
483,69,9103,19,M,Y,O,O,S,1,2,4,2,25.8,B,1045
123,371,9261,35,F,Y,G,P,S,1,5,2,0,19.54,B,730
382,371,9261,20,M,Y,O,O,S,2,4,3,0,29.09,B,930
443,69,9103,34,F,Y,P,F,P,1,6,2,1,18.29,W,1745
2425,69,9103,18,F,Y,O,O,S,2,2,3,0,30.08,B,630
472,69,9103,18,F,Y,O,O,S,1,4,3,0,18.3,B,1000
543,278,9108,19,M,N,O,O,S,0,3,3,2,26.34,B,705
41,69,9103,28,F,Y,P,P,S,0,4,2,0,27.78,W,830
3664,371,9261,29,M,Y,S,P,S,3,7,3,0,30.88,D,1000
46,69,9103,32,F,N,O,O,S,0,2,2,0,17.57,W,815
2098,371,9261,22,M,Y,O,O,S,2,6,3,0,22.31,B,1110
2142,69,9103,20,F,N,O,O,S,1,5,3,0,40.56,B,900
197,182,9988,42,F,N,O,O,P,1,1,2,1,24.01,W,830
173,69,9103,22,F,Y,S,P,P,0,2,2,0,15.82,B,900
436,69,9103,26,F,Y,G,P,S,3,5,3,0,35.48,D,720
153,371,9261,20,M,Y,S,P,S,2,4,3,0,23.82,D,1010
172,69,9103,37,F,N,O,O,S,2,7,4,1,33.54,B,845
305,278,9108,21,F,Y,S,P,P,4,4,4,0,24.88,B,1710
66,69,9103,40,F,Y,P,P,P,0,4,2,0,13.51,B,1200
133,371,9261,30,F,N,O,O,S,0,1,2,0,31.21,B,730
4120,4123,E0569,28,F,N,O,O,P,2,4,4,2,34.54,P,930
389,69,9103,18,F,N,S,P,S,2,5,4,1,41.75,B,815
3485,371,9261,22,M,Y,P,F,S,2,7,4,0,36.46,D,715
601,69,9103,23,F,9,G,P,P,2,7,4,0,14.94,B,1645
191,69,9103,59,F,Y,O,O,P,3,4,2,0,12.03,D,1030
2108,69,9103,21,M,Y,O,O,S,3,6,3,1,18.0,B,830
