HomeZone,SchoolZone,SchoolCode,Age,Sex,License,Occupation,EmploymentStatus,StudentStatus,Vehicles,IncomeClass,Adults,Children,ExpansionFactor,ModeTakenToSchool,TripToSchoolTime
79,69,9103,19,F,Y,O,O,S,0,7,1,0,26.23,9,-1
4183,4030,6353,17,F,Y,G,P,S,2,6,2,2,16.22,P,800
3649,371,9261,18,M,Y,S,P,S,2,4,3,1,21.86,P,930
68,69,9103,20,M,N,O,O,S,0,2,2,0,42.82,W,1500
334,69,9103,51,F,Y,G,F,P,2,3,2,0,10.41,W,1705
278,69,9103,77,M,Y,O,O,P,1,1,1,0,41.13,9,-1
219,69,9103,24,F,N,O,O,S,2,6,4,0,32.61,B,745
104,69,9103,27,M,9,P,P,P,1,5,4,0,12.19,C,915
519,519,9998,57,F,Y,M,F,P,1,3,2,0,24.99,9,-1
592,484,E0266,59,M,Y,O,O,S,2,4,3,0,10.29,D,1430
173,69,9103,27,F,Y,S,P,S,0,2,2,0,16.52,B,1225
67,69,9103,22,M,Y,P,F,S,0,2,2,0,29.94,W,845
2376,69,9103,22,M,Y,O,O,S,4,5,5,0,37.92,J,730
21,278,9108,40,M,Y,G,P,P,1,2,2,2,34.51,9,-1
186,69,9103,30,M,N,9,P,S,0,7,2,0,33.96,9,-1
3686,69,9103,46,M,Y,P,F,P,1,5,3,1,6.73,9,-1
71,69,9103,27,M,N,O,O,S,0,7,1,0,39.99,W,1820
41,69,9103,22,F,Y,O,O,S,0,3,2,0,26.84,W,830
46,69,9103,29,M,Y,P,P,S,0,1,2,0,17.57,9,-1
474,69,9103,23,M,Y,S,P,S,2,5,4,0,21.21,D,930
5171,69,9103,62,F,N,O,O,P,0,2,1,0,15.99,J,645
454,69,9103,20,M,Y,O,O,S,0,1,2,0,21.94,B,1315
25,69,9103,34,F,Y,P,F,P,0,4,1,0,17.89,W,1715
2209,69,9103,31,M,Y,O,O,S,1,3,3,0,17.44,9,-1
477,477,2710,18,M,9,O,O,S,2,6,5,1,17.42,W,840
50,69,9103,24,M,Y,P,P,S,1,1,1,0,46.42,W,855
385,371,9261,18,M,Y,S,P,S,2,5,3,0,10.78,B,1000
3607,3851,9309,17,M,Y,O,O,S,1,3,2,1,17.84,B,730
71,69,9103,22,M,Y,S,P,P,0,2,4,0,15.39,W,1000
3678,371,9261,18,F,Y,O,O,S,3,4,5,0,50.26,B,815
3654,69,9103,21,M,Y,P,P,S,2,6,4,0,42.92,B,1200
4039,4030,6354,18,M,Y,O,O,S,1,7,2,0,10.72,P,750
16,69,9103,60,F,N,O,O,S,0,5,6,0,6.14,9,-1
3418,371,9261,18,M,Y,O,O,S,2,4,3,0,22.92,9,-1
424,371,9261,31,F,Y,P,F,P,1,3,1,0,43.35,9,-1
