Family?,Home Zone,Cars,Children,Adults,Income,Gender,Age,Status,License,Distance,Employment,Mode
1,1029,2,2,5,0,2,22,2,1,13.5,0,1
1,2107,1,1,2,1,1,22,2,1,22.5,0,1
0,38,0,0,2,0,1,20,2,1,1.25,1,10
1,581,2,1,3,0,1,18,2,1,7.25,0,1
0,71,0,3,2,1,1,17,2,0,0.75,0,10
0,93,0,0,1,1,1,26,2,0,1.5,0,2
1,596,1,0,3,0,2,21,2,1,16.75,0,1
0,268,0,0,4,0,1,23,2,1,4.0,1,1
1,192,1,1,3,2,2,18,2,0,20.0,0,1
1,512,2,3,3,0,1,18,2,0,17.5,0,1
0,46,0,0,1,1,2,29,1,1,0.75,0,10
1,546,1,0,2,0,1,39,1,0,13.0,0,1
1,3486,2,1,5,0,1,20,2,1,19.5,0,8
0,93,0,0,4,0,1,18,2,0,1.25,0,10
0,50,0,0,1,0,1,28,2,1,0.75,1,10
0,2772,2,0,2,0,1,24,2,1,49.0,0,5
1,390,2,0,4,0,1,24,2,1,14.25,0,1
1,3656,2,0,4,0,2,21,2,1,21.0,0,5
1,46,0,0,2,0,2,31,1,0,25.75,0,7
1,2258,2,0,4,0,1,21,2,0,26.0,0,1
0,255,1,0,2,0,1,27,2,1,7.25,1,1
1,209,1,0,2,0,1,21,1,1,4.0,0,1
1,1096,2,0,5,0,1,22,2,0,14.5,0,1
1,3375,3,0,4,2,2,20,2,1,20.25,0,3
0,184,0,0,4,0,1,21,2,1,5.5,0,1
0,69,0,0,1,1,2,18,2,0,0.25,0,10
1,1059,4,0,4,0,1,23,2,1,40.75,2,3
1,2440,3,0,5,0,1,20,2,0,29.25,0,1
0,186,1,0,4,0,1,27,2,1,2.0,0,1
1,525,1,1,3,0,2,18,2,1,12.0,0,1
0,21,0,0,2,0,1,23,2,0,1.75,0,1
1,334,1,1,4,2,1,18,2,0,15.5,0,1
0,69,0,0,1,1,1,21,2,0,0.5,0,10
0,95,0,0,1,0,1,25,2,0,2.5,0,1
0,3631,0,0,1,0,1,21,2,0,0.0,0,1
1,3810,2,1,3,1,2,18,2,0,6.25,1,1
0,69,2,0,1,0,2,21,2,1,0.5,0,10
0,71,0,0,1,2,2,21,2,0,1.25,0,10
0,565,0,0,1,0,1,20,2,0,0.75,0,10
1,4006,4,0,4,0,2,28,2,1,35.5,0,5
0,210,0,0,1,1,1,24,2,1,4.75,1,1
0,47,0,0,2,0,2,18,2,1,0.75,0,10
0,539,0,0,2,1,2,34,2,0,14.0,0,1
1,574,3,0,5,0,1,25,2,0,24.0,0,1
0,67,0,0,2,1,1,29,1,1,1.25,0,10
1,46,0,0,2,1,1,18,2,0,1.0,1,7
1,222,1,0,6,0,1,18,2,0,6.25,0,1
1,172,0,2,3,2,2,23,1,1,4.0,0,2
0,70,0,0,4,1,1,25,2,0,0.5,0,10
0,105,0,0,3,0,1,30,2,1,3.75,0,2
0,42,0,0,3,2,1,20,2,1,1.0,0,10
0,69,0,0,3,0,1,23,2,0,24.5,2,7
1,622,2,0,3,2,1,20,2,0,4.75,0,1
1,7294,2,0,3,0,1,19,2,0,92.25,0,1
0,67,1,0,4,0,1,25,0,1,1.25,0,10
0,4035,1,0,2,0,1,26,2,1,33.25,0,5
0,3714,1,2,2,2,1,43,2,1,28.75,3,5
1,108,0,0,4,0,2,18,2,0,25.25,0,1
