"","Threshold","R.2","In.Sample.Accuracy","Full.Sample.Accuracy"
"135",44.4,0.550864925278522,0.789893609499836,0.766818560878179
"136",44.6,0.550478932115985,0.78956712083344,0.766831903591287
"137",44.8,0.550344000072907,0.789467568012807,0.766790259359019
"138",45,0.550239651940722,0.789334478214281,0.766936156201229
"139",45.2,0.550239651940722,0.789334478214281,0.766936156201229
"140",45.4,0.549791902977107,0.788970049407374,0.766912112447717
"141",45.6,0.549658994239052,0.788872817217404,0.766872599209528
"142",45.8,0.549599803534868,0.788808727383528,0.766920288877034
"143",46,0.549599803534868,0.788808727383528,0.766920288877034
"144",46.2,0.549094461651835,0.788436939028428,0.76677869779736
"145",46.4,0.549094461651835,0.788436939028428,0.76677869779736
"146",46.6,0.548411996619118,0.787850932637066,0.766977799094426
"147",46.8,0.548350344200418,0.787812538885723,0.766940422537918
"148",47,0.548350344200418,0.787812538885723,0.766940422537918
"149",47.2,0.547986792681597,0.787561210943814,0.766805571416744
"150",47.4,0.547578904523971,0.787324270322567,0.766629767783934
"151",47.6,0.547578904523971,0.787324270322567,0.766629767783934
"152",47.8,0.547578904523971,0.787324270322567,0.766629767783934
"153",48,0.546901471405805,0.786931289008382,0.766301981006768
"154",48.2,0.546862163832066,0.78684945174832,0.766441727001031
"155",48.4,0.546495567645056,0.786618482283175,0.766271591330999
"156",48.6,0.545988898554648,0.786127522095173,0.766505849299379
"157",48.8,0.545988898554648,0.786127522095173,0.766505849299379
"158",49,0.545432327816637,0.785796788029258,0.766457300741081
"159",49.2,0.545357874919041,0.785723233440913,0.766495118336837
"160",49.4,0.545357874919041,0.785723233440913,0.766495118336837
"161",49.6,0.544830645926381,0.78532699877603,0.766437100248684
"162",49.8,0.544830645926381,0.78532699877603,0.766437100248684
"163",50,0.544219035891307,0.785093848956458,0.766264295582616
"164",50,0.544219035891307,0.785093848956458,0.766264295582616
"165",51,0.54296573955014,0.784209518061571,0.766166630174775
"166",52,0.540449484313083,0.782408500414446,0.766043545375449
"167",53,0.538666679917879,0.781065416741008,0.766253327683381
"168",54,0.537994084715916,0.780744902657753,0.766047759541418
"169",55,0.536390223274463,0.779563589769563,0.766030065830873
"170",56,0.534512496623629,0.778166491025766,0.766013573645178
"171",57,0.531325946680993,0.775928298020376,0.765866061150001
"172",58,0.530737688699206,0.775475711125177,0.765905941839173
"173",59,0.530387772419441,0.775242337550167,0.76583759888087
"174",60,0.529336088004343,0.774708494326476,0.765580296910233
"175",61,0.526860044002942,0.773057150752911,0.765188061719241
"176",62,0.526195678999247,0.772755766464103,0.765051375848167
"177",63,0.524231291298905,0.771341820545622,0.764888427359714
"178",64,0.522638275406866,0.77033074756911,0.764637722452864
"179",65,0.522438370410516,0.770248274673756,0.764555859062279
"180",66,0.519811226227898,0.768444100123346,0.764265152914978
"181",67,0.519164299373132,0.767982907854974,0.764181277341295
"182",68,0.518815234452569,0.767891888607262,0.764090708652503
"183",69,0.517785337266844,0.767355331081899,0.763931309525095
"184",70,0.517519099504788,0.767245932633358,0.763875891933651
"185",70,0.517519099504788,0.767245932633358,0.763875891933651
"186",80,0.50811179037556,0.761996940814246,0.761996940814246
"187",90,0.506380374752665,0.761945868352177,0.761945868352177
"188",100,0.505745391136606,0.76205219785293,0.76205219785293
"189",110,0.505521645226966,0.762133710212122,0.762133710212122
"190",120,0.505431721002766,0.762184280614312,0.762184280614312
"191",130,0.505384798615765,0.762220287844127,0.762220287844127
"192",140,0.505364989718803,0.762239344240662,0.762239344240662
"193",150,0.505357631948375,0.762247790451229,0.762247790451229
"194",160,0.505354130389134,0.762252507851999,0.762252507851999
"195",170,0.505352670062412,0.762254754093976,0.762254754093976
"196",180,0.505351874833783,0.762256136153875,0.762256136153875
"197",180,0.505351874833783,0.762256136153875,0.762256136153875
"198",240,0.505351164049633,0.762257605352951,0.762257605352951
"199",300,0.50535115972114,0.762257619607127,0.762257619607127
