,School_Type,PD,Age,Closest_Type,Income_High,Income_Low,Family_True,Family_False,Cars2+,Cars1,Cars0,Licence_True,Licence_False
8417,University,36,21.0,1,1,0,1,0,1,0,0,0,1
13184,University,1,20.0,1,0,1,0,1,0,0,1,0,1
2806,University,46,24.0,0,0,0,0,1,1,0,0,1,0
10643,University,1,31.0,1,0,0,0,1,0,0,1,1,0
11043,University,46,30.0,1,0,0,0,1,0,1,0,0,1
7909,University,36,22.0,0,0,1,1,0,1,0,0,1,0
15223,University,36,21.0,0,0,1,1,0,1,0,0,1,0
6980,University,2,18.0,1,0,0,0,0,0,0,0,1,0
13294,University,1,21.0,1,0,0,0,0,0,0,0,1,0
8724,University,15,19.0,1,0,0,0,0,0,0,0,1,0
13974,University,1,21.0,1,0,0,0,1,0,0,1,1,0
15776,University,32,18.0,0,0,0,0,0,0,0,0,0,0
16109,University,8,26.0,0,0,1,1,0,0,1,0,1,0
8970,College,39,41.0,0,0,1,0,1,0,0,1,1,0
7660,University,33,17.0,1,0,0,0,0,0,0,0,0,1
6842,University,15,20.0,1,1,0,1,0,1,0,0,1,0
6050,University,36,20.0,1,0,0,0,0,0,0,0,0,0
9096,College,38,32.0,0,0,0,1,0,1,0,0,1,0
9655,College,39,20.0,0,0,0,0,0,0,0,0,1,0
16767,University,36,19.0,1,0,0,1,0,0,1,0,1,0
6516,University,36,22.0,1,0,0,0,0,0,0,0,1,0
13585,University,35,21.0,0,1,0,1,0,1,0,0,1,0
13960,University,31,20.0,0,1,0,1,0,1,0,0,1,0
7511,University,31,19.0,1,0,1,1,0,0,1,0,0,1
12283,University,1,20.0,1,1,0,0,1,0,0,1,0,1
14885,University,2,17.0,1,0,0,0,0,0,0,0,0,1
6622,University,12,42.0,1,0,0,1,0,1,0,0,1,0
14141,University,1,18.0,1,0,0,0,0,0,0,0,0,1
11410,University,27,24.0,1,0,1,1,0,1,0,0,1,0
380,College,13,19.0,0,0,0,0,0,0,0,0,1,0
1086,College,23,41.0,0,0,0,0,0,0,0,0,1,0
14551,University,36,20.0,1,0,0,1,0,1,0,0,0,1
2477,University,46,34.0,0,0,0,1,0,0,1,0,1,0
13893,University,13,19.0,0,0,1,1,0,0,1,0,0,1
8165,University,2,24.0,1,0,0,0,0,0,0,0,1,0
15570,University,1,29.0,0,0,0,0,1,0,0,1,1,0
15589,University,10,20.0,1,0,0,0,1,0,0,1,0,1
15486,University,8,23.0,0,0,1,1,0,1,0,0,1,0
7372,University,1,27.0,1,0,0,0,0,0,0,0,1,0
16651,University,35,31.0,0,0,0,0,1,0,0,1,1,0
14464,University,1,25.0,1,0,0,0,1,0,0,1,0,1
10500,University,34,21.0,0,1,0,1,0,1,0,0,1,0
9351,College,35,22.0,0,0,0,0,0,0,0,0,1,0
12343,University,39,19.0,0,0,0,1,0,1,0,0,1,0
5023,University,21,18.0,0,0,1,1,0,0,1,0,1,0
8067,University,11,24.0,1,0,0,0,1,1,0,0,1,0
1096,College,22,18.0,0,0,0,1,0,1,0,0,0,1
5139,University,20,18.0,1,1,0,1,0,1,0,0,0,1
3489,University,46,29.0,0,0,0,0,0,0,0,0,0,1
6936,University,13,19.0,0,0,0,0,1,0,0,0,0,1
3597,College,46,23.0,0,0,0,0,1,1,0,0,1,0
13029,University,15,21.0,1,0,0,0,0,0,0,0,0,1
5433,University,31,20.0,1,0,0,1,0,0,1,0,1,0
13225,University,35,20.0,0,0,1,1,0,1,0,0,1,0
11697,University,2,25.0,1,0,0,0,1,0,1,0,1,0
13550,University,1,19.0,1,1,0,1,0,1,0,0,1,0
10617,University,20,24.0,0,0,0,1,0,1,0,0,1,0
10619,University,36,20.0,1,0,1,1,0,1,0,0,1,0
15440,University,36,17.0,1,0,0,1,0,0,1,0,0,1
16143,University,36,22.0,0,0,0,0,0,0,0,0,0,1
974,College,13,39.0,0,0,0,0,0,0,0,0,1,0
15132,University,10,22.0,1,0,1,0,1,0,0,1,0,1
10748,University,36,21.0,0,0,1,1,0,0,1,0,1,0
1817,College,35,20.0,0,0,0,0,1,0,1,0,1,0
1540,College,22,18.0,0,0,1,1,0,1,0,0,1,0
7627,University,1,18.0,1,1,0,0,1,1,0,0,1,0
10473,University,1,32.0,1,0,0,0,0,0,0,0,0,1
14519,University,35,18.0,0,0,0,1,0,1,0,0,0,1
7698,University,35,28.0,0,0,1,1,0,0,1,0,0,1
12133,University,29,21.0,1,0,0,0,0,0,0,0,1,0
10149,University,5,21.0,1,1,0,1,0,1,0,0,1,0
9996,University,1,19.0,1,1,0,0,1,0,0,1,0,1
11716,University,1,27.0,1,0,0,0,0,0,0,0,0,1
12069,University,1,22.0,1,0,1,0,1,0,1,0,1,0
13784,University,1,20.0,1,0,1,0,1,0,0,1,0,1
12355,University,1,21.0,1,0,0,0,1,0,0,1,1,0
11576,University,33,18.0,1,1,0,1,0,1,0,0,1,0
3214,University,35,19.0,0,0,0,0,0,0,0,0,1,0
9131,College,35,35.0,0,0,1,0,1,0,1,0,0,1
1972,College,23,20.0,0,0,0,0,0,0,0,0,0,0
8852,College,35,21.0,0,0,0,0,0,0,0,0,0,1
11709,University,36,20.0,0,0,0,0,0,0,0,0,1,0
6232,University,8,21.0,1,0,0,1,0,1,0,0,1,0
1889,College,23,40.0,0,0,0,0,0,0,0,0,1,0
3900,College,45,21.0,0,0,0,1,0,1,0,0,1,0
16111,University,10,19.0,1,0,0,0,0,0,0,0,0,1
1727,College,35,33.0,0,0,0,1,0,0,1,0,1,0
1844,College,19,40.0,0,0,1,0,1,0,1,0,1,0
8375,University,8,24.0,1,0,0,0,0,0,0,0,0,1
14353,University,31,19.0,1,0,0,1,0,0,1,0,0,1
13911,University,15,18.0,1,0,0,0,1,0,0,1,1,0
6555,University,1,20.0,1,0,0,0,0,0,0,0,0,0
3949,College,46,33.0,0,0,0,1,0,1,0,0,1,0
9008,College,35,23.0,0,0,0,0,0,0,0,0,1,0
548,College,2,34.0,1,0,0,0,0,0,0,0,0,1
766,College,35,28.0,0,0,0,0,0,0,0,0,1,0
6302,University,36,18.0,1,1,0,1,0,0,1,0,0,1
12247,University,35,19.0,0,0,0,0,0,0,0,0,1,0
3070,University,46,18.0,0,1,0,0,1,0,1,0,1,0
8397,University,33,18.0,1,0,0,1,0,0,1,0,0,1
1603,College,20,33.0,0,0,0,1,0,1,0,0,0,1
8771,University,1,20.0,1,0,1,0,1,0,0,1,1,0
16697,University,36,19.0,1,0,0,0,0,0,0,0,1,0
