Home Zone,Age,Gender,License,Employment,Status,Cars,Income,Adults,Children,Mode,Distance
118,34,2,1,2,2,1,1,2,0,0,6.853555999999999
3381,21,1,1,2,2,3,0,3,0,0,40.195809999999994
46,35,2,1,2,2,0,2,2,2,0,1.297744
374,23,1,0,1,2,2,2,4,0,0,3.57044
3656,37,1,1,3,1,2,2,2,1,0,22.09276
3686,25,1,1,1,2,2,1,2,0,3,18.81173
196,75,2,1,1,1,1,2,2,0,0,8.466409
3686,20,2,1,3,1,2,2,3,0,0,18.81173
1241,20,1,1,1,2,3,2,4,0,0,5.503831999999999
47,20,1,0,1,2,0,0,2,0,10,1.063099
21,29,2,1,2,2,1,0,2,0,10,2.04452
353,21,2,1,2,2,4,0,5,1,1,15.80479
3622,31,1,1,3,1,2,2,5,0,0,14.47743
3337,25,2,1,2,1,2,2,3,0,0,9.106768
1219,22,1,1,2,2,2,1,2,0,3,3.3942579999999998
41,26,1,1,1,2,1,0,2,0,0,1.84044
79,19,1,1,1,2,0,0,1,0,0,3.752367
3649,18,2,1,2,2,2,2,3,1,8,18.02177
68,20,2,0,1,2,0,2,2,0,10,0.97324
334,51,1,1,3,1,2,1,2,0,10,16.45929
278,77,2,1,1,1,1,1,1,0,0,4.257021
219,24,1,0,1,2,2,2,4,0,1,8.442875
104,27,2,9,2,1,1,2,4,0,2,3.631853
519,57,1,1,3,1,1,1,2,0,0,0.0
592,59,2,1,1,2,2,2,3,0,3,4.632547000000001
173,27,1,1,2,2,0,2,2,0,1,4.036774
67,22,2,1,3,2,0,2,2,0,10,1.897934
2376,22,2,1,1,2,4,2,5,0,5,28.21476
21,40,2,1,2,1,1,2,2,2,0,2.030561
186,30,2,0,2,2,0,0,2,0,0,2.957752
3686,46,2,1,3,1,1,2,3,1,0,25.313650000000003
71,27,2,0,1,2,0,0,1,0,10,1.132351
41,22,1,1,1,2,0,1,2,0,10,1.84044
46,29,2,1,2,2,0,1,2,0,0,1.297744
474,23,2,1,2,2,2,2,4,0,3,19.35977
5171,62,1,0,1,1,0,2,1,0,5,66.1484
454,20,2,1,1,2,0,1,2,0,1,11.74369
25,34,1,1,3,1,0,2,1,0,10,3.41576
2209,31,2,1,1,2,1,1,3,0,0,24.16866
477,18,2,9,1,2,2,2,5,1,10,0.0
50,24,2,1,2,2,1,1,1,0,10,1.5870020000000002
385,18,2,1,2,2,2,2,3,0,1,5.017492999999999
3607,17,2,1,1,2,1,1,2,1,1,4.506405
71,22,2,1,2,1,0,2,4,0,10,1.132351
3678,18,1,1,1,2,3,2,5,0,1,21.245240000000003
3654,21,2,1,2,2,2,2,4,0,1,18.495369999999998
16,60,1,0,1,2,0,2,6,0,0,4.1230329999999995
3418,18,2,1,1,2,2,2,3,0,0,16.07141
424,31,1,1,3,1,1,1,1,0,0,15.61203
