Unnamed: 0,HomeZone,Age,Gender,License,Employment,Status,Cars,Income,Adults,Children,Mode,Dist,Distance
3734,2207,32,1,1,1,2,1,2,2,1,3,24.072789999999998,24.072789999999998
3735,415,22,2,0,2,2,0,2,2,0,1,11.60117,11.60117
3736,166,41,1,1,3,1,0,2,2,0,0,4.771916,4.771916
3737,3653,50,2,1,1,1,1,1,2,2,1,20.3252,20.3252
3738,64,24,1,1,1,2,1,2,2,0,1,2.764601,2.764601
3739,347,21,2,0,1,2,0,2,3,0,9,7.709358,7.709358
3741,3355,21,1,0,1,2,1,1,2,0,0,12.80688,12.80688
3742,2410,27,2,1,2,2,2,1,3,0,0,29.115040000000004,29.115040000000004
3743,131,29,2,1,1,1,0,0,3,0,0,11.19139,11.19139
3744,150,19,1,1,1,2,1,2,2,0,3,18.785490000000006,18.785490000000006
3745,363,32,1,1,3,1,1,2,1,0,0,4.87993,4.87993
3746,2143,21,2,1,1,2,2,2,3,0,1,18.6727,18.6727
3747,4023,19,1,1,1,2,3,2,4,0,0,31.60083,31.60083
3748,3429,22,1,1,2,2,3,2,6,0,3,19.0003,19.0003
3749,3864,44,2,1,3,1,2,2,2,2,0,22.704179999999997,22.704179999999997
3750,2022,18,2,0,1,2,2,2,3,0,1,11.96176,11.96176
3751,3429,22,1,1,1,2,3,2,6,0,3,15.758339999999999,15.758339999999999
3752,591,19,1,1,1,2,3,2,4,0,3,27.36761,27.36761
3753,2100,19,1,0,2,2,2,2,3,1,1,28.08016,28.08016
3754,2058,18,1,1,2,2,4,2,4,0,0,11.14276,11.14276
3755,4123,18,2,1,2,2,3,0,3,0,3,34.82734,34.82734
3756,37,30,1,1,3,2,2,2,2,0,0,2.4224270000000003,2.4224270000000003
3757,383,24,1,1,1,2,1,0,4,0,1,21.0843,21.0843
3758,105,32,2,1,3,1,1,2,2,0,0,4.35171,4.35171
3759,510,39,1,1,3,1,1,2,2,2,0,17.9816,17.9816
3760,42,26,1,1,1,2,0,2,2,0,1,1.572915,1.572915
3761,173,28,1,1,3,1,0,1,1,0,0,18.24229,18.24229
3762,5208,27,2,1,1,2,2,2,2,0,8,6.018244999999999,6.018244999999999
3763,2362,20,1,0,1,2,1,1,2,0,1,20.5481,20.5481
3764,251,34,2,1,2,2,1,2,3,1,0,23.8134,23.8134
3765,2098,23,1,1,2,2,1,1,2,0,0,9.253344,9.253344
3766,587,22,2,0,2,2,3,2,3,1,1,15.771339999999999,15.771339999999999
3767,3377,21,1,1,1,2,2,1,3,1,0,29.194909999999997,29.194909999999997
3768,3690,26,1,1,1,2,2,0,4,0,0,26.16151,26.16151
3769,2054,20,1,0,2,2,2,0,3,1,1,11.53097,11.53097
3770,63,28,1,0,3,1,0,2,1,0,0,19.221,19.221
3771,2130,23,2,1,1,2,3,0,6,0,0,8.543329,8.543329
3773,2133,25,2,1,1,2,2,2,2,0,3,10.927589999999999,10.927589999999999
3774,249,44,2,1,2,2,1,1,2,2,0,23.411240000000006,23.411240000000006
3775,173,28,2,1,2,2,0,2,2,0,1,13.536660000000001,13.536660000000001
3776,3866,24,2,1,1,1,1,1,4,0,1,28.9906,28.9906
3777,329,22,2,0,1,2,2,2,3,1,1,19.54401,19.54401
3778,3371,22,2,1,1,2,2,2,3,0,0,26.476940000000003,26.476940000000003
3780,1214,39,1,1,1,2,1,2,2,0,8,2.062974,2.062974
3781,2072,21,2,1,2,2,2,0,5,0,0,11.26212,11.26212
3782,522,19,2,1,1,2,3,2,5,0,0,24.26817,24.26817
3783,3436,22,2,1,3,1,3,2,5,0,0,32.24645,32.24645
3785,4036,23,1,1,2,2,3,0,4,0,0,42.9348,42.9348
3786,2126,25,2,1,3,1,1,1,2,0,0,5.993579,5.993579
