,Mode,Licence,Family,Cars,Time.Auto,Time.Transit,Time.Active,Cost.Auto,Cost.Transit
157,Transit,0,Family,1,16.34346,58.225728,172.3128,0.7765909000000001,1.98
158,Active,0,Other,2,35.95232,71.095504,240.5175,1.159222,2.22
159,Transit,1,Family,3,58.12973,160.45126000000002,426.17025,2.0482110000000002,6.475906
160,Auto,0,Family,3,11.417910000000001,64.48275799999999,98.16511499999999,0.4772611,1.98
161,Active,0,Other,0,1.117177,20.195869,11.101709999999999,0.05003393,2.22
162,Active,0,Other,0,0.0,0.0,0.0,0.0,0.0
163,Transit,0,Family,2,75.81084,138.06521,771.7502999999999,3.899264,12.6728
164,Active,0,Other,1,1.464106,25.325449,14.598600000000001,0.06579395,2.22
165,Transit,1,Family,2,56.21034,142.68010800000002,406.2063,2.123629,6.389352
166,Transit,0,Family,1,17.88877,71.55026699999998,225.87225,1.021205,3.47876
167,Transit,0,Family,1,24.70085,197.618433,165.3153,1.269219,2.22
168,Active,0,Other,0,2.168042,23.855995999999998,19.46616,0.0877314,2.22
169,Transit,0,Family,1,4.58473,33.84206399999999,49.847955,0.23312199999999997,1.98
170,Transit,0,Family,1,33.99152,70.74282,219.79785,1.00568,2.22
171,Active,1,Other,0,1.9089990000000001,17.573247000000002,19.08999,0.08603605,2.22
172,Active,1,Other,0,0.0,0.0,0.0,0.0,0.0
173,Active,1,Other,0,1.710853,20.776487,15.946485,0.07186870000000001,2.22
174,Active,1,Other,0,2.49745,26.741172,26.414505000000002,0.11904669999999999,2.22
175,Auto,1,Family,3,3.9527059999999996,25.654187,40.859745,0.1841494,1.98
176,Active,1,Other,0,1.9141869999999999,23.859148,17.990325000000002,0.08108001,2.22
177,Active,0,Other,0,2.168042,23.855995999999998,19.46616,0.0877314,2.22
178,Active,1,Other,0,4.603065,25.568201000000002,35.364990000000006,0.1616951,2.22
179,Transit,0,Family,1,15.91009,71.09102999999998,207.3231,0.9732598,2.470444
180,Active,1,Other,0,5.499556,35.577191,46.45101000000001,0.20934850000000002,2.22
181,Transit,0,Other,0,32.138870000000004,64.417486,208.03875,0.9733859,2.22
182,Transit,1,Family,2,13.092360000000001,46.74061,99.65254500000002,0.454189,2.57
183,Transit,1,Family,1,57.64091,131.823943,341.45294999999993,1.553964,6.873212
184,Active,1,Other,0,3.320328,31.447038,28.74147,0.1391828,2.22
185,Transit,1,Family,2,9.183631,45.941966,124.73550000000002,0.6235421999999999,2.22
186,Active,0,Other,0,2.924953,24.128386,16.985265000000002,0.1054589,2.22
187,Active,0,Other,0,3.792585,18.826039,22.924049999999998,0.11826389999999999,2.22
188,Transit,1,Family,1,46.32949,112.127768,324.19725,1.547135,3.371233
189,Transit,1,Other,0,11.14976,53.00517600000001,80.79070499999999,0.3930765,3.014284
190,Transit,0,Family,1,23.98561,93.776616,342.98775,1.6517560000000002,2.251072
191,Transit,0,Family,2,44.54497,95.91998000000001,296.0691,1.472286,4.44
192,Active,1,Other,0,2.168042,23.855995999999998,19.46616,0.0877314,2.22
193,Transit,0,Family,1,35.7557,79.91449200000002,222.8856,1.129833,4.44
194,Auto,1,Family,2,31.2859,109.024324,275.50905,1.345812,1.98
195,Active,0,Other,0,3.792585,18.826039,22.924049999999998,0.11826389999999999,2.22
196,Active,1,Other,0,2.595157,27.40234,23.805030000000002,0.1169349,2.22
197,Transit,1,Other,2,99.49899,180.556,1002.5307,4.635244999999999,14.10481
198,Transit,1,Family,2,37.965759999999996,83.66392499999998,271.24275,1.3292059999999999,2.22
199,Transit,1,Family,2,53.94389,88.37609,402.10215000000005,1.979595,11.13602
200,Transit,0,Family,2,48.36213,119.247992,313.60995,1.449182,5.22
201,Transit,1,Other,1,18.206,67.200422,126.93099,0.6280559,3.218146
