Campus,Dist.0,Dist.1,Dist.2,Dist.3,Dist.4,Dist.5,Dist.6,Segment
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,3
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,1
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,1
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,4
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,0
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
0,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,5
6,0.740114,22.9375,19.41647,16.1912,11.64837,2.282936,2.266615,2
